Course Number,Course Title,Credits,Description,Offered,Liberal Arts Requirements,Prerequisites,Tags,Sections
DANC 107,Ballet I,1 credits,"A beginning course in ballet technique, including basic positions, beginning patterns and exercises. Students develop an awareness of the many ways their body can move, an appreciation of dance as an artistic expression and a recognition of the dancer as an athlete.",Winter 2025,"ARP, Arts Practice | PE, Physical Education",,DANC Movmnt Practic Perform,"DANC
                                                 107.00 | Winter 2025 | Faculty: | Jennifer Bader | 🏫 | 👤 | Size: | 18 | Grading: | S/CR/NC | M, W | Weitz Center 168 | 9:50am-11:00am"
DANC 147,Moving Anatomy,1 credits,This course seeks to provide an underlying awareness of body structure and function. Using movement to expand knowledge of our anatomy will encourage participants to integrate information with experience. Heightened body awareness and class studies are designed to activate the general learning process.,Winter 2025,"ARP, Arts Practice | PE, Physical Education",,DANC Movmnt Practic Perform,"DANC
                                                 147.01 | Winter 2025 | Faculty: | Elayna Waxse | 🏫 | 👤 | Size: | 20 | Grading: | S/CR/NC | M, W | Weitz Center 165 | 12:30pm-1:40pm"
DANC 148,Modern Dance I: Technique and Theory,1 credits,"A physical exploration at the introductory level of the elements of dance: time, motion, space, shape and energy. Students are challenged physically as they increase their bodily awareness, balance, control, strength and flexibility and get a glimpse of the art of dance.",Winter 2025,"ARP, Arts Practice | PE, Physical Education",,DANC Movmnt Practic Perform,"DANC
                                                 148.00 | Winter 2025 | Faculty: | Daphne McCoy | 🏫 | 👤 | Size: | 18 | Grading: | S/CR/NC | T, TH | Weitz Center 165 | 9:20am-10:30am"
DANC 200,Modern Dance II: Technique and Theory,1 credits,A continuation of Level I with more emphasis on the development of technique and expressive qualities.,Winter 2025,"ARP, Arts Practice | PE, Physical Education",,DANC Movmnt Practic Perform,"DANC
                                                 200.00 | Winter 2025 | Faculty: | Daphne McCoy | 🏫 | 👤 | Size: | 20 | Grading: | S/CR/NC | T, TH | Weitz Center 165 | 10:40am-11:50am"
DANC 205,Winter Dance,1 credits,"Intensive rehearsal and performance of a work commissioned from professional guest choreographer.  The class will culminate in a performance in the Spring Term, so students taking this course should plan to register for DANC 206 in Spring. Open to all levels.",Winter 2025,"ARP, Arts Practice",,DANC Movmnt Practic Perform,"DANC
                                                 205.00 | Winter 2025 | Faculty: | Judith Howard | 🏫 | 👤 | Size: | 20 | Grading: | S/CR/NC | T | Weitz Center 165 | 6:30pm-8:00pm | S | Weitz Center 165 | 10:00am-12:00pm"
DANC 208,Ballet II,1 credits,For the student with previous ballet experience. This course emphasizes articulation of technique and development of ballet vocabulary.,Winter 2025,"ARP, Arts Practice | PE, Physical Education",,DANC Movmnt Practic Perform,"DANC
                                                 208.00 | Winter 2025 | Faculty: | Jennifer Bader | 🏫 | 👤 | Size: | 18 | Grading: | S/CR/NC | M, W | Weitz Center 168 | 11:10am-12:20pm"
DANC 210,Contemporary Dance Forms II,1 credits,"This course is intended for students seeking to refine and deepen their awareness of embodied movement approaches. Through these approaches, students will work to develop an alert and articulate body. In both standing and floor work, momentum, dynamic shifts and spatial challenges are introduced.",Winter 2025,"ARP, Arts Practice | PE, Physical Education",,DANC Movmnt Practic Perform,"DANC
                                                 210.00 | Winter 2025 | Faculty: | Elayna Waxse | 🏫 | 👤 | Size: | 20 | Grading: | S/CR/NC | M, W | Weitz Center 165 | 1:50pm-3:00pm"
DANC 211,Cultures of Dance,6 credits,"In this class we will look at dance from a global viewpoint, investigating forms, styles and contexts through various lenses (feminist, ethnographic, Africanist). We will examine and broaden the definition of dance and situate it within the discourse of “performance,” recognizing the larger meaning of “performance” to include all bodily movements, acts and gestures, whether onstage or off. We will ask questions about the performance of culture and ethnography, race and gender in the various dance cultures presented. Reading, writing, moving, discussing, and viewing live performance will shape class inquiry. No prior dance experience needed.Extra time for two live performances",Winter 2025,"IS, International Studies | LA, Literary/Artistic Analysis | WR2 Writing Requirement 2",Not open to students that have completed DANC 115 – Cultures of Dance with a grade of C- or better.,CL: 200 level | DANC History Theory Lit | THEA Pertinent Course,"DANC
                                                 211.00 | Winter 2025 | Faculty: | Judith Howard | 🏫 | 👤 | Size: | 25 | M, W | Weitz Center 168 | 1:50pm-3:00pm | F | Weitz Center 168 | 2:20pm-3:20pm"
DANC 215,"Winter Dance, Student Choreography",1 credits,"For students enrolled in Dance 205, supervised student choreography with two public showings.Requires concurrent registration in DANC 205",Winter 2025,"ARP, Arts Practice",,DANC Movmnt Practic Perform,"DANC
                                                 215.00 | Winter 2025 | Faculty: | Judith Howard | 🏫 | 👤 | Size: | 20 | Grading: | S/CR/NC | T | Weitz Center 165 | 8:00pm-8:30pm"
DANC 254,Jazz Dance: Roots and Grooves,3 credits,"This course positions jazz and related social dance styles as forms with African diasporic roots and American branches. Composed of 60% in-class movement investigation and 40% both in-class and out of class reading, viewing, writing, and creating,Jazz Dance: Roots and Grooveswill ask students to invest in how the elements of groove, improvisation and interaction unite different approaches to jazz and make it a form that appreciates the past, centers the present and innovates for the future. Some dance experience recommended.",Winter 2025,"ARP, Arts Practice | PE, Physical Education",,AFST Arts Practice | AMST Prdctn Consmptn Cult | AMST Race Ethnicty Indign | DANC History Theory Lit | DANC Movmnt Practic Perform | THEA Practical | CL: 200 level,"DANC
                                                 254.00 | Winter 2025 | Faculty: | Erinn Liebhard | 🏫 | 👤 | Size: | 25 | M, W | Weitz Center 165 | 9:50am-11:00am"
DANC 350,Semaphore Repertory Dance Company,1 credits,"Provides advanced dance students with an intensive opportunity to develop as performers in professional level dances. Skills to be honed are: the dancer as contributor to the process of art-making; defining individual technical and expressive gifts; working in a variety of new technical and philosophical dance frameworks. In addition to regular training during the academic terms, participation in a ""preseason"" rehearsal period before fall term is required. A few pieces of student choreography will be accepted for repertory. The group produces an annual concert, performs in the Twin Cities and makes dance exchanges with other college groups. Recommended Preparation:Admission by audition.Audition required.",Winter 2025,"ARP, Arts Practice",,DANC Movmnt Practic Perform | CL: 300 level,"DANC
                                                 350.00 | Winter 2025 | Faculty: | Judith Howard | 🏫 | 👤 | ·                                                                                     Daphne McCoy | 🏫 | 👤 | Size: | 20 | Grading: | S/CR/NC | M, W | Weitz Center 168 | 3:30pm-5:30pm | TH | Weitz Center 165 | 7:00pm-9:00pm | S | Weitz Center 165 | 12:00pm-3:00pm"
DGAH 110,Hacking the Humanities,6 credits,"The digital world is infiltrating the academy and profoundly disrupting the arts and humanities, posing fundamental challenges to traditional models of university education, scholarly research, academic publication and creative production. This core course for the Digital Arts & Humanities minor introduces the key concepts, debates and technologies that shape DGAH, including text encoding, digital mapping (GIS), network analysis, data visualization, 3D imaging and basic programming languages. Students will learn to hack the humanities by making a collaborative, publishable DH project, while acquiring the skills and confidence necessary to actively participate in the digital world, both in college and beyond.",Winter 2025,"HI, Humanistic Inquiry | QRE, Quantitative Reasoning",,DGAH Pertinent | CL: 100 level,"DGAH
                                                 110.00 | Winter 2025 | Faculty: | Austin Mason | 🏫 | 👤 | Size: | 40 | T, TH | Leighton 304 | 1:15pm-3:00pm"
DGAH 120,Interactive Digital Narratives: Theory and Practice,6 credits,"Contemporary forms of interactive digital narrative, ranging from electronic literature to games, demonstrate the affordances of the computer as a site of storytelling. Working from the prehistory of Oulipian constrained writing through to early hypertext experiments of authors such as Shelley Jackson to contemporary games such as Kentucky Route Zero, we will develop an understanding of both the history and current trends in born-digital literary experimentation and practice. Through the lens of these digital texts, we will explore the potential for reimagining the ""book"" through new interfaces, interactions, and technologies. No knowledge of code is necessary.",Winter 2025,"LA, Literary/Artistic Analysis",,CL: 100 level | DGAH Critand Ethical Reflectn,"DGAH
                                                 120.00 | Winter 2025 | Faculty: | Anastasia Salter | 🏫 | 👤 | Size: | 30 | T, TH | Weitz Center 138 | 10:10am-11:55am"
DGAH 220,Creative Coding and Generative AI,6 credits,"Generative AI tools such as ChatGPT and GitHub CoPilot are fundamentally reshaping programming practices and workflows, raising questions about the future of code and so-called ""prompt engineering,"" or writing for the machine. This class will situate this moment of potential transformation in the history of literate programming and ""natural language"" coding using Inform 7, as well as current tools such as ml5.js, an accessible machine learning library. Students will engage this history and future of computational creativity through writing and re-writing code, both with and without generative AI interventions, for conversational bots, interactive fiction, and experimental games.",Winter 2025,"FSR, Formal or Statistical Reasoning",Student has completed any of the following course(s): CS 111 – Introduction to Computer Science with a grade of C- or better or a score of 4 or better on the Computer Science A AP exam or equivalent.,CL: 200 level | CS Pertinent | DGAH Cross Disc Collabortn,"DGAH
                                                 220.00 | Winter 2025 | Faculty: | Anastasia Salter | 🏫 | 👤 | Size: | 25 | T, TH | Language & Dining Center 104 | 3:10pm-4:55pm"
DGAH 392,Independent Research,,"Form requiredRegister for this course by submitting theIndependentReading/Study/ResearchForm, which requires approval from the project faculty supervisor.",Winter 2025,No Exploration,,CL: Independent Study,"DGAH
                                                 392.11 | Winter 2025 | Faculty: | Austin Mason | 🏫 | 👤 | Grading: | S/CR/NC | Credits: | 1 – 6"
ECON 110,Principles of Macroeconomics,6 credits,"This course gives students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 111, as a preparation for all advanced study in economics. Topics include analysis of the measurement, level, and distribution of national income; the concepts of inflation and depression; the role and structure of the banking system; fiscal and monetary stabilization techniques; implications of and limits to economic growth; and international economic relations.",Winter 2025,"QRE, Quantitative Reasoning | SI, Social Inquiry",Not open to students who have completed any of the following exams: AP Macroeconomics exam with a score of 5 or better or IB Economics exam with a score of 6 or better.,PPOL Core | CL: 100 level,"ECON
                                                 110.01 | Winter 2025 | Faculty: | Michael Hemesath | 🏫 | 👤 | Size: | 30 | T, TH | Willis 204 | 8:15am-10:00am || ECON
                                                 110.02 | Winter 2025 | Faculty: | Lhakpa Sherpa | 🏫 | 👤 | Size: | 30 | M, W | Willis 204 | 1:50pm-3:00pm | F | Willis 204 | 2:20pm-3:20pm"
ECON 111,Principles of Microeconomics,6 credits,"This course gives the students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 110, as a preparation for all advanced study in economics. Topics include consumer choice theory; the formation of prices under competition, monopoly, and other market structures; the determination of wages, profits, and income from capital; the distribution of income; and an analysis of policy directed towards problems of public finance, pollution, natural resources, and public goods.",Winter 2025,"QRE, Quantitative Reasoning | SI, Social Inquiry",Note open to students who have completed any of the following exams: AP Microeconomics exam with a score of 5 or better or IB Economics exam with a score of 6 or better.,PPOL Core | CL: 100 level,"ECON
                                                 111.01 | Winter 2025 | Faculty: | Jonathan Lafky | 🏫 | 👤 | Size: | 30 | M, W | Willis 204 | 11:10am-12:20pm | F | Willis 204 | 12:00pm-1:00pm || ECON
                                                 111.02 | Winter 2025 | Faculty: | Nathan Grawe | 🏫 | 👤 | Size: | 30 | M, W | Willis 204 | 9:50am-11:00am | F | Willis 204 | 9:40am-10:40am || ECON
                                                 111.03 | Winter 2025 | Faculty: | Faress Bhuiyan | 🏫 | 👤 | Size: | 30 | M, W | Willis 204 | 12:30pm-1:40pm | F | Willis 204 | 1:10pm-2:10pm"
ECON 240,Microeconomics of Development,6 credits,"This course explores household behavior in developing countries. We will cover areas including fertility decisions, health and mortality, investment in education, the intra-household allocation of resources, household structure, and the marriage market. We will also look at the characteristics of land, labor, and credit markets, particularly technology adoption; land tenure and tenancy arrangements; the role of agrarian institutions in the development process; and the impacts of alternative politics and strategies in developing countries. The course complements Economics 241.",Winter 2025,"QRE, Quantitative Reasoning | SI, Social Inquiry | IS, International Studies",Student has completed any of the following course(s): ECON 111 – Principles of Microeconomics with a grade of C- or better or has received a score of 5 on the AP Microeconomics test or a score of 6 or better on the IB Economics test.,"ASST Central Asia | ASST East Asia | ASST Social Science | ASST South Asia | EAST Supporting | ECON Elective | ENTS Society, Culture and Policy | LTAM 300 HIST/SOAN/POSC | LTAM Electives | LTAM Pertinent Courses | PPOL Econ Pol Makg & Devel | SAST Supp Social Inquiry | POSI Elective/Non POSC | AFST Pertinent | CL: 200 level","ECON
                                                 240.00 | Winter 2025 | Faculty: | Faress Bhuiyan | 🏫 | 👤 | Size: | 25 | M, W | Willis 211 | 9:50am-11:00am | F | Willis 211 | 9:40am-10:40am"
ECON 264,Health Care Economics,6 credits,"This course will focus on the economics of medical care and how health care markets and systems work. We will consider both private health insurance markets and publicly provided social health insurance. The changes which demography, technology and the Affordable Health Care Act are bringing to health care delivery will be examined. Some time will be devoted to understanding the health care systems in other countries. This is a discussion course.",Winter 2025,"QRE, Quantitative Reasoning | SI, Social Inquiry",Student has completed any of the following course(s): ECON 111 – Principles of Microeconomics with a grade of C- or better or has received a score of 5 on the AP Microeconomics test or a score of 6 or better on the IB Economics test.,AMST America in the World | AMST Democracy Activism | ECON Elective | POSI Elective/Non POSC | PPOL Public Health | CL: 200 level,"ECON
                                                 264.00 | Winter 2025 | Faculty: | Nathan Grawe | 🏫 | 👤 | Size: | 25 | M, W | Willis 203 | 12:30pm-1:40pm | F | Willis 203 | 1:10pm-2:10pm"
ECON 267,Behavioral Economics,6 credits,"This course introduces experimental economics and behavioral economics as two complementary approaches to understanding economic decision making. We will study the use of controlled experiments to test and critique economic theories, as well as how these theories can be improved by introducing psychologically plausible assumptions to our models. We will read a broad survey of experimental and behavioral results, including risk and time preferences, prospect theory, other-regarding preferences, the design of laboratory and field experiments, and biases in decision making.",Winter 2025,"QRE, Quantitative Reasoning | SI, Social Inquiry",Student has completed any of the following course(s): ECON 110 – Principles of Macroeconomics with a grade of C- or better or received a score of 5 on the Macroeconomics AP exam AND ECON 111 – Principles of Microeconomics with a grade of C- or better or received a score of 5 on the Microeconomics AP exam OR has received a score of 6 or better on the Economics IB exam.,CGSC Elective | ECON Elective | PSYC Pertinent | CL: 200 level,"ECON
                                                 267.00 | Winter 2025 | Faculty: | Jonathan Lafky | 🏫 | 👤 | Size: | 25 | M, W | Willis 203 | 1:50pm-3:00pm | F | Willis 203 | 2:20pm-3:20pm"
ECON 271,Economics of Natural Resources and the Environment,6 credits,"This course focuses on environmental economics, energy economics, and the relationship between them. Economic incentives for pollution abatement, the industrial organization of energy production, optimal depletion rates of energy sources, and the environmental and economic consequences of alternate energy sources are analyzed.",Winter 2025,"QRE, Quantitative Reasoning | SI, Social Inquiry",Student has completed any of the following course(s): ECON 111 – Principles of Microeconomics with a grade of C- or better or has received a score of 5 on the AP Microeconomics test or a score of 6 or better on the IB Economics test.,AMST America in the World | AMST Democracy Activism | AMST Space and Place | ECON Elective | ENTS Core Course | POSI Elective/Non POSC | PPOL Envir Pol & Sustainablty | CL: 200 level,"ECON
                                                 271.00 | Winter 2025 | Faculty: | Mark Kanazawa | 🏫 | 👤 | Size: | 25 | T, TH | Willis 211 | 1:15pm-3:00pm"
ECON 276,Money and Banking,6 credits,"This course examines the role of money and monetary institutions in determination of income, employment, and prices in the domestic and world economies. It also examines the role of commercial banking and financial markets in a market-based economy.",Winter 2025,"QRE, Quantitative Reasoning | SI, Social Inquiry",Student has completed any of the following course(s): ECON 110 – Principles of Macroeconomics with a grade of C- or better or received a score of 5 on the Macroeconomics AP exam AND ECON 111 – Principles of Microeconomics with a grade of C- or better or received a score of 5 on the Microeconomics AP exam OR has received a score of 6 or better on the Economics IB exam.,ECON Elective | CL: 200 level,"ECON
                                                 276.00 | Winter 2025 | Faculty: | Lhakpa Sherpa | 🏫 | 👤 | Size: | 25 | M, W | Willis 211 | 11:10am-12:20pm | F | Willis 211 | 12:00pm-1:00pm"
ECON 329,Econometrics,6 credits,"This course is an introduction to the statistical methods used by economists to test hypotheses and to study and quantify economic relationships. The course emphasizes both econometric theory and practical application through analysis of economic data sets using statistical software. Prior experience with R is strongly encouraged. Topics include two-variable and multiple regression, interval estimation and hypothesis testing, discrete and continuous structural change, parameter restrictions, model construction, experimental design, issues of functional specification, model overfitting and underfitting, heteroscedasticity, autocorrelation, and multicollinearity.",Winter 2025,"QRE, Quantitative Reasoning | SI, Social Inquiry",Student must have completed any of the following course(s): ECON 110 – Principles of Macroeconomics or received a score of 5 or better on the Macroeconomics AP exam AND ECON 111 – Principles of Microeconomics or received a score of 5 or better on the Microeconomics AP exam OR received a score of 6 or better on the Economics IB exam. AND MATH 101 – Calculus with Problem Solving or MATH 111 – Introduction to Calculus or greater or received a a score of 4 or better on the Calculus AB AP exam or received a score of 4 or better on the Calculus BC AP exam or received a score of 6 or better on the Mathematics IB exam AND either STAT 120 – Introduction to Statistics or STAT 250 – Introduction to Statistical Inference with a grade of C- or better or received a score of 4 or better on the Statistics AP exam or equivalents.,SDSC XDept Elective | CL: 300 level,"ECON
                                                 329.00 | Winter 2025 | Faculty: | Mark Kanazawa | 🏫 | 👤 | Size: | 25 | T, TH | Willis 204 | 10:10am-11:55am"
ECON 331,Intermediate Macro Theory,6 credits,"Analysis of the forces determining the general level of output, employment, and prices with special emphasis on the role of money and on interest rate determination. This class is normally taken by juniors. Sophomores considering enrolling should speak to the instructor.",Winter 2025,"QRE, Quantitative Reasoning | SI, Social Inquiry",Student must have completed any of the following course(s): ECON 110 – Principles of Macroeconomics or received a score of 5 or better on the Macroeconomics AP exam AND ECON 111 – Principles of Microeconomics or received a score of 5 or better on the Microeconomics AP exam OR received a score of 6 or better on the Economics IB exam. AND MATH 101 – Calculus with Problem Solving or MATH 111 – Introduction to Calculus or greater or received a a score of 4 or better on the Calculus AB AP exam or received a score of 4 or better on the Calculus BC AP exam or received a score of 6 or better on the Mathematics IB exam AND either STAT 120 – Introduction to Statistics or STAT 250 – Introduction to Statistical Inference with a grade of C- or better or received a score of 4 or better on the Statistics AP exam or equivalents.,CL: 300 level,"ECON
                                                 331.00 | Winter 2025 | Faculty: | Ethan Struby | 🏫 | 👤 | Size: | 25 | T, TH | Willis 203 | 1:15pm-3:00pm"
ECON 398,Advanced Research in Economics,6 credits,"This course is designed to support majors in developing advanced skills in economic research and communication. Through a combination of class discussion, small group work, and/or one-on-one interactions with the professor, majors learn the process of constructing strong, theoretically-grounded arguments through primary research, secondary research, or both. Students will also learn and practice strategies for engaging critically with contemporary scholarship and effective techniques of peer review and the oral presentation of research.",Winter 2025,No Exploration,Student has completed any of the following course(s): ECON 395 – Advanced Topics in Economics with a grade of C- or better.,ECON Elective,"ECON
                                                 398.01 | Winter 2025 | Faculty: | Aaron Swoboda | 🏫 | 👤 | Size: | 15 | Grading: | S/CR/NC || ECON
                                                 398.02 | Winter 2025 | Faculty: | Ethan Struby | 🏫 | 👤 | Size: | 15 | Grading: | S/CR/NC"
ECON 400,Integrative Exercise,3 credits,,Winter 2025,,Student is an Economics major and has Senior Priority.,,"ECON
                                                 400.01 | Winter 2025 | Faculty: | Aaron Swoboda | 🏫 | 👤 | Size: | 15 | Grading: | S/NC || ECON
                                                 400.02 | Winter 2025 | Faculty: | Ethan Struby | 🏫 | 👤 | Size: | 15 | Grading: | S/NC"
EDUC 110,Introduction to Educational Studies,6 credits,"This course will focus on education as a multidisciplinary field of study. We will explore the meanings of education within individual lives and institutional contexts, learn to critically examine the assumptions that writers, psychologists, sociologists and philosophers bring to the study of education, and read texts from a variety of disciplines. What has “education” meant in the past? What does “education” mean in contemporary American society? What might “education” mean to people with differing circumstances and perspectives? And what should “education” mean in the future? Open only to first-and second-year students.",Winter 2025,"IDS, Intercultural Domestic Studies | SI, Social Inquiry | WR2 Writing Requirement 2",Student has Sophomore Priority.,EDUC Core | CL: 100 level,"EDUC
                                                 110.00 | Winter 2025 | Faculty: | Anita Chikkatur | 🏫 | 👤 | Size: | 25 | T, TH | Willis 204 | 1:15pm-3:00pm"
EDUC 367,Culture Wars in the Classroom,6 credits,"This course examines past and present school controversies, including school prayer, banned books, and student protests. Who controls the curriculum? How do we teach contentious issues such as evolution, racism, and climate change? To what extent do teachers and students enjoy the right to free expression? These are the kinds of questions “Culture Wars in the Classroom” will explore, as we consider the purpose of public education in a diverse, multicultural nation.",Winter 2025,"IDS, Intercultural Domestic Studies | No Exploration",,EDUC 2 Soc and Cult Context | CL: 300 level,"EDUC
                                                 367.00 | Winter 2025 | Faculty: | Jeff Snyder | 🏫 | 👤 | Size: | 15 | T, TH | Willis 114 | 10:10am-11:55am"
EDUC 391,Independent Study,4 credits,"Register for this course by submitting theIndependentReading/Study/ResearchForm, which requires approval from the project faculty supervisor.",Winter 2025,No Exploration,,CL: Independent Study,"EDUC
                                                 391.11 | Winter 2025 | Faculty: | Deborah Appleman | 🏫 | 👤"
ENGL 109,The Craft of Academic Writing,6 credits,"This course is designed to demystify the practice of academic writing and to introduce students to the skills they’ll need to write effectively in a variety of academic disciplines and contexts. Students will learn how to respond to other authors’ claims, frame clear arguments of their own, structure essays to develop a clear logical flow, integrate outside sources into their writing, and improve their writing through revision. All sections will include a variety of readings, multiple writing assignments, and substantial feedback from the course instructor.",Winter 2025,No Exploration | WR2 Writing Requirement 2,,CL: 100 level,"ENGL
                                                 109.00 | Winter 2025 | Faculty: | George Shuffelton | 🏫 | 👤 | Size: | 15 | T, TH | Laird 007 | 1:15pm-3:00pm"
ENGL 118,Introduction to Poetry,6 credits,"“Poetry is the way we help give name to the nameless so it can be thought”—Audre Lorde. In this course we will explore how poets use form, tone, sound, imagery, rhythm, and subject matter to create works of astonishing imagination, beauty, and power. In discussions, Moodle posts, and essay assignments we’ll analyze individual works by poets from Sappho to Amanda Gorman (and beyond); there will also be daily recitations of poems, since the musicality is so intrinsic to the meaning.",Winter 2025,"LA, Literary/Artistic Analysis | WR2 Writing Requirement 2",,ENGL Foundation | CL: 100 level | SPAN Lit for Language,"ENGL
                                                 118.00 | Winter 2025 | Faculty: | Constance Walker | 🏫 | 👤 | Size: | 25 | M, W | Laird 206 | 9:50am-11:00am | F | Laird 206 | 9:40am-10:40am"
ENGL 135,Imperial Adventures,6 credits,"Indiana Jones has a pedigree. In this class we will encounter some of his ancestors in stories, novels and comic books from the early decades of the twentieth century. The wilds of Afghanistan, the African forest, a prehistoric world in Patagonia, the opium dens of mysterious exotic London–these will be but some of our stops as we examine the structure and ideology and lasting legacy of the imperial adventure tale. Authors we will read include Arthur Conan Doyle, Edgar Rice Burroughs, Rudyard Kipling and H. Rider Haggard.",Winter 2025,"IS, International Studies | LA, Literary/Artistic Analysis | WR2 Writing Requirement 2",,ENGL Foundation | ENGL Tradition 1 | EUST Transnational Supp | CL: 100 level,"ENGL
                                                 135.00 | Winter 2025 | Faculty: | Arnab Chakladar | 🏫 | 👤 | Size: | 25 | M, W | Laird 205 | 11:10am-12:20pm | F | Laird 205 | 12:00pm-1:00pm"
ENGL 144,Shakespeare I,6 credits,"A chronological survey of the whole of Shakespeare's career, covering all genres and periods, this course explores the nature of Shakespeare's genius and the scope of his art. Particular attention is paid to the relationship between literature and stagecraft (""page to stage""). By tackling the complexities of prosody, of textual transmission, and of Shakespeare's highly figurative and metaphorical language, the course will help you further develop your ability to think critically about literature. Declared or prospective English majors should register for ENGL 244.Declared or prospective English majors should register for English 244.",Winter 2025,"LA, Literary/Artistic Analysis",,ENGL Foundation | ENGL Tradition 1 | EUST Country Specific | MARS Core Course | MARS Supporting | THEA Lit Critical History | THEA Minor Playwriting | CL: 100 level,"ENGL
                                                 144.00 | Winter 2025 | Faculty: | Pierre Hecker | 🏫 | 👤 | Size: | 25 | T, TH | Laird 206 | 10:10am-11:55am"
ENGL 160,Creative Writing,6 credits,"You will work in several genres and forms, among them: traditional and experimental poetry, prose fiction, and creative nonfiction. In your writing you will explore the relationship between the self, the imagination, the word, and the world. In this practitioner’s guide to the creative writing process, we will examine writings from past and current authors, and your writings will be critiqued in a workshop setting and revised throughout the term.Sophomore Priority",Winter 2025,"ARP, Arts Practice | WR2 Writing Requirement 2",,ENCW Creative Wtg Workshop | ENGL Creative Writing | CL: 100 level,"ENGL
                                                 160.00 | Winter 2025 | Faculty: | Gregory Hewett | 🏫 | 👤 | Size: | 15 | T, TH | Laird 218 | 10:10am-11:55am | Sophomore Priority."
ENGL 213,Being Queer in Nineteenth-Century America,6 credits,"What forms of community, gender identification, and desire were imagined as possible in the literature and life writing of nineteenth-century Americans? How did race and class shift the terms of what could be imagined, and how did these possibilities change with the sexual taxonomies developed by scientists? This course will explore these questions by reading American literary texts from 1799 to 1899 alongside shorter works of history and theory. We will consider not only the discourse around wealthy, white “romantic friendships,” but also the ways that poor and non-white bodies were deemed queer in conduct manuals and scientific texts.",Winter 2025,"IDS, Intercultural Domestic Studies | LA, Literary/Artistic Analysis | WR2 Writing Requirement 2",,AMST Democracy Activism | AMST Prdctn Consmptn Cult | ENGL Historical Era 2 | ENGL Tradition 2 | GWSS Elective | CL: 200 level,"ENGL
                                                 213.00 | Winter 2025 | Faculty: | Emily Coccia | 🏫 | 👤 | Size: | 25 | M, W | Laird 206 | 11:10am-12:20pm | F | Laird 206 | 12:00pm-1:00pm"
ENGL 215,Modern American Literature,6 credits,"A survey of some of the central movements and texts in American literature, from World War I to the present. Topics covered will include modernism, the Harlem Renaissance, the Beat generation and postmodernism.",Winter 2025,"LA, Literary/Artistic Analysis | WR2 Writing Requirement 2",,AMST Prdctn Consmptn Cult | AMST Survey 1 | ENGL Historical Era 3 | ENGL Tradition 2 | CL: 200 level,"ENGL
                                                 215.00 | Winter 2025 | Faculty: | Michael Kowalewski | 🏫 | 👤 | Size: | 25 | M, W | Laird 206 | 12:30pm-1:40pm | F | Laird 206 | 1:10pm-2:10pm"
ENGL 220,Arts of Oral Presentation,3 credits,Instruction and practice in being a speaker and an audience in formal and informal settings.First five weeks,Winter 2025,No Exploration,,CL: 200 level,"ENGL
                                                 220.00 | Winter 2025 | Faculty: | George Shuffelton | 🏫 | 👤 | Size: | 14 | Grading: | S/CR/NC | T, TH | Laird 205 | 10:10am-11:55am"
ENGL 224,"Cruel Summer, 1816",6 credits,"A circle of poets and writers, friends and lovers, spend the summer in Geneva sightseeing, arguing, telling ghost stories, reading and writing passionately together—and changing the course of literary history.  We’ll explore the personal and artistic relations between Mary Shelley, Percy Bysshe Shelley, Lord Byron, and others, reading the works they wrote in conversation with each other includingFrankenstein, “Prometheus,” andPrometheus Unbound, as well as studying diaries, manuscripts, biographical accounts, and films.  Offered at both the 200 and 300 levels; coursework will be adjusted accordingly.",Winter 2025,"LA, Literary/Artistic Analysis | WR2 Writing Requirement 2",,ENGL Historical Era 2 | ENGL Tradition 1 | CL: 200 level,"ENGL
                                                 224.00 | Winter 2025 | Faculty: | Constance Walker | 🏫 | 👤 | Size: | 25 | M, W | Laird 205 | 12:30pm-1:40pm | F | Laird 205 | 1:10pm-2:10pm"
ENGL 244,Shakespeare I,6 credits,"A chronological survey of the whole of Shakespeare's career, covering all genres and periods, this course explores the nature of Shakespeare's genius and the scope of his art. Particular attention is paid to the relationship between literature and stagecraft (""page to stage""). By tackling the complexities of prosody, of textual transmission, and of Shakespeare's highly figurative and metaphorical language, the course will help you further develop your ability to think critically about literature. Non English majors should register for English 144.Non English majors should register for English 144.",Winter 2025,"LA, Literary/Artistic Analysis | WR2 Writing Requirement 2",,ENGL Historical Era 1 | ENGL Tradition 1 | EUST Country Specific | MARS Core Course | MARS Supporting | THEA Lit Critical History | CL: 200 level,"ENGL
                                                 244.00 | Winter 2025 | Faculty: | Pierre Hecker | 🏫 | 👤 | Size: | 25 | T, TH | Laird 206 | 10:10am-11:55am"
ENGL 245,Bollywood Nation,6 credits,This course will serve as an introduction to Bollywood or popular Hindi cinema from India. We will trace the history of this cinema and analyze its formal components. We will watch and discuss some of the most celebrated and popular films of the last 60 years with particular emphasis on urban thrillers and social dramas.,Winter 2025,"IS, International Studies | LA, Literary/Artistic Analysis | WR2 Writing Requirement 2",,ASST Arts & Literature | ASST South Asia | CAMS Extra Departmental | ENGL Historical Era 3 | ENGL Tradition 3 | SAST Supp Lit/Art Analys | CL: 200 level,"ENGL
                                                 245.00 | Winter 2025 | Faculty: | Arnab Chakladar | 🏫 | 👤 | Size: | 25 | M, W | Laird 205 | 1:50pm-3:00pm | F | Laird 205 | 2:20pm-3:20pm"
