Course Subject,Academic Period,Section Listings,Description,Credits,Capacity,Reserved Seats,Reserved Capacity Line,Notes,"Day, Start, & End",Course Tags,Section Status
Classics (CLAS),2025 Spring Term,CLAS 142-00 - Being an Heir,"The bond between fathers and sons is prominent in cinematic sagas, from Star Wars to The Lion King. But is it only a modern concern? What can Greek literature teach us about this relationship in today’s societies? This course explores the literary representations of ancient heroic families and traces their portrayals through the works of Homer, Aeschylus, Sophocles, Euripides, and Aristophanes. We will discuss the context and aims of Greek epic, tragedies and comedies, and investigate the representation of familial legacy, examining how sons can shape their own identity and emerge from their parents’ shadows, both then and now.",6,30,0,,,TTH | 10:10 AM - 11:55 AM,"CL: 100 level

CLAS - Classics Program :: CLAS Civ Literary Anlys

CLAS - Classics Program :: CLAS Core

LAR: Literary / Artistic Analysis :: LAR: LA, Literary/Artistic Analysis",Open
Classics (CLAS),2025 Spring Term,CLAS 214-00 - Gender & Sexlty Classicl Antiqty,"In both ancient Greece and Rome, gender (along with class and citizenship status) largely determined what people did, where they spent their time, and how they related to others. This course will examine the ways in which Greek and Roman societies defined gender categories, and how they used them to think about larger social, political, and religious issues. Primary readings from Greek and Roman epic, lyric, and drama, as well as ancient historical, philosophical, and medical writers; in addition we will explore a range of secondary work on the topic from the perspectives of Classics and Gender Studies.",6,25,0,,,TTH | 1:15 PM - 3:00 PM,"CL: 200 level

CLAS - Classics Program :: CLAS Civ Literary Anlys

GWSS - Gender, Women’s & Sexuality Studies Program :: GWSS Elective

LAR: CX, Cultural/Linguistics

LAR: Humanistic Inquiry :: LAR: HI, Humanistic Inquiry

LAR: IS, International Studies

LAR: QRE, Quantitative Reasoning

LAR: WR2 Writing Requirement 2",Open
Classics (CLAS),2025 Spring Term,CLAS 240-00 - Rome: Village to Superpower,"This class will investigate how Rome rose from a humble village of outcasts and refugees to become the preeminent power in the entire Mediterranean. We will trace Rome's political evolution from kings to the Republic, alongside their gradual takeover of the Italian peninsula. We will study how Rome then swiftly overpowered what had been the most powerful kingdoms in the Mediterranean and established themselves as dominant. Who were these Romans and what were their political, military, religious, and social systems that enabled them to accomplish so much? What critical events shaped their development and ultimately led to total political control of the Mediterranean world?",6,25,0,,,"F | 2:20 PM - 3:20 PM

MW | 1:50 PM - 3:00 PM","CL: 200 level

CLAS - Classics Program :: CLAS Civ Historical Anlys

HIST - History Program :: HIST Ancient & Medieval

HIST - History Program :: HIST Pre-Modern

LAR: CX, Cultural/Linguistics

LAR: Humanistic Inquiry :: LAR: HI, Humanistic Inquiry

LAR: IS, International Studies",Open
Computer Science (CS),2025 Spring Term,CS 111-01 - Intro to Computer Science,"This course will introduce you to computer programming and the design of algorithms. By writing programs to solve problems in areas such as image processing, text processing, and simple games, you will learn about recursive and iterative algorithms, complexity analysis, graphics, data representation, software engineering, and object-oriented design. No previous programming experience is necessary.",6,38,38,38 - reserved for REQ: Sophomore Priority (Condition Rule) until 03/07/2025,,"F | 8:30 AM - 9:30 AM

MW | 8:30 AM - 9:40 AM","CGSC - Cognitive Science Program :: CGSC Core

CL: 100 level

CS - Computer Science Program :: CS Required for Major

DGAH - Digital Arts and Humanities Program :: DGAH Skill Building

LAR: Formal or Statistical Reasoning :: LAR: FSR, Formal or Statistical Reasoning

LAR: QRE, Quantitative Reasoning

No Prerequisites

PHYS - Physics Program :: PHYS Addl Recommended

STAT - Statistics Program :: STAT Supporting",Open
Computer Science (CS),2025 Spring Term,CS 201-01 - Data Structures,"Think back to your favorite assignment from Introduction to Computer Science. Did you ever get the feeling that ""there has to be a better/smarter way to do this problem""? The Data Structures course is all about how to store information intelligently and access it efficiently. How can Google take your query, compare it to billions of web pages, and return the answer in less than one second? How can one store information so as to balance the competing needs for fast data retrieval and fast data modification? To help us answer questions like these, we will analyze and implement stacks, queues, trees, linked lists, graphs, and hash tables. Students who have received credit for a course for which Computer Science 201 is a prerequisite are not eligible to enroll in Computer Science 201.",6,30,0,,,"F | 12:00 PM - 1:00 PM

MW | 11:10 AM - 12:20 PM","CL: 200 level

CS - Computer Science Program :: CS Required for Major

LAR: Formal or Statistical Reasoning :: LAR: FSR, Formal or Statistical Reasoning

LAR: QRE, Quantitative Reasoning",Open
Computer Science (CS),2025 Spring Term,CS 202-00 - Math of Computer Science,"This course introduces some of the formal tools of computer science, using a variety of applications as a vehicle. You'll learn how to encode data so that when you scratch the back of a DVD, it still plays just fine; how to distribute ""shares"" of your floor's PIN so that any five of you can withdraw money from the floor bank account (but no four of you can); how to play chess; and more. Topics that we'll explore along the way include: logic and proofs, number theory, elementary complexity theory and recurrence relations, basic probability, counting techniques, and graphs.",6,28,0,,,"F | 1:10 PM - 2:10 PM

MW | 12:30 PM - 1:40 PM","CL: 200 level

CS - Computer Science Program :: CS Required for Major

LAR: Formal or Statistical Reasoning :: LAR: FSR, Formal or Statistical Reasoning

LING - Linguistics Program :: LING Related Field",Open
Computer Science (CS),2025 Spring Term,CS 208-01 - Intro to Computer Systems,"Are you curious what's really going on when a computer runs your code? In this course we will demystify the machine and the tools that we use to program it. Our broad survey of how computer systems execute programs, store information, and communicate will focus on the hardware/software interface, including data representation, instruction set architecture, the C programming language, memory management, and the operating system process model.",6,28,0,,,"F | 2:20 PM - 3:20 PM

MW | 1:50 PM - 3:00 PM","CL: 200 level

CS - Computer Science Program :: CS Required for Major

LAR: Formal or Statistical Reasoning :: LAR: FSR, Formal or Statistical Reasoning",Open
Computer Science (CS),2025 Spring Term,CS 251-00 - Programming Languages: Design and Implementation,"What makes a programming language like ""Python"" or like ""Java""? This course will look past superficial properties (like indentation) and into the soul of programming languages. We will explore a variety of topics in programming language construction and design: syntax and semantics, mechanisms for parameter passing, typing, scoping, and control structures. Students will expand their programming experience to include other programming paradigms, including functional languages like Scheme and ML.",6,28,0,,,"F | 9:40 AM - 10:40 AM

MW | 9:50 AM - 11:00 AM","CL: 200 level

CS - Computer Science Program :: CS Required for Major

LAR: Formal or Statistical Reasoning :: LAR: FSR, Formal or Statistical Reasoning",Open
Computer Science (CS),2025 Spring Term,CS 252-00 - Algorithms,"A course on techniques used in the design and analysis of efficient algorithms. We will cover several major algorithmic design paradigms (greedy algorithms, dynamic programming, divide and conquer, and network flow). Along the way, we will explore the application of these techniques to a variety of domains (natural language processing, economics, computational biology, and data mining, for example). As time permits, we will include supplementary topics like randomized algorithms, advanced data structures, and amortized analysis.",6,34,0,,,"F | 9:40 AM - 10:40 AM

MW | 9:50 AM - 11:00 AM","CL: 200 level

CS - Computer Science Program :: CS Required for Major

LAR: Formal or Statistical Reasoning :: LAR: FSR, Formal or Statistical Reasoning

MATH - Mathematics Program :: MATH Discrete Structures

MATH - Mathematics Program :: MATH Electives

STAT - Statistics Program :: SDSC CS Elective",Open
Computer Science (CS),2025 Spring Term,CS 254-00 - Computability and Complexity,"An introduction to the theory of computation. What problems can and cannot be solved efficiently by computers? What problems cannot be solved by computers, period? Topics include formal models of computation, including finite-state automata, pushdown automata, and Turing machines; formal languages, including regular expressions and context-free grammars; computability and uncomputability; and computational complexity, particularly NP-completeness.",6,34,0,,,"F | 1:10 PM - 2:10 PM

MW | 12:30 PM - 1:40 PM","CGSC - Cognitive Science Program :: CGSC Elective

CL: 200 level

CS - Computer Science Program :: CS Required for Major

LAR: Formal or Statistical Reasoning :: LAR: FSR, Formal or Statistical Reasoning

LING - Linguistics Program :: LING Pertinent

LING - Linguistics Program :: LING Related Field

MATH - Mathematics Program :: MATH Discrete Structures

MATH - Mathematics Program :: MATH Electives

NEUR -  Neuroscience Program :: NEUR Elective",Open
Computer Science (CS),2025 Spring Term,CS 257-01 - Software Design,"It's easy to write a mediocre computer program, and lots of people do it. Good programs are quite a bit harder to write, and are correspondingly less common. In this course, we will study techniques, tools, and habits that will improve your chances of writing good software. While working on several medium-sized programming projects, we will investigate code construction techniques, debugging and profiling tools, testing methodologies, UML, principles of object-oriented design, design patterns, and user interface design.",6,28,0,,,"F | 8:30 AM - 9:30 AM

MW | 8:30 AM - 9:40 AM","CL: 200 level

CS - Computer Science Program :: CS Required for Major

LAR: Formal or Statistical Reasoning :: LAR: FSR, Formal or Statistical Reasoning

STAT - Statistics Program :: SDSC CS Elective",Open
Computer Science (CS),2025 Spring Term,CS 304-00 - Social Computing,"The last decade has seen a vast increase in the number of applications that connect people with one another. This course presents an interdisciplinary introduction to social computing, a field of study that explores how computational techniques and artifacts are used to support and understand social interactions. We will examine a number of socio-technical systems (such as wikis, social media platforms, and citizen science projects), discuss the design principles used to build them, and analyze how they help people mobilize and collaborate with one another. Assignments will involve investigating datasets from online platforms and exploring current research in the field.",6,16,0,,,"F | 1:10 PM - 2:10 PM

MW | 12:30 PM - 1:40 PM","CL: 300 level

LAR: Formal or Statistical Reasoning :: LAR: FSR, Formal or Statistical Reasoning

LAR: QRE, Quantitative Reasoning",Open
Computer Science (CS),2025 Spring Term,CS 311-00 - Computer Graphics,"Scientific simulations, movies, and video games often incorporate computer-generated images of fictitious worlds. How are these worlds represented inside a computer? How are they “photographed” to produce the images that we see? What performance constraints and design trade-offs come into play? In this course we learn the basic theory and methodology of three-dimensional computer graphics, including both triangle rasterization and ray tracing. Familiarity with vectors and matrices is recommended but not required.",6,34,0,,,"F | 9:40 AM - 10:40 AM

MW | 9:50 AM - 11:00 AM","CL: 300 level

LAR: Formal or Statistical Reasoning :: LAR: FSR, Formal or Statistical Reasoning

LAR: QRE, Quantitative Reasoning",Open
Computer Science (CS),2025 Spring Term,CS 320-00 - Machine Learning,"What does it mean for a machine to learn? Much of modern machine learning focuses on identifying patterns in large datasets and using these patterns to make predictions about the future. Machine learning has impacted a diverse array of applications and fields, from scientific discovery to healthcare to education. In this artificial intelligence-related course, we'll both explore a variety of machine learning algorithms in different application areas, taking both theoretical and practical perspectives, and discuss impacts and ethical implications of machine learning more broadly. Topics may vary, but typically focus on regression and classification algorithms, including neural networks.",6,34,0,,,"F | 12:00 PM - 1:00 PM

MW | 11:10 AM - 12:20 PM","CGSC - Cognitive Science Program :: CGSC Elective

CL: 300 level

LAR: Formal or Statistical Reasoning :: LAR: FSR, Formal or Statistical Reasoning

STAT - Statistics Program :: SDSC CS Elective

STAT - Statistics Program :: STAT Elective",Open
Computer Science (CS),2025 Spring Term,CS 347-00 - Advanced Software Design,"This course helps students to strengthen their ability to design modular, extensible and maintainable software. The focus of the course is on the design of modern cloud applications. Students will learn how to decompose complex applications into a set of back-end services, develop and debug these services, and deploy them in the cloud. This class is structured around a large project that will be extended over the course of the term.",6,16,0,,,"F | 12:00 PM - 1:00 PM

MW | 11:10 AM - 12:20 PM","CL: 300 level

CS - Computer Science Program :: CS Major Electives

LAR: Formal or Statistical Reasoning :: LAR: FSR, Formal or Statistical Reasoning",Open
Computer Science (CS),2025 Spring Term,CS 348-00 - Parallel & Distribut Computing,"As multi-core machines become more prevalent, different programming paradigms have emerged for harnessing extra processors for better performance. This course explores parallel computation for both shared memory and distributed parallel programming paradigms. In particular, we will explore how these paradigms affect the code we write, the libraries we use, and the advantages and disadvantages of each. Topics will include synchronization primitives across these models for parallel execution, debugging concurrent programs, fork/join parallelism, example parallel algorithms, computational complexity and performance considerations, computer architecture as it relates to parallel computation, and related theory topics.",6,34,0,,,"F | 2:20 PM - 3:20 PM

MW | 1:50 PM - 3:00 PM","CL: 300 level

LAR: Formal or Statistical Reasoning :: LAR: FSR, Formal or Statistical Reasoning

STAT - Statistics Program :: SDSC CS Elective",Open
Computer Science (CS),2025 Spring Term,CS 361-00 - Artificial Life & Dig Evolutn,"The field of artificial life seeks to understand the dynamics of life by separating them from the substrate of DNA. In this course, we will explore how we can implement the dynamics of life in software to test and generate biological hypotheses, with a particular focus on evolution. Topics will include the basic principles of biological evolution, transferring experimental evolution techniques to computational systems, cellular automata, computational modeling, and digital evolution. All students will be expected to complete and present a term research project recreating and extending recent work in the field of artificial life.",6,16,0,,,"F | 8:30 AM - 9:30 AM

MW | 8:30 AM - 9:40 AM","CGSC - Cognitive Science Program :: CGSC Elective

CL: 300 level

LAR: Formal or Statistical Reasoning :: LAR: FSR, Formal or Statistical Reasoning",Open
Dance (DANC),2025 Spring Term,DANC 190-00 - Fields of Performance,"This introductory course in choreography explores games, structures, systems and sports as sources and locations of movement composition and performance. Readings, viewings and discussion of postmodernist structures and choreographers as well as attendance and analysis of dance performances and sports events will be jumping off point for creative process and will pave the way for small individual compositions and one larger project. In an atmosphere of play, spontaneity and research participants will discover new ways of defining dance, pushing limits and bending the rules. Guest choreographers and coaches will be invited as part of the class. Open to all movers. No previous experience necessary.",6,20,0,,,TTH | 1:15 PM - 3:00 PM,"CL: 100 level

DANC - Dance Program :: DANC Choreography

LAR: Arts Practice :: LAR: ARP, Arts Practice",Open
Dance (DANC),2025 Spring Term,DANC 266-00 - Reading the Dancing Body,"Dance is a field in which bodies articulate a history of sexuality, nation, gender, and race. In this course, the investigation of the body as a “text” will be anchored by intersectional and feminist perspectives. We will re-center American concert dance history, emphasizing the Africanist base of American Dance performance, contemporary black choreographers, and Native American concert dance. Through reading, writing, discussing, moving, viewing videos and performances the class will “read” the gender, race, and politics of the dancing body in the cultural/historical context of Modern, Post Modern and Contemporary Dance.",6,20,0,,,TTH | 10:10 AM - 11:55 AM,"AFST - Africana Studies Program :: AFST LitArtistic Analysis

AMST - American Studies Program :: AMST Prdctn Consmptn Cult

CL: 200 level

DANC - Dance Program :: DANC History Theory Lit

GWSS - Gender, Women’s & Sexuality Studies Program :: GWSS Elective

LAR: Humanistic Inquiry :: LAR: HI, Humanistic Inquiry

LAR: IDS, Intercultural Domestic Studies

LAR: WR2 Writing Requirement 2",Open
Economics (ECON),2025 Spring Term,ECON 110-01 - Principles of Macroeconomics,"This course gives students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 111, as a preparation for all advanced study in economics. Topics include analysis of the measurement, level, and distribution of national income; the concepts of inflation and depression; the role and structure of the banking system; fiscal and monetary stabilization techniques; implications of and limits to economic growth; and international economic relations.",6,30,0,,,TTH | 10:10 AM - 11:55 AM,"CL: 100 level

LAR: QRE, Quantitative Reasoning

LAR:  Social Inquiry :: LAR: SI, Social Inquiry

PPOL -  Public Policy Program :: PPOL Core",Open
Economics (ECON),2025 Spring Term,ECON 111-01 - Principles of Microeconomics,"This course gives the students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 110, as a preparation for all advanced study in economics. Topics include consumer choice theory; the formation of prices under competition, monopoly, and other market structures; the determination of wages, profits, and income from capital; the distribution of income; and an analysis of policy directed towards problems of public finance, pollution, natural resources, and public goods.",6,30,0,,,"F | 9:40 AM - 10:40 AM

MW | 9:50 AM - 11:00 AM","CL: 100 level

LAR: QRE, Quantitative Reasoning

LAR:  Social Inquiry :: LAR: SI, Social Inquiry

PPOL -  Public Policy Program :: PPOL Core",Open
Economics (ECON),2025 Spring Term,ECON 265-00 - Game Theory & Econ Application,"Game theory is the study of purposeful behavior in strategic situations. It serves as a framework for analysis that can be applied to everyday decisions, such as working with a study group and cleaning your room, as well as to a variety of economic issues, including contract negotiations and firms' output decisions. In this class, modern game theoretic tools will be primarily applied to economic situations, but we will also draw on examples from other realms.",6,25,0,,,"F | 1:10 PM - 2:10 PM

MW | 12:30 PM - 1:40 PM","CGSC - Cognitive Science Program :: CGSC Elective

CL: 200 level

ECON - Economics Program :: ECON Elective

LAR: QRE, Quantitative Reasoning

LAR:  Social Inquiry :: LAR: SI, Social Inquiry",Open
Economics (ECON),2025 Spring Term,ECON 269-00 - Economics of Climate Change,"This course studies the relationship between climate change, government policy, and global markets. It explores the historical relationship between economic growth and greenhouse gasses, the cost-benefit analysis of policies aimed at reducing greenhouse gas emissions, and the potential for adaptation to climate change. Through readings, discussions, and case studies, students will gain a deep understanding of the economic implications of climate change and the policies that can be used to mitigate its effects. By the end of the course, students will have developed a critical understanding of the complex relationship between economics and climate change and will be equipped to engage in meaningful discussions and analysis of this pressing global issue.",6,25,0,,,"F | 8:30 AM - 9:30 AM

MW | 8:30 AM - 9:40 AM","CL: 200 level

ECON - Economics Program :: ECON Elective

ENTS - Environmental Studies Program :: ENTS Society, Culture and Policy

LAR: QRE, Quantitative Reasoning

LAR:  Social Inquiry :: LAR: SI, Social Inquiry

PPOL -  Public Policy Program :: PPOL Envir Pol & Sustainablty",Open
Economics (ECON),2025 Spring Term,ECON 270-00 - Economics of the Public Sector,This course provides a theoretical and empirical examination of the government's role in the U.S. economy. Emphasis is placed on policy analysis using the criteria of efficiency and equity. Topics include rationales for government intervention; analysis of alternative public expenditure programs from a partial and/or general equilibrium framework; the incidence of various types of taxes; models of collective choice; cost-benefit analysis; intergovernmental fiscal relations.,6,25,0,,,TTH | 1:15 PM - 3:00 PM,"ACE Theoretical

AMST - American Studies Program :: AMST Democracy Activism

CL: 200 level

ECON - Economics Program :: ECON Elective

EDUC - Educational Studies Program :: EDUC 3 Publ Pol/Educ Refrm

LAR: QRE, Quantitative Reasoning

LAR:  Social Inquiry :: LAR: SI, Social Inquiry

LAR: WR2 Writing Requirement 2

POSI - Political Science and International Relations Program :: POSI Elective/Non POSC

PPOL -  Public Policy Program :: PPOL Core",Open
Economics (ECON),2025 Spring Term,ECON 274-00 - Labor Economics,"Why do some people choose to work and others do not? Why are some people paid higher wages than others? What are the economic benefits of education for the individual and for society? How do government policies, such as subsidized child care, the Earned Income Tax Credit and the income tax influence whether people work and the number of hours they choose to work? These are some of the questions examined in labor economics. This course will focus on the labor supply and human capital decisions of individuals and households.",6,25,0,,,"F | 12:00 PM - 1:00 PM

MW | 11:10 AM - 12:20 PM","CL: 200 level

ECON - Economics Program :: ECON Elective

LAR: QRE, Quantitative Reasoning

LAR:  Social Inquiry :: LAR: SI, Social Inquiry

POSI - Political Science and International Relations Program :: POSI Elective/Non POSC

PPOL -  Public Policy Program :: PPOL Econ Pol Makg & Devel",Open
Economics (ECON),2025 Spring Term,ECON 277-00 - Hist & Theory of Finan Crises,"This course provides a historical perspective on financial crises and highlights their main empirical patterns. This course also introduces economic theories of financial crises, in which leverage, moral hazard, mistaken beliefs, and coordination problems play a central role. We will also discuss some policy instruments used to balance risk exposure, such as deposit insurance, collective action clauses, exchange controls, and foreign reserves.",6,25,0,,,TTH | 10:10 AM - 11:55 AM,"CL: 200 level

ECON - Economics Program :: ECON Elective

HIST - History Program :: HIST Latin America

HIST - History Program :: HIST Pertinent Courses

LAR: IS, International Studies

LAR:  Social Inquiry :: LAR: SI, Social Inquiry

LTAM - Latin American Studies Program :: LTAM Electives

POSI - Political Science and International Relations Program :: POSI Elective/Non POSC",Open
Economics (ECON),2025 Spring Term,ECON 280-00 - International Trade,"A study of international trade theories and their policy implications. Classical and neo-classical trade models, the gains from trade, the terms of trade and the distribution of income, world trade patterns, international factor movements, tariffs, and the impact of commercial policy on developing and developed countries are analyzed.",6,25,0,,,"F | 9:40 AM - 10:40 AM

MW | 9:50 AM - 11:00 AM","CL: 200 level

ECON - Economics Program :: ECON Elective

LAR: QRE, Quantitative Reasoning

LAR:  Social Inquiry :: LAR: SI, Social Inquiry

POSI - Political Science and International Relations Program :: POSI Elective/Non POSC

PPOL -  Public Policy Program :: PPOL Econ Pol Makg & Devel",Open
Economics (ECON),2025 Spring Term,ECON 330-00 - Intermediate Price Theory,An analysis of the forces determining relative prices within the framework of production and distribution. This class is normally taken by juniors. Sophomores considering enrolling should speak to the instructor.,6,20,0,,,TTH | 10:10 AM - 11:55 AM,"CL: 300 level

LAR: QRE, Quantitative Reasoning

LAR:  Social Inquiry :: LAR: SI, Social Inquiry",Open
Economics (ECON),2025 Spring Term,ECON 331-00 - Intermediate Macro Theory,"Analysis of the forces determining the general level of output, employment, and prices with special emphasis on the role of money and on interest rate determination. This class is normally taken by juniors. Sophomores considering enrolling should speak to the instructor.",6,25,0,,,TTH | 1:15 PM - 3:00 PM,"CL: 300 level

LAR: QRE, Quantitative Reasoning

LAR:  Social Inquiry :: LAR: SI, Social Inquiry",Open
Educational Studies (EDUC),2025 Spring Term,EDUC 110-00 - Intro to Educational Studies,"This course will focus on education as a multidisciplinary field of study. We will explore the meanings of education within individual lives and institutional contexts, learn to critically examine the assumptions that writers, psychologists, sociologists and philosophers bring to the study of education, and read texts from a variety of disciplines. What has ""education"" meant in the past? What does ""education"" mean in contemporary American society? What might ""education"" mean to people with differing circumstances and perspectives? And what should ""education"" mean in the future? Open only to first-and second-year students.",6,25,0,,,"F | 9:40 AM - 10:40 AM

MW | 9:50 AM - 11:00 AM","CL: 100 level

EDUC - Educational Studies Program :: EDUC Core

LAR: IDS, Intercultural Domestic Studies

LAR:  Social Inquiry :: LAR: SI, Social Inquiry

LAR: WR2 Writing Requirement 2",Open
Educational Studies (EDUC),2025 Spring Term,EDUC 242-00 - Education and Technology,"This course will examine the increasingly prominent role that technology is playing in education, inside and outside of schools. How is technology transforming teaching and learning? What are the potential costs and benefits of relying on technology to provide educational opportunities? Is technology re-wiring our brains? And who needs brains when we have Google and ChatGPT? This course will examine the following topics, among others: digital literacy, virtual reality, cyborgs and artificial intelligence.",6,25,0,,,"F | 1:10 PM - 2:10 PM

MW | 12:30 PM - 1:40 PM","CL: 200 level

LAR:  Social Inquiry :: LAR: SI, Social Inquiry",Open
Educational Studies (EDUC),2025 Spring Term,EDUC 338-00 - Multicultural Education,"This course focuses on the respect for human diversity, especially as these relate to various racial, cultural and economic groups, and to women. It includes lectures and discussions intended to aid students in relating to a wide variety of persons, cultures, and life styles.",6,20,0,,Extra time,"F | 9:40 AM - 10:40 AM

MW | 9:50 AM - 11:00 AM","ACE Applied

ACE Theoretical

AFST - Africana Studies Program :: AFST Social Inquiry

AMST - American Studies Program :: AMST Race Ethnicty Indign

AMST - American Studies Program :: AMST Space and Place

CL: 300 level

EDUC - Educational Studies Program :: EDUC Core

LAR: IDS, Intercultural Domestic Studies

LAR:  Social Inquiry :: LAR: SI, Social Inquiry",Open
Educational Studies (EDUC),2025 Spring Term,EDUC 385-00 - Schooling and Communities,This course permits licensure candidates to become more familiar with their student teaching sites through frequent observation and interaction. The course provides an opportunity to work directly in schools and community organizations related to schools and to reflect on that experience in a classroom setting. Recommended Preparation: Acceptance into Teacher Licensure Program and registration for fall student teaching.,6,15,0,,Open only to students accepted into Teacher Licensure Program. Extra Time required,,"CL: 300 level

LAR: No Exploration",Open
English,2025 Spring Term,ENGL 109-00 - Craft of Academic Writing,"This course is designed to demystify the practice of academic writing and to introduce students to the skills they’ll need to write effectively in a variety of academic disciplines and contexts. Students will learn how to respond to other authors’ claims, frame clear arguments of their own, structure essays to develop a clear logical flow, integrate outside sources into their writing, and improve their writing through revision. All sections will include a variety of readings, multiple writing assignments, and substantial feedback from the course instructor.",6,15,0,,,TTH | 1:15 PM - 3:00 PM,"CL: 100 level

LAR: No Exploration

LAR: WR2 Writing Requirement 2",Open
English,2025 Spring Term,ENGL 115-00 - The Art of Storytelling,"Jorge Luis Borges is quoted as saying that ""unlike the novel, a short story may be, for all purposes, essential."" This course focuses attention primarily on the short story as an enduring form. We will read short stories drawn from different literary traditions and from various parts of the world. Stories to be read include those by Aksenov, Atwood, Beckett, Borges, Camus, Cheever, Cisneros, Farah, Fuentes, Gordimer, Ishiguro, Kundera, Mahfouz, Marquez, Moravia, Nabokov, Narayan, Pritchett, Rushdie, Trevor, Welty, and Xue.",6,25,0,,,"F | 9:40 AM - 10:40 AM

MW | 9:50 AM - 11:00 AM","CL: 100 level

ENGL - English Program :: ENGL Foundation

LAR: Literary / Artistic Analysis :: LAR: LA, Literary/Artistic Analysis

LAR: WR2 Writing Requirement 2",Open
English,2025 Spring Term,ENGL 160-00 - Creative Writing,"You will work in several genres and forms, among them: traditional and experimental poetry, prose fiction, and creative nonfiction. In your writing you will explore the relationship between the self, the imagination, the word, and the world. In this practitioner’s guide to the creative writing process, we will examine writings from past and current authors, and your writings will be critiqued in a workshop setting and revised throughout the term.",6,15,15,15 - reserved for REQ: Sophomore Priority (Condition Rule) until 03/07/2025,Sophomore Priority,TTH | 10:10 AM - 11:55 AM,"CL: 100 level

ENCW - English Creative Writing Program :: ENCW Creative Wtg Workshop

ENGL - English Program :: ENGL Creative Writing

LAR: Arts Practice :: LAR: ARP, Arts Practice

LAR: WR2 Writing Requirement 2",Open
English,2025 Spring Term,ENGL 202-00 - The Bible as Literature,"We will approach the Bible not as an archaeological relic, nor as the Word of God, but ""as a work of great literary force and authority [that has] shaped the minds and lives of intelligent men and women for two millennia and more."" As one place to investigate such shaping, we will sample how the Bible (especially in the ""Authorized"" or King James version) has drawn British and American poets and prose writers to borrow and deploy its language and respond creatively to its narratives, images, and visions.",6,25,0,,,TTH | 10:10 AM - 11:55 AM,"CL: 200 level

ENGL - English Program :: ENGL Foreign Literature

ENGL - English Program :: ENGL Historical Era 1

ENGL - English Program :: ENGL Tradition 1

LAR: Literary / Artistic Analysis :: LAR: LA, Literary/Artistic Analysis

LAR: WR2 Writing Requirement 2

RELG - Religion Program :: RELG Pertinent Course

RELG - Religion Program :: RELG XDept Pertinent",Open
English,2025 Spring Term,ENGL 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),"This interdisciplinary course, taught in conjunction with a full-scale Carleton Players production, will explore one of Shakespeare’s greatest and most complex works, Twelfth Night. We will investigate the play’s historical, social, and theatrical contexts as we try to understand not only the world that produced the play, but the world that came out of it. How should what we learn of the past inform a modern production? How can performance offer interpretive arguments about the play’s meanings? Mixing embodied and experiential learning, individual and group projects may involve dramaturgy, stagecraft, literary analysis, music, and research in Special Collections.",6,30,0,,,TTH | 1:15 PM - 3:00 PM,"CL: 200 level

ENGL - English Program :: ENGL Historical Era 1

ENGL - English Program :: ENGL Tradition 1

EUST - European Studies Program :: EUST Country Specific

LAR: Arts Practice :: LAR: ARP, Arts Practice

LAR: IS, International Studies

MARS - Medieval and Renaissance Studies Program :: MARS Supporting

THEA - Theater Program :: THEA Lit Critical History",Open
English,2025 Spring Term,ENGL 230-00 - Stds AfrAmer Lit: 1950s-Prsnt,"We will explore developments in African American literature since the 1950s with a focus on literary expression in the Civil Rights Era; on the Black Arts Movement; on the new wave of feminist/womanist writing; and on the experimental and futuristic fictions of the twenty-first century. Authors to be read include Ralph Ellison, James Baldwin, Lorraine Hansberry, Malcolm X, Audre Lorde, Amiri Baraka, Ishmael Reed, Alice Walker, August Wilson, Charles Johnson, Ntozake Shange, Gloria Naylor, Suzan-Lori Parks, Kevin Young, and Tracy Smith.",6,25,0,,,"F | 1:10 PM - 2:10 PM

MW | 12:30 PM - 1:40 PM","AFST - Africana Studies Program :: AFST LitArtistic Analysis

AMST - American Studies Program :: AMST Democracy Activism

AMST - American Studies Program :: AMST Prdctn Consmptn Cult

AMST - American Studies Program :: AMST Race Ethnicty Indign

CL: 200 level

ENGL - English Program :: ENGL Historical Era 3

ENGL - English Program :: ENGL Tradition 2

LAR: IDS, Intercultural Domestic Studies

LAR: Literary / Artistic Analysis :: LAR: LA, Literary/Artistic Analysis",Open
