Course_1,Course_2,Description_1,Description_2,Similarity,most_similar_word
DANC 200,CAMS 265,A continuation of Level I with more emphasis on the development of technique and expressive qualities.,"This course examines the theories and techniques of sound design for film and video. Students will learn the basics of audio recording, sound editing and multi-track sound design specifically for the moving image. The goal of the course is a greater understanding of the practices and concepts associated with soundtrack development through projects using recording equipment and the digital audio workstation for editing and mixing.",0.7727213,development - development
DANC 200,DANC 309,A continuation of Level I with more emphasis on the development of technique and expressive qualities.,This is an advanced class for students who have some capabilities and proficiency in ballet technique. Content is sophisticated and demanding in its use of ballet vocabulary and musical phrasing.,0.7726349,technique - use
DANC 206,DANC 206,Rehearsal and full concert performance of student dance works created during the year and completed in the spring term. Open to all levels.,Rehearsal and full concert performance of student dance works created during the year and completed in the spring term. Open to all levels.,0.9999999,full - full
DANC 206,ECON 330,Rehearsal and full concert performance of student dance works created during the year and completed in the spring term. Open to all levels.,An analysis of the forces determining relative prices within the framework of production and distribution. This class is normally taken by juniors. Sophomores considering enrolling should speak to the instructor.,0.8538476,full - taken
DANC 206,ECON 331,Rehearsal and full concert performance of student dance works created during the year and completed in the spring term. Open to all levels.,"Analysis of the forces determining the general level of output, employment, and prices with special emphasis on the role of money and on interest rate determination. This class is normally taken by juniors. Sophomores considering enrolling should speak to the instructor.",0.829947,full - special
DANC 206,EDUC 385,Rehearsal and full concert performance of student dance works created during the year and completed in the spring term. Open to all levels.,This course permits licensure candidates to become more familiar with their student teaching sites through frequent observation and interaction. The course provides an opportunity to work directly in schools and community organizations related to schools and to reflect on that experience in a classroom setting. Recommended Preparation:Acceptance into Teacher Licensure Program and registration for fall student teaching.Open only to students accepted into Teacher Licensure Program. Extra Time required,0.8175272,year - fall
DANC 206,CHEM 349,Rehearsal and full concert performance of student dance works created during the year and completed in the spring term. Open to all levels.,Credit for the laboratory portion of Chemistry 348.Requires concurrent registration in CHEM 348,0.8113824,full - portion
DANC 206,CHEM 352,Rehearsal and full concert performance of student dance works created during the year and completed in the spring term. Open to all levels.,"Synthesis, purification and spectroscopic characterization of transition-metal complexes with an emphasis on methods for preparing and handling air-sensitive compounds. One laboratory per week.Previous or concurrent registration in CHEM 351",0.8101627,year - per
DANC 206,BIOL 353,Rehearsal and full concert performance of student dance works created during the year and completed in the spring term. Open to all levels.,Requires concurrent registration in BIOL 352.,0.79180634,full - registration
DANC 206,RUSS 103,Rehearsal and full concert performance of student dance works created during the year and completed in the spring term. Open to all levels.,Concludes introductory method of Russian 101-102.,0.79058784,works - method
DANC 206,RUSS 110,Rehearsal and full concert performance of student dance works created during the year and completed in the spring term. Open to all levels.,"For students with no previous training in or minimal knowledge of Russian. Simultaneous development of skills in speaking, reading, aural comprehension, and writing. Class meets four days a week for two hours. This course is conducted by members of Kazakh National University’s Philological Faculty and supervised by the program director.",0.79003,year - week
DANC 206,THEA 199,Rehearsal and full concert performance of student dance works created during the year and completed in the spring term. Open to all levels.,"This course is designed for students who have major responsibilities in Carleton Players productions as Stage Managers, Actors and Designers. Students enrolled in this class will have more responsibility and be expected to commit to more time than the students registered in Theater 190, including additional time for research, design and role preparation. Students in this course will get in-depth learning experiences in the processes most central to the discipline; the creation of performances. Students will waitlist for the course; enrollment in the course will be by instructor’s permission depending on the responsibilities students have.Course will meet weeks 2 through 6, the drop add period will be the end of week 2. Open only to students in THEA 199 cohort",0.78331095,year - week
DANC 208,DANC 208,For the student with previous ballet experience. This course emphasizes articulation of technique and development of ballet vocabulary.,For the student with previous ballet experience. This course emphasizes articulation of technique and development of ballet vocabulary.,1.0000001,emphasizes - emphasizes
DANC 208,DANC 309,For the student with previous ballet experience. This course emphasizes articulation of technique and development of ballet vocabulary.,This is an advanced class for students who have some capabilities and proficiency in ballet technique. Content is sophisticated and demanding in its use of ballet vocabulary and musical phrasing.,0.8777327,ballet - ballet
DANC 208,RUSS 103,For the student with previous ballet experience. This course emphasizes articulation of technique and development of ballet vocabulary.,Concludes introductory method of Russian 101-102.,0.81592476,technique - method
DANC 208,DANC 200,For the student with previous ballet experience. This course emphasizes articulation of technique and development of ballet vocabulary.,A continuation of Level I with more emphasis on the development of technique and expressive qualities.,0.79484135,development - development
DANC 208,CHEM 349,For the student with previous ballet experience. This course emphasizes articulation of technique and development of ballet vocabulary.,Credit for the laboratory portion of Chemistry 348.Requires concurrent registration in CHEM 348,0.7803206,technique - laboratory
DANC 208,EDUC 395,For the student with previous ballet experience. This course emphasizes articulation of technique and development of ballet vocabulary.,"This is a capstone seminar for educational studies minors. It focuses on a contemporary issue in American education with a different topic each year. Recent seminars have focused on the school to prison pipeline, youth activism, intellectual freedom in schools, and gender and sexuality in education. Senior seminars often incorporate off campus work with public school students and teachers.Extra Time required.",0.77631205,emphasizes - focuses
DANC 208,BIOL 126,For the student with previous ballet experience. This course emphasizes articulation of technique and development of ballet vocabulary.,"Emphasizes the role of energy flow (acquiring, storing, and using energy) in biological systems. Under this theme, we cover subjects from the molecular to the population levels of organization, including structure/function of proteins and enzymes, transport of molecules within biological systems, and links between organismal physiology and ecosystem function. The active learning format of this course allows time in class to apply new concepts with faculty present. Students enter Carleton from a wide variety of academic experiences and our introductory courses are designed to provide a level playing field for students regardless of previous science background.Sophomore Priority; Two seats held for Juniors and Seniors until the first day of sophomore registration.",0.7757078,previous - previous
DANC 208,ENGL 295,For the student with previous ballet experience. This course emphasizes articulation of technique and development of ballet vocabulary.,"Required of students majoring in English, this course explores practical and theoretical issues in literary analysis and contemporary criticism.Not open to first year students.",0.76885045,previous - year
DANC 208,BIOL 125,For the student with previous ballet experience. This course emphasizes articulation of technique and development of ballet vocabulary.,"Emphasizes the role of genetic information in biological systems. Under this theme, we cover subjects from the molecular to the population levels of organization, including genetics, structure/function of DNA, gene expression and regulation, the changing genetic makeup of species as they evolve, and the development of individual organisms from zygotes. The active learning format of this course allows time in class to apply new concepts with faculty present. Students enter Carleton from a wide variety of academic experiences and our introductory courses are designed to provide a level playing field for students regardless of previous science background.Sophomore Priority; Two seats held for Juniors and Seniors until the first day of sophomore registration.",0.7652687,development - development
DANC 208,DANC 206,For the student with previous ballet experience. This course emphasizes articulation of technique and development of ballet vocabulary.,Rehearsal and full concert performance of student dance works created during the year and completed in the spring term. Open to all levels.,0.7652453,previous - year
DANC 279,DANC 279,"Tap is an energetic form of dance that focuses on rhythm and percussion. Classes will include across the floor exercises that teach dynamics, shading, phrasing, and musicality along with extended rhythmic phrases and improvisation exercises. Tap dance originated in the southern United States as a fusion of West African dance roots and Europeanist influences. In this course students will learn tap skills as well as important aspects of tap dance history. Some previous experience with Tap dance is recommended.","Tap is an energetic form of dance that focuses on rhythm and percussion. Classes will include across the floor exercises that teach dynamics, shading, phrasing, and musicality along with extended rhythmic phrases and improvisation exercises. Tap dance originated in the southern United States as a fusion of West African dance roots and Europeanist influences. In this course students will learn tap skills as well as important aspects of tap dance history. Some previous experience with Tap dance is recommended.",0.99999976,extended - extended
DANC 279,ARTS 230,"Tap is an energetic form of dance that focuses on rhythm and percussion. Classes will include across the floor exercises that teach dynamics, shading, phrasing, and musicality along with extended rhythmic phrases and improvisation exercises. Tap dance originated in the southern United States as a fusion of West African dance roots and Europeanist influences. In this course students will learn tap skills as well as important aspects of tap dance history. Some previous experience with Tap dance is recommended.","This course is focused on the creative possibilities of the pottery wheel as a means to create utilitarian objects. Students are challenged to explore conceptual ideas while maintaining a dedication to function. An understanding of aesthetic values and technical skills are achieved through studio practice, readings, and demonstrations. Basic glaze and clay calculations, high fire and wood kiln firing techniques, and a significant civic engagement component, known as the Empty Bowls Project, are included in the course.Two seats held for Art and Art History majors until the day after junior priority registration.",0.8171534,skills - skills
DANC 279,DANC 350,"Tap is an energetic form of dance that focuses on rhythm and percussion. Classes will include across the floor exercises that teach dynamics, shading, phrasing, and musicality along with extended rhythmic phrases and improvisation exercises. Tap dance originated in the southern United States as a fusion of West African dance roots and Europeanist influences. In this course students will learn tap skills as well as important aspects of tap dance history. Some previous experience with Tap dance is recommended.","Provides advanced dance students with an intensive opportunity to develop as performers in professional level dances. Skills to be honed are: the dancer as contributor to the process of art-making; defining individual technical and expressive gifts; working in a variety of new technical and philosophical dance frameworks. In addition to regular training during the academic terms, participation in a ""preseason"" rehearsal period before fall term is required. A few pieces of student choreography will be accepted for repertory. The group produces an annual concert, performs in the Twin Cities and makes dance exchanges with other college groups. Recommended Preparation:Admission by audition.Audition required.",0.80857784,students - students
DANC 279,PHYS 145,"Tap is an energetic form of dance that focuses on rhythm and percussion. Classes will include across the floor exercises that teach dynamics, shading, phrasing, and musicality along with extended rhythmic phrases and improvisation exercises. Tap dance originated in the southern United States as a fusion of West African dance roots and Europeanist influences. In this course students will learn tap skills as well as important aspects of tap dance history. Some previous experience with Tap dance is recommended.","This course begins with the study of the motion of objects on the human scale using Newton’s laws. The course provides the foundation for the study of conservation of energy and momentum, waves, and fluids. Biologic, medical, chemical, nuclear, and geologic applications may be considered. Comfort with algebra and the integration and differentiation of elementary functions is assumed. Weekly laboratory work.",0.79318815,well - may
DANC 279,GEOL 255,"Tap is an energetic form of dance that focuses on rhythm and percussion. Classes will include across the floor exercises that teach dynamics, shading, phrasing, and musicality along with extended rhythmic phrases and improvisation exercises. Tap dance originated in the southern United States as a fusion of West African dance roots and Europeanist influences. In this course students will learn tap skills as well as important aspects of tap dance history. Some previous experience with Tap dance is recommended.","An introduction to the fundamental physical, chemical and tectonic principles that are relevant to the formation of igneous and metamorphic rocks. Labs emphasize description and interpretation of the origin of rocks based on hand specimen and thin section study. Field trips and laboratories are included.Extra time for field trips",0.77839106,well - time
DANC 279,CHEM 352,"Tap is an energetic form of dance that focuses on rhythm and percussion. Classes will include across the floor exercises that teach dynamics, shading, phrasing, and musicality along with extended rhythmic phrases and improvisation exercises. Tap dance originated in the southern United States as a fusion of West African dance roots and Europeanist influences. In this course students will learn tap skills as well as important aspects of tap dance history. Some previous experience with Tap dance is recommended.","Synthesis, purification and spectroscopic characterization of transition-metal complexes with an emphasis on methods for preparing and handling air-sensitive compounds. One laboratory per week.Previous or concurrent registration in CHEM 351",0.77269244,focuses - emphasis
DANC 279,CHEM 349,"Tap is an energetic form of dance that focuses on rhythm and percussion. Classes will include across the floor exercises that teach dynamics, shading, phrasing, and musicality along with extended rhythmic phrases and improvisation exercises. Tap dance originated in the southern United States as a fusion of West African dance roots and Europeanist influences. In this course students will learn tap skills as well as important aspects of tap dance history. Some previous experience with Tap dance is recommended.",Credit for the laboratory portion of Chemistry 348.Requires concurrent registration in CHEM 348,0.77107036,along - portion
DANC 279,THEA 110,"Tap is an energetic form of dance that focuses on rhythm and percussion. Classes will include across the floor exercises that teach dynamics, shading, phrasing, and musicality along with extended rhythmic phrases and improvisation exercises. Tap dance originated in the southern United States as a fusion of West African dance roots and Europeanist influences. In this course students will learn tap skills as well as important aspects of tap dance history. Some previous experience with Tap dance is recommended.","Introduces students to fundamental acting skills, including preliminary physical training, improvisational techniques, and basic scene work. The course includes analysis of plays as bases for performance, with a strong emphasis on characterization.Extra Time for rehearsal",0.76634073,students - students
DANC 279,GEOL 240,"Tap is an energetic form of dance that focuses on rhythm and percussion. Classes will include across the floor exercises that teach dynamics, shading, phrasing, and musicality along with extended rhythmic phrases and improvisation exercises. Tap dance originated in the southern United States as a fusion of West African dance roots and Europeanist influences. In this course students will learn tap skills as well as important aspects of tap dance history. Some previous experience with Tap dance is recommended.","This applied geophysics course focuses on understanding the near-surface structure of the Earth using a hand-on approach. Students will collect, process, model, and interpret geophysical data using gravitational, magnetic, and seismic methods. Weekly laboratories and one weekend field trip will be required.Extra time for weekend field trip",0.7595566,focuses - focuses
DANC 279,PHYS 342,"Tap is an energetic form of dance that focuses on rhythm and percussion. Classes will include across the floor exercises that teach dynamics, shading, phrasing, and musicality along with extended rhythmic phrases and improvisation exercises. Tap dance originated in the southern United States as a fusion of West African dance roots and Europeanist influences. In this course students will learn tap skills as well as important aspects of tap dance history. Some previous experience with Tap dance is recommended.","A study of experimental techniques and apparatus basic to the measurements which underlie and validate contemporary theories in physics. Topics include electrical measurements, data analysis and statistics, optical and laser techniques, particle detectors, and time coincidence techniques. Applications are made to experiments such as magnetic resonance, Mossbauer and nuclear spectroscopy and laser optics. Class time is devoted to studying the measurement techniques and considering phenomenological models of the effects observed in the laboratory. One laboratory per week.",0.758156,include - include
DANC 309,DANC 309,This is an advanced class for students who have some capabilities and proficiency in ballet technique. Content is sophisticated and demanding in its use of ballet vocabulary and musical phrasing.,This is an advanced class for students who have some capabilities and proficiency in ballet technique. Content is sophisticated and demanding in its use of ballet vocabulary and musical phrasing.,1.0000001,capabilities - capabilities
DANC 309,DANC 208,This is an advanced class for students who have some capabilities and proficiency in ballet technique. Content is sophisticated and demanding in its use of ballet vocabulary and musical phrasing.,For the student with previous ballet experience. This course emphasizes articulation of technique and development of ballet vocabulary.,0.8777327,ballet - ballet
DANC 309,HEBR 102,This is an advanced class for students who have some capabilities and proficiency in ballet technique. Content is sophisticated and demanding in its use of ballet vocabulary and musical phrasing.,"This course is for students who have completed Hebrew 101 or whose test scores indicate that this is an appropriate level of placement. We continue expanding our vocabulary and grammar knowledge, integrating listening, speaking, reading, and writing in Hebrew. We also continue working with Israeli films and internet, particularly for a Karaoke in Hebrew group project which involves learning and performing an Israeli pop song and researching the artists’ background and messages for a class presentation.",0.7945142,students - students
DANC 309,DANC 200,This is an advanced class for students who have some capabilities and proficiency in ballet technique. Content is sophisticated and demanding in its use of ballet vocabulary and musical phrasing.,A continuation of Level I with more emphasis on the development of technique and expressive qualities.,0.7726349,use - technique
DANC 309,CAMS 214,This is an advanced class for students who have some capabilities and proficiency in ballet technique. Content is sophisticated and demanding in its use of ballet vocabulary and musical phrasing.,"This course is designed to introduce students to recent film history, 1970-present, and the multiple permutations of cinema around the globe. The course charts the development of national cinemas since the 1970s while considering the effects of media consolidation and digital convergence. Moreover, the course examines how global cinemas have reacted to and dealt with the formal influence and economic domination of Hollywood on international audiences. Class lectures, screenings, and discussions will consider how cinema has changed from a primarily national phenomenon to a transnational form in the twenty-first century.Extra Time required for evening Screenings.",0.76126486,students - students
DANC 309,CHEM 300.00,This is an advanced class for students who have some capabilities and proficiency in ballet technique. Content is sophisticated and demanding in its use of ballet vocabulary and musical phrasing.,"An elective laboratory course involving mentored Chemistry research on a collaborative group project. The course involves regular scheduled class and laboratory meetings to introduce important topics and background literature relevant to the research, develop research strategies, and perform the project. The majority of the course will consist of laboratory research, with students submitting intermediate and final reports on their findings. This section will investigate the stereochemistry and sustainability of Suzuki cross coupling reactions.Extra Time, Students admitted by application, waitlist only",0.7557072,students - students
DANC 309,CAMS 265,This is an advanced class for students who have some capabilities and proficiency in ballet technique. Content is sophisticated and demanding in its use of ballet vocabulary and musical phrasing.,"This course examines the theories and techniques of sound design for film and video. Students will learn the basics of audio recording, sound editing and multi-track sound design specifically for the moving image. The goal of the course is a greater understanding of the practices and concepts associated with soundtrack development through projects using recording equipment and the digital audio workstation for editing and mixing.",0.74838203,use - using
DANC 309,IDSC 198,This is an advanced class for students who have some capabilities and proficiency in ballet technique. Content is sophisticated and demanding in its use of ballet vocabulary and musical phrasing.,"This colloquium is designed to give students participating in the Focusing on Cultivating Scientists program an opportunity to learn and use skills in scientific study, reasoning, and modeling. The topics of this project-based colloquium will vary each term, and allow students to develop competencies in areas relevant to multiple science disciplines.",0.743612,students - students
DANC 309,POSC 201,This is an advanced class for students who have some capabilities and proficiency in ballet technique. Content is sophisticated and demanding in its use of ballet vocabulary and musical phrasing.,"This course covers the science and art of statecraft, which is the application of the tools of national power. Students will study how nations use diplomatic, economic, and military power to achieve stated national policy objectives. The course is team-taught by three career national security professionals. Case studies are used to assess the application of diplomatic, economic, and military power in the real world. Course readings, papers, and significant classroom discussion will deliver content to students and set the stage for the International Strategic Crisis Negotiation Exercise, which is a graded part of the course.Not open to first years.",0.74078774,students - students
DANC 309,NEUR 395,This is an advanced class for students who have some capabilities and proficiency in ballet technique. Content is sophisticated and demanding in its use of ballet vocabulary and musical phrasing.,This capstone seminar will cover current approaches and techniques in the field of neuroscience. Guest speakers in neuroscience and related areas will present their research.1st 5 weeks,0.74053764,use - techniques
DANC 310,DANC 310,"This advanced course will continue to focus on a variety of embodied movement approaches to refine the awareness of the moving body and prepare for the rigors of performance and physical research. The aim will be on finding a personal connection to movement through subtlety, speed and effort.","This advanced course will continue to focus on a variety of embodied movement approaches to refine the awareness of the moving body and prepare for the rigors of performance and physical research. The aim will be on finding a personal connection to movement through subtlety, speed and effort.",1.0000001,moving - moving
DANC 310,BIOL 370,"This advanced course will continue to focus on a variety of embodied movement approaches to refine the awareness of the moving body and prepare for the rigors of performance and physical research. The aim will be on finding a personal connection to movement through subtlety, speed and effort.","An examination of selected animal viruses. The course will focus on the most recent developments in HIV-related research, including implications for HIV-treatment and vaccines and the impact of viral infection on the immune system of the host. In addition to studying the structure and replication of particular viruses we will also discuss the current laboratory techniques used in viral research.",0.86433804,focus - focus
DANC 310,DANC 200,"This advanced course will continue to focus on a variety of embodied movement approaches to refine the awareness of the moving body and prepare for the rigors of performance and physical research. The aim will be on finding a personal connection to movement through subtlety, speed and effort.",A continuation of Level I with more emphasis on the development of technique and expressive qualities.,0.85948044,focus - emphasis
DANC 310,NEUR 395,"This advanced course will continue to focus on a variety of embodied movement approaches to refine the awareness of the moving body and prepare for the rigors of performance and physical research. The aim will be on finding a personal connection to movement through subtlety, speed and effort.",This capstone seminar will cover current approaches and techniques in the field of neuroscience. Guest speakers in neuroscience and related areas will present their research.1st 5 weeks,0.8402395,approaches - approaches
DANC 310,ARTS 262,"This advanced course will continue to focus on a variety of embodied movement approaches to refine the awareness of the moving body and prepare for the rigors of performance and physical research. The aim will be on finding a personal connection to movement through subtlety, speed and effort.","This course provides an introduction to the medium of watercolor painting and gouache (opaque water-based paint) on paper surfaces. Students will develop an understanding of basic color interactions and a wide spectrum of paint application strategies from meticulous refined brushwork to fluid, expressive markmaking.Two seats held for Art and Art History majors until the day after junior priority registration.",0.82526016,approaches - strategies
DANC 310,GEOL 255,"This advanced course will continue to focus on a variety of embodied movement approaches to refine the awareness of the moving body and prepare for the rigors of performance and physical research. The aim will be on finding a personal connection to movement through subtlety, speed and effort.","An introduction to the fundamental physical, chemical and tectonic principles that are relevant to the formation of igneous and metamorphic rocks. Labs emphasize description and interpretation of the origin of rocks based on hand specimen and thin section study. Field trips and laboratories are included.Extra time for field trips",0.8153105,focus - emphasize
DANC 310,NEUR 239,"This advanced course will continue to focus on a variety of embodied movement approaches to refine the awareness of the moving body and prepare for the rigors of performance and physical research. The aim will be on finding a personal connection to movement through subtlety, speed and effort.",This laboratory course will provide experience in performing experiments to elucidate the structure and function of neurons and neural circuits using classical and cutting-edge techniques. Students will apply these techniques to develop and carry out an independent research project.,0.7940162,physical - experience
DANC 310,THEA 185,"This advanced course will continue to focus on a variety of embodied movement approaches to refine the awareness of the moving body and prepare for the rigors of performance and physical research. The aim will be on finding a personal connection to movement through subtlety, speed and effort.","This course seeks to provide a practical understanding of the human voice, its anatomy, functioning and the underlying support mechanisms of body and breath. Using techniques rooted in the work of Berry, Linklater and Rodenburg, the course will explore the development of physical balance and ease and the awareness of the connection between thinking and breathing that will lead to the effortless, powerful and healthy use of the voice in public presentations and in dramatic performance.",0.790862,awareness - awareness
DANC 310,THEA 110,"This advanced course will continue to focus on a variety of embodied movement approaches to refine the awareness of the moving body and prepare for the rigors of performance and physical research. The aim will be on finding a personal connection to movement through subtlety, speed and effort.","Introduces students to fundamental acting skills, including preliminary physical training, improvisational techniques, and basic scene work. The course includes analysis of plays as bases for performance, with a strong emphasis on characterization.Extra Time for rehearsal",0.7688303,physical - physical
DANC 310,ASTR 113,"This advanced course will continue to focus on a variety of embodied movement approaches to refine the awareness of the moving body and prepare for the rigors of performance and physical research. The aim will be on finding a personal connection to movement through subtlety, speed and effort.",Theory and practice of basic techniques in observational and laboratory astronomy. Certain problems involve the use of the 16-inch and 8-inch telescopes.,0.76526445,variety - use
DANC 350,DANC 350,"Provides advanced dance students with an intensive opportunity to develop as performers in professional level dances. Skills to be honed are: the dancer as contributor to the process of art-making; defining individual technical and expressive gifts; working in a variety of new technical and philosophical dance frameworks. In addition to regular training during the academic terms, participation in a ""preseason"" rehearsal period before fall term is required. A few pieces of student choreography will be accepted for repertory. The group produces an annual concert, performs in the Twin Cities and makes dance exchanges with other college groups. Recommended Preparation:Admission by audition.Audition required.","Provides advanced dance students with an intensive opportunity to develop as performers in professional level dances. Skills to be honed are: the dancer as contributor to the process of art-making; defining individual technical and expressive gifts; working in a variety of new technical and philosophical dance frameworks. In addition to regular training during the academic terms, participation in a ""preseason"" rehearsal period before fall term is required. A few pieces of student choreography will be accepted for repertory. The group produces an annual concert, performs in the Twin Cities and makes dance exchanges with other college groups. Recommended Preparation:Admission by audition.Audition required.",1.0000002,regular - regular
DANC 350,DANC 279,"Provides advanced dance students with an intensive opportunity to develop as performers in professional level dances. Skills to be honed are: the dancer as contributor to the process of art-making; defining individual technical and expressive gifts; working in a variety of new technical and philosophical dance frameworks. In addition to regular training during the academic terms, participation in a ""preseason"" rehearsal period before fall term is required. A few pieces of student choreography will be accepted for repertory. The group produces an annual concert, performs in the Twin Cities and makes dance exchanges with other college groups. Recommended Preparation:Admission by audition.Audition required.","Tap is an energetic form of dance that focuses on rhythm and percussion. Classes will include across the floor exercises that teach dynamics, shading, phrasing, and musicality along with extended rhythmic phrases and improvisation exercises. Tap dance originated in the southern United States as a fusion of West African dance roots and Europeanist influences. In this course students will learn tap skills as well as important aspects of tap dance history. Some previous experience with Tap dance is recommended.",0.80857784,students - students
DANC 350,DANC 190,"Provides advanced dance students with an intensive opportunity to develop as performers in professional level dances. Skills to be honed are: the dancer as contributor to the process of art-making; defining individual technical and expressive gifts; working in a variety of new technical and philosophical dance frameworks. In addition to regular training during the academic terms, participation in a ""preseason"" rehearsal period before fall term is required. A few pieces of student choreography will be accepted for repertory. The group produces an annual concert, performs in the Twin Cities and makes dance exchanges with other college groups. Recommended Preparation:Admission by audition.Audition required.","This introductory course in choreography explores games, structures, systems and sports as sources and locations of movement composition and performance. Readings, viewings and discussion of postmodernist structures and choreographers as well as attendance and analysis of dance performances and sports events will be jumping off point for creative process and will pave the way for small individual compositions and one larger project. In an atmosphere of play, spontaneity and research participants will discover new ways of defining dance, pushing limits and bending the rules. Guest choreographers and coaches will be invited as part of the class. Open to all movers. No previous experience necessary.",0.76751333,process - process
DANC 350,IDSC 280,"Provides advanced dance students with an intensive opportunity to develop as performers in professional level dances. Skills to be honed are: the dancer as contributor to the process of art-making; defining individual technical and expressive gifts; working in a variety of new technical and philosophical dance frameworks. In addition to regular training during the academic terms, participation in a ""preseason"" rehearsal period before fall term is required. A few pieces of student choreography will be accepted for repertory. The group produces an annual concert, performs in the Twin Cities and makes dance exchanges with other college groups. Recommended Preparation:Admission by audition.Audition required.","Carleton does not grant credit for internships, but valuable off-campus learning experiences can be integrated into the academic program. Although the specific nature of internship experiences will vary, internships are opportunities to apply and extend one's academic skills and interests into work in non-academic settings. This course will involve carefully monitored work experiences in which a student has intentional learning goals. Achieving these goals will be measured through reflective writing assignments, as well as written work in connection with assigned readings. Recommended Preparation:An internship and learning contract approved by the Career Center Director of Internships. The internship must be a minimum of 6 weeks and 180 hours and approved in advance by the instructor and the Career Center Internship Program Director.Instructor Consent required",0.7655605,academic - academic
DANC 350,DANC 206,"Provides advanced dance students with an intensive opportunity to develop as performers in professional level dances. Skills to be honed are: the dancer as contributor to the process of art-making; defining individual technical and expressive gifts; working in a variety of new technical and philosophical dance frameworks. In addition to regular training during the academic terms, participation in a ""preseason"" rehearsal period before fall term is required. A few pieces of student choreography will be accepted for repertory. The group produces an annual concert, performs in the Twin Cities and makes dance exchanges with other college groups. Recommended Preparation:Admission by audition.Audition required.",Rehearsal and full concert performance of student dance works created during the year and completed in the spring term. Open to all levels.,0.7602688,dance - dance
DANC 350,DANC 148,"Provides advanced dance students with an intensive opportunity to develop as performers in professional level dances. Skills to be honed are: the dancer as contributor to the process of art-making; defining individual technical and expressive gifts; working in a variety of new technical and philosophical dance frameworks. In addition to regular training during the academic terms, participation in a ""preseason"" rehearsal period before fall term is required. A few pieces of student choreography will be accepted for repertory. The group produces an annual concert, performs in the Twin Cities and makes dance exchanges with other college groups. Recommended Preparation:Admission by audition.Audition required.","A physical exploration at the introductory level of the elements of dance: time, motion, space, shape and energy. Students are challenged physically as they increase their bodily awareness, balance, control, strength and flexibility and get a glimpse of the art of dance.",0.75120866,level - level
DANC 350,PHYS 342,"Provides advanced dance students with an intensive opportunity to develop as performers in professional level dances. Skills to be honed are: the dancer as contributor to the process of art-making; defining individual technical and expressive gifts; working in a variety of new technical and philosophical dance frameworks. In addition to regular training during the academic terms, participation in a ""preseason"" rehearsal period before fall term is required. A few pieces of student choreography will be accepted for repertory. The group produces an annual concert, performs in the Twin Cities and makes dance exchanges with other college groups. Recommended Preparation:Admission by audition.Audition required.","A study of experimental techniques and apparatus basic to the measurements which underlie and validate contemporary theories in physics. Topics include electrical measurements, data analysis and statistics, optical and laser techniques, particle detectors, and time coincidence techniques. Applications are made to experiments such as magnetic resonance, Mossbauer and nuclear spectroscopy and laser optics. Class time is devoted to studying the measurement techniques and considering phenomenological models of the effects observed in the laboratory. One laboratory per week.",0.74344707,addition - include
DANC 350,CHEM 349,"Provides advanced dance students with an intensive opportunity to develop as performers in professional level dances. Skills to be honed are: the dancer as contributor to the process of art-making; defining individual technical and expressive gifts; working in a variety of new technical and philosophical dance frameworks. In addition to regular training during the academic terms, participation in a ""preseason"" rehearsal period before fall term is required. A few pieces of student choreography will be accepted for repertory. The group produces an annual concert, performs in the Twin Cities and makes dance exchanges with other college groups. Recommended Preparation:Admission by audition.Audition required.",Credit for the laboratory portion of Chemistry 348.Requires concurrent registration in CHEM 348,0.7363833,addition - portion
DANC 350,EDUC 385,"Provides advanced dance students with an intensive opportunity to develop as performers in professional level dances. Skills to be honed are: the dancer as contributor to the process of art-making; defining individual technical and expressive gifts; working in a variety of new technical and philosophical dance frameworks. In addition to regular training during the academic terms, participation in a ""preseason"" rehearsal period before fall term is required. A few pieces of student choreography will be accepted for repertory. The group produces an annual concert, performs in the Twin Cities and makes dance exchanges with other college groups. Recommended Preparation:Admission by audition.Audition required.",This course permits licensure candidates to become more familiar with their student teaching sites through frequent observation and interaction. The course provides an opportunity to work directly in schools and community organizations related to schools and to reflect on that experience in a classroom setting. Recommended Preparation:Acceptance into Teacher Licensure Program and registration for fall student teaching.Open only to students accepted into Teacher Licensure Program. Extra Time required,0.7331704,students - students
DANC 350,ARTS 230,"Provides advanced dance students with an intensive opportunity to develop as performers in professional level dances. Skills to be honed are: the dancer as contributor to the process of art-making; defining individual technical and expressive gifts; working in a variety of new technical and philosophical dance frameworks. In addition to regular training during the academic terms, participation in a ""preseason"" rehearsal period before fall term is required. A few pieces of student choreography will be accepted for repertory. The group produces an annual concert, performs in the Twin Cities and makes dance exchanges with other college groups. Recommended Preparation:Admission by audition.Audition required.","This course is focused on the creative possibilities of the pottery wheel as a means to create utilitarian objects. Students are challenged to explore conceptual ideas while maintaining a dedication to function. An understanding of aesthetic values and technical skills are achieved through studio practice, readings, and demonstrations. Basic glaze and clay calculations, high fire and wood kiln firing techniques, and a significant civic engagement component, known as the Empty Bowls Project, are included in the course.Two seats held for Art and Art History majors until the day after junior priority registration.",0.72684366,technical - technical
