source node,target node,similarity score,desc1,desc2,keywords1,keywords2,highlight_words
SOAN 110-00 - Introduction to Anthropology,CS 208-01 - Intro to Computer Systems,0.97098607,"Anthropology is the study of all human beings in all their diversity, an exploration of what it means to be human throughout the globe. This course helps us to see ourselves, and others, from a new perspective. By examining specific analytic concepts—such as culture—and research methods—such as participant observation—we learn how anthropologists seek to understand, document, and explain the stunning variety of human cultures and ways of organizing society. This course encourages you to consider how looking behind cultural assumptions helps anthropologists solve real world dilemmas.","Are you curious what's really going on when a computer runs your code? In this course we will demystify the machine and the tools that we use to program it. Our broad survey of how computer systems execute programs, store information, and communicate will focus on the hardware/software interface, including data representation, instruction set architecture, the C programming language, memory management, and the operating system process model.","human, relationship, cultural, culture, war","movement, process, develop, french, broad",information means
CS 208-01 - Intro to Computer Systems,ARCN 222-00 - Exper Arch & History & Lab,0.954885,"Are you curious what's really going on when a computer runs your code? In this course we will demystify the machine and the tools that we use to program it. Our broad survey of how computer systems execute programs, store information, and communicate will focus on the hardware/software interface, including data representation, instruction set architecture, the C programming language, memory management, and the operating system process model.","This course offers an experiential approach to crafts, technologies, and other material practices in premodern societies. Through hands-on activities and collaborations with local craftspeople, farmers, and other experts, this course will examine and test a variety of hypotheses about how people in the past lived their lives. How did prehistoric people produce stone tools, pottery, and metal? How did ancient Greeks and Romans feed and clothe themselves? How did medieval Europeans build their homes and bury their dead? Students will answer these questions and more by actively participating in a range of experimental archaeology and experiential history projects. Lab required.","movement, process, develop, french, broad","religion, history, culture, middle, century",approach programs
ARCN 222-00 - Exper Arch & History & Lab,CS 208-01 - Intro to Computer Systems,0.954885,"This course offers an experiential approach to crafts, technologies, and other material practices in premodern societies. Through hands-on activities and collaborations with local craftspeople, farmers, and other experts, this course will examine and test a variety of hypotheses about how people in the past lived their lives. How did prehistoric people produce stone tools, pottery, and metal? How did ancient Greeks and Romans feed and clothe themselves? How did medieval Europeans build their homes and bury their dead? Students will answer these questions and more by actively participating in a range of experimental archaeology and experiential history projects. Lab required.","Are you curious what's really going on when a computer runs your code? In this course we will demystify the machine and the tools that we use to program it. Our broad survey of how computer systems execute programs, store information, and communicate will focus on the hardware/software interface, including data representation, instruction set architecture, the C programming language, memory management, and the operating system process model.","religion, history, culture, middle, century","movement, process, develop, french, broad",programs approach
CS 251-00 - Programming Languages: Design and Implementation,MATH 271-00 - Optimization,0.9099254,"What makes a programming language like ""Python"" or like ""Java""? This course will look past superficial properties (like indentation) and into the soul of programming languages. We will explore a variety of topics in programming language construction and design: syntax and semantics, mechanisms for parameter passing, typing, scoping, and control structures. Students will expand their programming experience to include other programming paradigms, including functional languages like Scheme and ML.","Optimization is all about selecting the ""best"" thing. Finding the most likely strategy to win a game, the route that gets you there the fastest, or the curve that most closely fits given data are all examples of optimization problems. In this course we study linear optimization (also known as linear programming), the simplex method, and duality from both a theoretical and a computational perspective. Applications will be selected from statistics, economics, computer science, and more. Additional topics in nonlinear and convex optimization will be covered as time permits.","life, language, mean, evolution, nature","datum, statistic, model, application, linear",programming functional
MATH 271-00 - Optimization,CS 251-00 - Programming Languages: Design and Implementation,0.9099254,"Optimization is all about selecting the ""best"" thing. Finding the most likely strategy to win a game, the route that gets you there the fastest, or the curve that most closely fits given data are all examples of optimization problems. In this course we study linear optimization (also known as linear programming), the simplex method, and duality from both a theoretical and a computational perspective. Applications will be selected from statistics, economics, computer science, and more. Additional topics in nonlinear and convex optimization will be covered as time permits.","What makes a programming language like ""Python"" or like ""Java""? This course will look past superficial properties (like indentation) and into the soul of programming languages. We will explore a variety of topics in programming language construction and design: syntax and semantics, mechanisms for parameter passing, typing, scoping, and control structures. Students will expand their programming experience to include other programming paradigms, including functional languages like Scheme and ML.","datum, statistic, model, application, linear","life, language, mean, evolution, nature",functional programming
CS 251-00 - Programming Languages: Design and Implementation,CGSC 330-00 - Embodied Cognition,0.90953106,"What makes a programming language like ""Python"" or like ""Java""? This course will look past superficial properties (like indentation) and into the soul of programming languages. We will explore a variety of topics in programming language construction and design: syntax and semantics, mechanisms for parameter passing, typing, scoping, and control structures. Students will expand their programming experience to include other programming paradigms, including functional languages like Scheme and ML.","This seminar will consider recent work in philosophy, cognitive science and linguistics critical of views of human cognition as ""disembodied"" and Cartesian. Philosophical sources of the early critiques of symbolic AI and ""cartesianism"" will be considered (Merleau-Ponty, Dewey), as will the enactive (Cuffari, Di Paolo, and De Jaegher) and ecological (Chemero, Cowley, Steffensen) critiques of language, and current work on embodied cognition by Eleanor Rosch, Hubert Dreyfus, John Haugeland, Andy Clark and Evan Thompson. The seminar will include materials relevant to students in philosophy, linguistics, psychology and cognitive science.","life, language, mean, evolution, nature","computer, technology, perception, cognitive, algorithm",language
CGSC 330-00 - Embodied Cognition,CS 251-00 - Programming Languages: Design and Implementation,0.90953106,"This seminar will consider recent work in philosophy, cognitive science and linguistics critical of views of human cognition as ""disembodied"" and Cartesian. Philosophical sources of the early critiques of symbolic AI and ""cartesianism"" will be considered (Merleau-Ponty, Dewey), as will the enactive (Cuffari, Di Paolo, and De Jaegher) and ecological (Chemero, Cowley, Steffensen) critiques of language, and current work on embodied cognition by Eleanor Rosch, Hubert Dreyfus, John Haugeland, Andy Clark and Evan Thompson. The seminar will include materials relevant to students in philosophy, linguistics, psychology and cognitive science.","What makes a programming language like ""Python"" or like ""Java""? This course will look past superficial properties (like indentation) and into the soul of programming languages. We will explore a variety of topics in programming language construction and design: syntax and semantics, mechanisms for parameter passing, typing, scoping, and control structures. Students will expand their programming experience to include other programming paradigms, including functional languages like Scheme and ML.","computer, technology, perception, cognitive, algorithm","life, language, mean, evolution, nature",language
CS 252-00 - Algorithms,STAT 220-00 - Introduction to Data Science,0.90632707,"A course on techniques used in the design and analysis of efficient algorithms. We will cover several major algorithmic design paradigms (greedy algorithms, dynamic programming, divide and conquer, and network flow). Along the way, we will explore the application of these techniques to a variety of domains (natural language processing, economics, computational biology, and data mining, for example). As time permits, we will include supplementary topics like randomized algorithms, advanced data structures, and amortized analysis.","This course will cover the computational side of data analysis, including data acquisition, management, and visualization tools. Topics may include: data scraping, data wrangling, data visualization using packages such as ggplots, interactive graphics using tools such as Shiny, an introduction to classification methods, and understanding and visualizing spatial data. We will use the statistics software R in this course.","computer, technology, perception, cognitive, algorithm","datum, statistic, model, application, linear",data
STAT 220-00 - Introduction to Data Science,CS 252-00 - Algorithms,0.90632707,"This course will cover the computational side of data analysis, including data acquisition, management, and visualization tools. Topics may include: data scraping, data wrangling, data visualization using packages such as ggplots, interactive graphics using tools such as Shiny, an introduction to classification methods, and understanding and visualizing spatial data. We will use the statistics software R in this course.","A course on techniques used in the design and analysis of efficient algorithms. We will cover several major algorithmic design paradigms (greedy algorithms, dynamic programming, divide and conquer, and network flow). Along the way, we will explore the application of these techniques to a variety of domains (natural language processing, economics, computational biology, and data mining, for example). As time permits, we will include supplementary topics like randomized algorithms, advanced data structures, and amortized analysis.","datum, statistic, model, application, linear","computer, technology, perception, cognitive, algorithm",data
CS 252-00 - Algorithms,CHEM 351-00 - Inorganic Chemistry,0.8915471,"A course on techniques used in the design and analysis of efficient algorithms. We will cover several major algorithmic design paradigms (greedy algorithms, dynamic programming, divide and conquer, and network flow). Along the way, we will explore the application of these techniques to a variety of domains (natural language processing, economics, computational biology, and data mining, for example). As time permits, we will include supplementary topics like randomized algorithms, advanced data structures, and amortized analysis.","Symmetry, molecular orbital theory and ligand field theory will provide a framework to explore the bonding, magnetism and spectroscopic properties of coordination complexes. Topics in reactivity (hard and soft acids and bases), bioinorganic chemistry, reaction mechanisms, and organometallic chemistry, will also be introduced.","computer, technology, perception, cognitive, algorithm","basis, structure, group, polynomial, behavior",mechanisms structures
CHEM 351-00 - Inorganic Chemistry,CS 252-00 - Algorithms,0.8915471,"Symmetry, molecular orbital theory and ligand field theory will provide a framework to explore the bonding, magnetism and spectroscopic properties of coordination complexes. Topics in reactivity (hard and soft acids and bases), bioinorganic chemistry, reaction mechanisms, and organometallic chemistry, will also be introduced.","A course on techniques used in the design and analysis of efficient algorithms. We will cover several major algorithmic design paradigms (greedy algorithms, dynamic programming, divide and conquer, and network flow). Along the way, we will explore the application of these techniques to a variety of domains (natural language processing, economics, computational biology, and data mining, for example). As time permits, we will include supplementary topics like randomized algorithms, advanced data structures, and amortized analysis.","basis, structure, group, polynomial, behavior","computer, technology, perception, cognitive, algorithm",structures mechanisms
CS 254-00 - Computability and Complexity,CS 202-00 - Math of Computer Science,0.93833613,"An introduction to the theory of computation. What problems can and cannot be solved efficiently by computers? What problems cannot be solved by computers, period? Topics include formal models of computation, including finite-state automata, pushdown automata, and Turing machines; formal languages, including regular expressions and context-free grammars; computability and uncomputability; and computational complexity, particularly NP-completeness.","This course introduces some of the formal tools of computer science, using a variety of applications as a vehicle. You'll learn how to encode data so that when you scratch the back of a DVD, it still plays just fine; how to distribute ""shares"" of your floor's PIN so that any five of you can withdraw money from the floor bank account (but no four of you can); how to play chess; and more. Topics that we'll explore along the way include: logic and proofs, number theory, elementary complexity theory and recurrence relations, basic probability, counting techniques, and graphs.","computer, technology, perception, cognitive, algorithm","pattern, story, speak, discussion, german",computer computers
CS 202-00 - Math of Computer Science,CS 254-00 - Computability and Complexity,0.93833613,"This course introduces some of the formal tools of computer science, using a variety of applications as a vehicle. You'll learn how to encode data so that when you scratch the back of a DVD, it still plays just fine; how to distribute ""shares"" of your floor's PIN so that any five of you can withdraw money from the floor bank account (but no four of you can); how to play chess; and more. Topics that we'll explore along the way include: logic and proofs, number theory, elementary complexity theory and recurrence relations, basic probability, counting techniques, and graphs.","An introduction to the theory of computation. What problems can and cannot be solved efficiently by computers? What problems cannot be solved by computers, period? Topics include formal models of computation, including finite-state automata, pushdown automata, and Turing machines; formal languages, including regular expressions and context-free grammars; computability and uncomputability; and computational complexity, particularly NP-completeness.","pattern, story, speak, discussion, german","computer, technology, perception, cognitive, algorithm",computers computer
CS 254-00 - Computability and Complexity,PSYC 200-00 - Measurement and Data Analysis in Psychology,0.92306197,"An introduction to the theory of computation. What problems can and cannot be solved efficiently by computers? What problems cannot be solved by computers, period? Topics include formal models of computation, including finite-state automata, pushdown automata, and Turing machines; formal languages, including regular expressions and context-free grammars; computability and uncomputability; and computational complexity, particularly NP-completeness.","The course considers the role of measurement and data analysis focused on behavioral sciences. Various forms of measurement and standards for the evaluation of measures are explored. Students learn how to summarize, organize, and evaluate data using a variety of techniques that are applicable to research in psychology and other disciplines. Among the analyses discussed and applied are tests of means, various forms of analysis of variance, correlation and regression, planned and post-hoc comparisons, as well as various non-parametric tests. Research design is also explored.","computer, technology, perception, cognitive, algorithm","psychology, research, seminar, social, history",data problems
PSYC 200-00 - Measurement and Data Analysis in Psychology,CS 254-00 - Computability and Complexity,0.92306197,"The course considers the role of measurement and data analysis focused on behavioral sciences. Various forms of measurement and standards for the evaluation of measures are explored. Students learn how to summarize, organize, and evaluate data using a variety of techniques that are applicable to research in psychology and other disciplines. Among the analyses discussed and applied are tests of means, various forms of analysis of variance, correlation and regression, planned and post-hoc comparisons, as well as various non-parametric tests. Research design is also explored.","An introduction to the theory of computation. What problems can and cannot be solved efficiently by computers? What problems cannot be solved by computers, period? Topics include formal models of computation, including finite-state automata, pushdown automata, and Turing machines; formal languages, including regular expressions and context-free grammars; computability and uncomputability; and computational complexity, particularly NP-completeness.","psychology, research, seminar, social, history","computer, technology, perception, cognitive, algorithm",problems data
CS 257-01 - Software Design,CS 208-01 - Intro to Computer Systems,0.97939235,"It's easy to write a mediocre computer program, and lots of people do it. Good programs are quite a bit harder to write, and are correspondingly less common. In this course, we will study techniques, tools, and habits that will improve your chances of writing good software. While working on several medium-sized programming projects, we will investigate code construction techniques, debugging and profiling tools, testing methodologies, UML, principles of object-oriented design, design patterns, and user interface design.","Are you curious what's really going on when a computer runs your code? In this course we will demystify the machine and the tools that we use to program it. Our broad survey of how computer systems execute programs, store information, and communicate will focus on the hardware/software interface, including data representation, instruction set architecture, the C programming language, memory management, and the operating system process model.","pattern, story, speak, discussion, german","movement, process, develop, french, broad",going computer
CS 208-01 - Intro to Computer Systems,CS 257-01 - Software Design,0.97939235,"Are you curious what's really going on when a computer runs your code? In this course we will demystify the machine and the tools that we use to program it. Our broad survey of how computer systems execute programs, store information, and communicate will focus on the hardware/software interface, including data representation, instruction set architecture, the C programming language, memory management, and the operating system process model.","It's easy to write a mediocre computer program, and lots of people do it. Good programs are quite a bit harder to write, and are correspondingly less common. In this course, we will study techniques, tools, and habits that will improve your chances of writing good software. While working on several medium-sized programming projects, we will investigate code construction techniques, debugging and profiling tools, testing methodologies, UML, principles of object-oriented design, design patterns, and user interface design.","movement, process, develop, french, broad","pattern, story, speak, discussion, german",computer going
CS 257-01 - Software Design,ASST 110-00 - Elementary Hindi/Urdu,0.9576301,"It's easy to write a mediocre computer program, and lots of people do it. Good programs are quite a bit harder to write, and are correspondingly less common. In this course, we will study techniques, tools, and habits that will improve your chances of writing good software. While working on several medium-sized programming projects, we will investigate code construction techniques, debugging and profiling tools, testing methodologies, UML, principles of object-oriented design, design patterns, and user interface design.","This course will introduce students to basic spoken and written Hindi and Urdu, languages spoken widely across India and Pakistan. The course will teach speaking, listening, reading and writing skills as these are used in everyday social and cultural situations. While in elementary spoken form Hindi and Urdu are almost indistinguishable, they are written in two distinct scripts, both of which students will learn.","pattern, story, speak, discussion, german","life, language, mean, evolution, nature",social quite
ASST 110-00 - Elementary Hindi/Urdu,CS 257-01 - Software Design,0.9576301,"This course will introduce students to basic spoken and written Hindi and Urdu, languages spoken widely across India and Pakistan. The course will teach speaking, listening, reading and writing skills as these are used in everyday social and cultural situations. While in elementary spoken form Hindi and Urdu are almost indistinguishable, they are written in two distinct scripts, both of which students will learn.","It's easy to write a mediocre computer program, and lots of people do it. Good programs are quite a bit harder to write, and are correspondingly less common. In this course, we will study techniques, tools, and habits that will improve your chances of writing good software. While working on several medium-sized programming projects, we will investigate code construction techniques, debugging and profiling tools, testing methodologies, UML, principles of object-oriented design, design patterns, and user interface design.","life, language, mean, evolution, nature","pattern, story, speak, discussion, german",quite social
CS 257-01 - Software Design,SOAN 110-00 - Introduction to Anthropology,0.95000917,"It's easy to write a mediocre computer program, and lots of people do it. Good programs are quite a bit harder to write, and are correspondingly less common. In this course, we will study techniques, tools, and habits that will improve your chances of writing good software. While working on several medium-sized programming projects, we will investigate code construction techniques, debugging and profiling tools, testing methodologies, UML, principles of object-oriented design, design patterns, and user interface design.","Anthropology is the study of all human beings in all their diversity, an exploration of what it means to be human throughout the globe. This course helps us to see ourselves, and others, from a new perspective. By examining specific analytic concepts—such as culture—and research methods—such as participant observation—we learn how anthropologists seek to understand, document, and explain the stunning variety of human cultures and ways of organizing society. This course encourages you to consider how looking behind cultural assumptions helps anthropologists solve real world dilemmas.","pattern, story, speak, discussion, german","human, relationship, cultural, culture, war",means working
SOAN 110-00 - Introduction to Anthropology,CS 257-01 - Software Design,0.95000917,"Anthropology is the study of all human beings in all their diversity, an exploration of what it means to be human throughout the globe. This course helps us to see ourselves, and others, from a new perspective. By examining specific analytic concepts—such as culture—and research methods—such as participant observation—we learn how anthropologists seek to understand, document, and explain the stunning variety of human cultures and ways of organizing society. This course encourages you to consider how looking behind cultural assumptions helps anthropologists solve real world dilemmas.","It's easy to write a mediocre computer program, and lots of people do it. Good programs are quite a bit harder to write, and are correspondingly less common. In this course, we will study techniques, tools, and habits that will improve your chances of writing good software. While working on several medium-sized programming projects, we will investigate code construction techniques, debugging and profiling tools, testing methodologies, UML, principles of object-oriented design, design patterns, and user interface design.","human, relationship, cultural, culture, war","pattern, story, speak, discussion, german",working means
CS 304-00 - Social Computing,CS 257-01 - Software Design,0.94999367,"The last decade has seen a vast increase in the number of applications that connect people with one another. This course presents an interdisciplinary introduction to social computing, a field of study that explores how computational techniques and artifacts are used to support and understand social interactions. We will examine a number of socio-technical systems (such as wikis, social media platforms, and citizen science projects), discuss the design principles used to build them, and analyze how they help people mobilize and collaborate with one another. Assignments will involve investigating datasets from online platforms and exploring current research in the field.","It's easy to write a mediocre computer program, and lots of people do it. Good programs are quite a bit harder to write, and are correspondingly less common. In this course, we will study techniques, tools, and habits that will improve your chances of writing good software. While working on several medium-sized programming projects, we will investigate code construction techniques, debugging and profiling tools, testing methodologies, UML, principles of object-oriented design, design patterns, and user interface design.","psychology, research, seminar, social, history","pattern, story, speak, discussion, german",projects help
CS 257-01 - Software Design,CS 304-00 - Social Computing,0.94999367,"It's easy to write a mediocre computer program, and lots of people do it. Good programs are quite a bit harder to write, and are correspondingly less common. In this course, we will study techniques, tools, and habits that will improve your chances of writing good software. While working on several medium-sized programming projects, we will investigate code construction techniques, debugging and profiling tools, testing methodologies, UML, principles of object-oriented design, design patterns, and user interface design.","The last decade has seen a vast increase in the number of applications that connect people with one another. This course presents an interdisciplinary introduction to social computing, a field of study that explores how computational techniques and artifacts are used to support and understand social interactions. We will examine a number of socio-technical systems (such as wikis, social media platforms, and citizen science projects), discuss the design principles used to build them, and analyze how they help people mobilize and collaborate with one another. Assignments will involve investigating datasets from online platforms and exploring current research in the field.","pattern, story, speak, discussion, german","psychology, research, seminar, social, history",help projects
CS 304-00 - Social Computing,EDUC 338-00 - Multicultural Education,0.94798416,"The last decade has seen a vast increase in the number of applications that connect people with one another. This course presents an interdisciplinary introduction to social computing, a field of study that explores how computational techniques and artifacts are used to support and understand social interactions. We will examine a number of socio-technical systems (such as wikis, social media platforms, and citizen science projects), discuss the design principles used to build them, and analyze how they help people mobilize and collaborate with one another. Assignments will involve investigating datasets from online platforms and exploring current research in the field.","This course focuses on the respect for human diversity, especially as these relate to various racial, cultural and economic groups, and to women. It includes lectures and discussions intended to aid students in relating to a wide variety of persons, cultures, and life styles.","psychology, research, seminar, social, history","human, relationship, cultural, culture, war",various social
EDUC 338-00 - Multicultural Education,CS 304-00 - Social Computing,0.94798416,"This course focuses on the respect for human diversity, especially as these relate to various racial, cultural and economic groups, and to women. It includes lectures and discussions intended to aid students in relating to a wide variety of persons, cultures, and life styles.","The last decade has seen a vast increase in the number of applications that connect people with one another. This course presents an interdisciplinary introduction to social computing, a field of study that explores how computational techniques and artifacts are used to support and understand social interactions. We will examine a number of socio-technical systems (such as wikis, social media platforms, and citizen science projects), discuss the design principles used to build them, and analyze how they help people mobilize and collaborate with one another. Assignments will involve investigating datasets from online platforms and exploring current research in the field.","human, relationship, cultural, culture, war","psychology, research, seminar, social, history",social various
CS 311-00 - Computer Graphics,"POSC 348-00 - Strangers, Foreigners, and Exiles",0.9714428,"Scientific simulations, movies, and video games often incorporate computer-generated images of fictitious worlds. How are these worlds represented inside a computer? How are they “photographed” to produce the images that we see? What performance constraints and design trade-offs come into play? In this course we learn the basic theory and methodology of three-dimensional computer graphics, including both triangle rasterization and ray tracing. Familiarity with vectors and matrices is recommended but not required.","All over the world today, right-wing parties are winning the electorate with their anti-immigrant rhetoric. We are told that national identity, cultural heritage, civilizational values and even our jobs are threatened by the growing presence of the immigrants. In this course we will explore the complex and multifaceted reality of strangers’ and foreigners’ presence in modern societies. We will also try to understand what being an exile means for the human condition and what moral obligations we have toward refugees and other displaced people. Among others, our partners of conversation will be Hannah Arendt, Jacques Derrida, Tzvetan Todorov, Zygmunt Bauman, and Edward Said.","computer, technology, perception, cognitive, algorithm","right, century, lgbtq, debate, spain",even often
"POSC 348-00 - Strangers, Foreigners, and Exiles",CS 311-00 - Computer Graphics,0.9714428,"All over the world today, right-wing parties are winning the electorate with their anti-immigrant rhetoric. We are told that national identity, cultural heritage, civilizational values and even our jobs are threatened by the growing presence of the immigrants. In this course we will explore the complex and multifaceted reality of strangers’ and foreigners’ presence in modern societies. We will also try to understand what being an exile means for the human condition and what moral obligations we have toward refugees and other displaced people. Among others, our partners of conversation will be Hannah Arendt, Jacques Derrida, Tzvetan Todorov, Zygmunt Bauman, and Edward Said.","Scientific simulations, movies, and video games often incorporate computer-generated images of fictitious worlds. How are these worlds represented inside a computer? How are they “photographed” to produce the images that we see? What performance constraints and design trade-offs come into play? In this course we learn the basic theory and methodology of three-dimensional computer graphics, including both triangle rasterization and ray tracing. Familiarity with vectors and matrices is recommended but not required.","right, century, lgbtq, debate, spain","computer, technology, perception, cognitive, algorithm",often even
CS 311-00 - Computer Graphics,EDUC 242-00 - Education and Technology,0.9676197,"Scientific simulations, movies, and video games often incorporate computer-generated images of fictitious worlds. How are these worlds represented inside a computer? How are they “photographed” to produce the images that we see? What performance constraints and design trade-offs come into play? In this course we learn the basic theory and methodology of three-dimensional computer graphics, including both triangle rasterization and ray tracing. Familiarity with vectors and matrices is recommended but not required.","This course will examine the increasingly prominent role that technology is playing in education, inside and outside of schools. How is technology transforming teaching and learning? What are the potential costs and benefits of relying on technology to provide educational opportunities? Is technology re-wiring our brains? And who needs brains when we have Google and ChatGPT? This course will examine the following topics, among others: digital literacy, virtual reality, cyborgs and artificial intelligence.","computer, technology, perception, cognitive, algorithm","computer, technology, perception, cognitive, algorithm",technology computer
EDUC 242-00 - Education and Technology,CS 311-00 - Computer Graphics,0.9676197,"This course will examine the increasingly prominent role that technology is playing in education, inside and outside of schools. How is technology transforming teaching and learning? What are the potential costs and benefits of relying on technology to provide educational opportunities? Is technology re-wiring our brains? And who needs brains when we have Google and ChatGPT? This course will examine the following topics, among others: digital literacy, virtual reality, cyborgs and artificial intelligence.","Scientific simulations, movies, and video games often incorporate computer-generated images of fictitious worlds. How are these worlds represented inside a computer? How are they “photographed” to produce the images that we see? What performance constraints and design trade-offs come into play? In this course we learn the basic theory and methodology of three-dimensional computer graphics, including both triangle rasterization and ray tracing. Familiarity with vectors and matrices is recommended but not required.","computer, technology, perception, cognitive, algorithm","computer, technology, perception, cognitive, algorithm",computer technology
CS 311-00 - Computer Graphics,GRK 226-00 - Heroes & Monsters in Ancient Greek,0.9610094,"Scientific simulations, movies, and video games often incorporate computer-generated images of fictitious worlds. How are these worlds represented inside a computer? How are they “photographed” to produce the images that we see? What performance constraints and design trade-offs come into play? In this course we learn the basic theory and methodology of three-dimensional computer graphics, including both triangle rasterization and ray tracing. Familiarity with vectors and matrices is recommended but not required.","Greek literature abounds in stories of hostile encounters between heroes and monsters. Perseus vs. Medusa, Theseus and the Minotaur, Bellerophon vs. the Chimera are only a few of these stories that feature larger-than-life individuals who confront otherworldly creatures. But why is there such a fascination in the Greek mind? In this course, we will examine such stories in the original Greek, looking at authors such as Homer, Hesiod, Herodotus, and Lucian, and we will discuss what the socio-cultural constructions of the hero and the monster show us about what it means to be human both in antiquity and in modern times.","computer, technology, perception, cognitive, algorithm","politic, life, american, gender, america",feature often
GRK 226-00 - Heroes & Monsters in Ancient Greek,CS 311-00 - Computer Graphics,0.9610094,"Greek literature abounds in stories of hostile encounters between heroes and monsters. Perseus vs. Medusa, Theseus and the Minotaur, Bellerophon vs. the Chimera are only a few of these stories that feature larger-than-life individuals who confront otherworldly creatures. But why is there such a fascination in the Greek mind? In this course, we will examine such stories in the original Greek, looking at authors such as Homer, Hesiod, Herodotus, and Lucian, and we will discuss what the socio-cultural constructions of the hero and the monster show us about what it means to be human both in antiquity and in modern times.","Scientific simulations, movies, and video games often incorporate computer-generated images of fictitious worlds. How are these worlds represented inside a computer? How are they “photographed” to produce the images that we see? What performance constraints and design trade-offs come into play? In this course we learn the basic theory and methodology of three-dimensional computer graphics, including both triangle rasterization and ray tracing. Familiarity with vectors and matrices is recommended but not required.","politic, life, american, gender, america","computer, technology, perception, cognitive, algorithm",often feature
CS 320-00 - Machine Learning,MUSC 313-00 - Video Game Music,0.9807157,"What does it mean for a machine to learn? Much of modern machine learning focuses on identifying patterns in large datasets and using these patterns to make predictions about the future. Machine learning has impacted a diverse array of applications and fields, from scientific discovery to healthcare to education. In this artificial intelligence-related course, we'll both explore a variety of machine learning algorithms in different application areas, taking both theoretical and practical perspectives, and discuss impacts and ethical implications of machine learning more broadly. Topics may vary, but typically focus on regression and classification algorithms, including neural networks.","Over the decades, video game music has evolved from simple beeps and boops into a genre that has garnered millions of fans worldwide. This course traces the history of video game music aesthetics and technology. We will consider how it relates to a variety of musical traditions and engages with broader social issues. We will learn to listen for loops, styles, structures, and function in games via direct engagement with primary sources: the games themselves. The course culminates in the practical application of knowledge via a creative project.","computer, technology, perception, cognitive, algorithm","music, genre, musical, game, audio",technology modern
MUSC 313-00 - Video Game Music,CS 320-00 - Machine Learning,0.9807157,"Over the decades, video game music has evolved from simple beeps and boops into a genre that has garnered millions of fans worldwide. This course traces the history of video game music aesthetics and technology. We will consider how it relates to a variety of musical traditions and engages with broader social issues. We will learn to listen for loops, styles, structures, and function in games via direct engagement with primary sources: the games themselves. The course culminates in the practical application of knowledge via a creative project.","What does it mean for a machine to learn? Much of modern machine learning focuses on identifying patterns in large datasets and using these patterns to make predictions about the future. Machine learning has impacted a diverse array of applications and fields, from scientific discovery to healthcare to education. In this artificial intelligence-related course, we'll both explore a variety of machine learning algorithms in different application areas, taking both theoretical and practical perspectives, and discuss impacts and ethical implications of machine learning more broadly. Topics may vary, but typically focus on regression and classification algorithms, including neural networks.","music, genre, musical, game, audio","computer, technology, perception, cognitive, algorithm",modern technology
CS 320-00 - Machine Learning,ARTS 122-00 - Introduction to Sculpture,0.96392155,"What does it mean for a machine to learn? Much of modern machine learning focuses on identifying patterns in large datasets and using these patterns to make predictions about the future. Machine learning has impacted a diverse array of applications and fields, from scientific discovery to healthcare to education. In this artificial intelligence-related course, we'll both explore a variety of machine learning algorithms in different application areas, taking both theoretical and practical perspectives, and discuss impacts and ethical implications of machine learning more broadly. Topics may vary, but typically focus on regression and classification algorithms, including neural networks.","The ability to build structures that reflect or alter the environment is a basic defining characteristic of our species. In this class we explore creative construction in three dimensions using a variety of media, including plaster, wood, and steel. Using both natural and architectural objects for inspiration, we will examine and manipulate form, space, and expressive content to develop a deeper understanding of this core trait and reawaken our experience of the spaces we inhabit.","computer, technology, perception, cognitive, algorithm","change, cinema, city, medium, space",ability much
ARTS 122-00 - Introduction to Sculpture,CS 320-00 - Machine Learning,0.96392155,"The ability to build structures that reflect or alter the environment is a basic defining characteristic of our species. In this class we explore creative construction in three dimensions using a variety of media, including plaster, wood, and steel. Using both natural and architectural objects for inspiration, we will examine and manipulate form, space, and expressive content to develop a deeper understanding of this core trait and reawaken our experience of the spaces we inhabit.","What does it mean for a machine to learn? Much of modern machine learning focuses on identifying patterns in large datasets and using these patterns to make predictions about the future. Machine learning has impacted a diverse array of applications and fields, from scientific discovery to healthcare to education. In this artificial intelligence-related course, we'll both explore a variety of machine learning algorithms in different application areas, taking both theoretical and practical perspectives, and discuss impacts and ethical implications of machine learning more broadly. Topics may vary, but typically focus on regression and classification algorithms, including neural networks.","change, cinema, city, medium, space","computer, technology, perception, cognitive, algorithm",much ability
CS 320-00 - Machine Learning,SPAN 205-00 - Conversation & Composition,0.96107376,"What does it mean for a machine to learn? Much of modern machine learning focuses on identifying patterns in large datasets and using these patterns to make predictions about the future. Machine learning has impacted a diverse array of applications and fields, from scientific discovery to healthcare to education. In this artificial intelligence-related course, we'll both explore a variety of machine learning algorithms in different application areas, taking both theoretical and practical perspectives, and discuss impacts and ethical implications of machine learning more broadly. Topics may vary, but typically focus on regression and classification algorithms, including neural networks.",A course designed to develop the student's oral and written mastery of Spanish. Advanced study of grammar. Compositions and conversations based on cultural and literary topics. There is also an audio-video component focused on current affairs.,"computer, technology, perception, cognitive, algorithm","music, genre, musical, game, audio",focused modern
