Course Number,Course Title,Credits,Description,Offered,Liberal Arts Requirements,Prerequisites,Tags,Sections
ECON 395.02,Advanced Topics in Applied Microeconomics,6 credits,"The seminar focuses on the advanced microeconomic analysis of real-world economic data. Through discussion of research papers and hands-on data analysis projects, we will explore techniques such as panel data analysis, instrumental variables, differences-in-differences, and regression discontinuity designs. Throughout the course we will focus on the application of these techniques to economic issues such as the effects of school quality, minimum wages, expansion of Medicaid, stock-price news event studies, and others according to student interest. A major goal of the course is to prepare students to write a COMPS research prospectus as required for the Economics major.",Fall 2024,"QRE, Quantitative Reasoning | SI, Social Inquiry | WR2 Writing Requirement 2",Student has completed any of the following course(s): ECON 329 – Econometrics and ECON 330 – Intermediate Price Theory and ECON 331 – Intermediate Macro Theory with a grade of C- or better.,CL: 300 level | ECON Advanced Seminar,"ECON
                                                 395.02 | Fall 2024 | Faculty: | Aaron Swoboda | 🏫 | 👤 | Size: | 15 | M, W | Weitz Center 231 | 12:30pm-1:40pm | F | Weitz Center 231 | 1:10pm-2:10pm"
ECON 400,Integrative Exercise,3 credits,,Fall 2024,,Student is an Economics major and has Senior Priority.,,"ECON
                                                 400.01 | Fall 2024 | Faculty: | Faress Bhuiyan | 🏫 | 👤 | Size: | 1 | Grading: | S/NC"
EDUC 100.00,Will This Be on the Test? Standardized Testing and American Education,6 credits,"How and why have standardized tests become so central to our educational system? This seminar will explore the following topics, among others–the invention of standardized tests and the growth of the testing industry; psychometrics (the science of mental measurement); and the controversies surrounding the use of standardized tests, including charges that they are culturally biased and do not positively contribute to student learning. Our analyses will be informed by a close examination of authentic testing materials, ranging from intelligence tests to the SAT.Held for new first year students",Fall 2024,"AI/WR1, Argument & Inquiry/WR1",Student is a member of the First Year First Term class level cohort. Students are only allowed to register for one A&I course at a time. If a student wishes to change the A&I course they are enrolled in they must DROP the enrolled course and then ADD the new course. Please see our Workday guides Drop or 'Late' Drop a Course and Register or Waitlist for a Course Directly from the Course Listing for more information.,CL: 100 level,"EDUC
                                                 100.00 | Fall 2024 | Faculty: | Jeff Snyder | 🏫 | 👤 | Size: | 15 | M, W | Willis 203 | 9:50am-11:00am | F | Willis 203 | 9:40am-10:40am"
EDUC 110,Introduction to Educational Studies,6 credits,"This course will focus on education as a multidisciplinary field of study. We will explore the meanings of education within individual lives and institutional contexts, learn to critically examine the assumptions that writers, psychologists, sociologists and philosophers bring to the study of education, and read texts from a variety of disciplines. What has “education” meant in the past? What does “education” mean in contemporary American society? What might “education” mean to people with differing circumstances and perspectives? And what should “education” mean in the future? Open only to first-and second-year students.",Fall 2024,"IDS, Intercultural Domestic Studies | SI, Social Inquiry | WR2 Writing Requirement 2",Student has Sophomore Priority.,EDUC Core | CL: 100 level,"EDUC
                                                 110.00 | Fall 2024 | Faculty: | Anita Chikkatur | 🏫 | 👤 | Size: | 25 | T, TH | Weitz Center 233 | 10:10am-11:55am | Sophomore Priority | Sophomore Priority."
EDUC 234,Educational Psychology,6 credits,Human development and learning theories are studied in relation to the teaching-learning process and the sociocultural contexts of schools. Three hours outside of class per week are devoted to observing learning activities in public school elementary and secondary classrooms and working with students.Extra Time required for classroom time in public schools,Fall 2024,"SI, Social Inquiry",,CGSC Elective | EDUC Core | PSYC Pertinent | CL: 200 level,"EDUC
                                                 234.00 | Fall 2024 | Faculty: | Deborah Appleman | 🏫 | 👤 | Size: | 25 | T, TH | Willis 114 | 10:10am-11:55am"
EDUC 250,Fixing Schools: Politics and Policy in American Education,6 credits,"How can we fix American public schools? What is “broken” about our schools? How should they be repaired? And who should lead the fix? This course will examine the two leading contemporary educational reform movements: accountability and school choice. With an emphasis on the nature of the teaching profession and the work of foundations, this course will analyze the policy agendas of different reform groups, exploring the dynamic interactions among the many different stakeholders responsible for shaping American education.",Fall 2024,"IDS, Intercultural Domestic Studies | SI, Social Inquiry",,AMST Democracy Activism | EDUC 3 Publ Pol/Educ Refrm | PPOL Education Policy | CL: 200 level,"EDUC
                                                 250.00 | Fall 2024 | Faculty: | Jeff Snyder | 🏫 | 👤 | Size: | 25 | M, W | Willis 114 | 12:30pm-1:40pm | F | Willis 114 | 1:10pm-2:10pm"
ENGL 100.01,Inventing the Past,6 credits,"How and why does literature imagine and create versions of the past? In this seminar, we will explore intersections of fiction and history in a variety of texts, in a novel that envisions a vivid physical and emotional world for Shakespeare’s family (Hamnet), in a “biography” that sends its protagonist time-travelling through several centuries and genders (Orlando), and in a work of alternative history that imagines a computerized Victorian era run by Babbage’s Analytical Engine (The Difference Engine), among others.Held for new first year students.",Fall 2024,"AI/WR1, Argument & Inquiry/WR1",Student is a member of the First Year First Term class level cohort. Students are only allowed to register for one A&I course at a time. If a student wishes to change the A&I course they are enrolled in they must DROP the enrolled course and then ADD the new course. Please see our Workday guides Drop or 'Late' Drop a Course and Register or Waitlist for a Course Directly from the Course Listing for more information.,CL: 100 level | ENGL Foundation,"ENGL
                                                 100.01 | Fall 2024 | Faculty: | Constance Walker | 🏫 | 👤 | Size: | 15 | M, W | Laird 205 | 9:50am-11:00am | F | Laird 205 | 9:40am-10:40am"
ENGL 100.02,"Drama, Film, and Society",6 credits,"With an emphasis on critical reading, writing, and the fundamentals of college-level research, this course will develop students' knowledge, understanding, and appreciation of the relationship between drama and film and the social and cultural contexts of which they are (or were) a part and product. The course explores the various ways in which these plays and movies (which might include anything and everything from Spike Lee to Tony Kushner to Christopher Marlowe) generate meaning, with particular attention to the social, historical, and political realities that contribute to that meaning. An important component of this course will be attending live performances in the Twin Cities. Theserequiredevents may be during the week and/or the weekend.Held for new first year students. Extra time required. Class will meet in LAIR 205 second half of the term.",Fall 2024,"AI/WR1, Argument & Inquiry/WR1",Student is a member of the First Year First Term class level cohort. Students are only allowed to register for one A&I course at a time. If a student wishes to change the A&I course they are enrolled in they must DROP the enrolled course and then ADD the new course. Please see our Workday guides Drop or 'Late' Drop a Course and Register or Waitlist for a Course Directly from the Course Listing for more information.,ACE Applied | CL: 100 level | ENGL Foundation,"ENGL
                                                 100.02 | Fall 2024 | Faculty: | Pierre Hecker | 🏫 | 👤 | Size: | 15 | T, TH | Laird 007 | 1:15pm-3:00pm"
ENGL 100.03,"Literary Revision: Authority, Art, and Rebellion",6 credits,"The poet Adrienne Rich describes revision as ""the act of looking back, of seeing with fresh eyes, of entering an old text from a new critical direction."" This course examines how literature confronts and reinvents the traditions it inherits. Through a diverse selection of fiction, poetry, and drama, we will examine how writers rework literary conventions, ""rewrite"" previous literary works, and critique societal myths. From Charles Chesnutt to Charles Johnson, from Henrik Ibsen to Rebecca Gilman, from Charlotte Bronte to Jean Rhys, from Maupassant and Chekhov to contemporary reinventions, we will explore literary revision from different perspectives and periods.Held for new first year students.",Fall 2024,"AI/WR1, Argument & Inquiry/WR1",Student is a member of the First Year First Term class level cohort. Students are only allowed to register for one A&I course at a time. If a student wishes to change the A&I course they are enrolled in they must DROP the enrolled course and then ADD the new course. Please see our Workday guides Drop or 'Late' Drop a Course and Register or Waitlist for a Course Directly from the Course Listing for more information.,CL: 100 level | ENGL Foundation,"ENGL
                                                 100.03 | Fall 2024 | Faculty: | Nancy Cho | 🏫 | 👤 | Size: | 15 | M, W | Laird 218 | 9:50am-11:00am | F | Laird 218 | 9:40am-10:40am"
ENGL 100.04,"Novel, Nation, Self",6 credits,"With an emphasis on critical reading and writing in an academic context, this course will examine how contemporary writers from a range of global locations approach the question of the writing of the self and of the nation. Reading novels from both familiar and unfamiliar cultural contexts we will examine closely our practices of reading, and the cultural expectations and assumptions that underlie them.Held for new first year students.",Fall 2024,"AI/WR1, Argument & Inquiry/WR1",Student is a member of the First Year First Term class level cohort. Students are only allowed to register for one A&I course at a time. If a student wishes to change the A&I course they are enrolled in they must DROP the enrolled course and then ADD the new course. Please see our Workday guides Drop or 'Late' Drop a Course and Register or Waitlist for a Course Directly from the Course Listing for more information.,CL: 100 level | ENGL Foundation,"ENGL
                                                 100.04 | Fall 2024 | Faculty: | Arnab Chakladar | 🏫 | 👤 | Size: | 15 | M, W | Laird 218 | 11:10am-12:20pm | F | Laird 218 | 12:00pm-1:00pm"
ENGL 131,Speculative Fiction,6 credits,"This course uses ""speculative fiction"" as umbrella term for categories and (sub)genres that include science fiction, fantasy, mystery, and horror. Deviation from the norm is our norm. You will have to teach your eyes to hear, and your ears to see. Above all, your multisensory engagement should allow for a reality check: does speculative fiction replicate or repudiate known stereotypes of women and blacks, in particular? What do you find (un)appealing about speculative fiction? We will read a variety of short fiction from theDARK MATTERanthology as well as longer narratives by Octavia Butler and Nalo Hopkinson.",Fall 2024,"LA, Literary/Artistic Analysis | WR2 Writing Requirement 2",,ENGL Foundation | CL: 100 level,"ENGL
                                                 131.00 | Fall 2024 | Faculty: | Kofi Owusu | 🏫 | 👤 | Size: | 25 | M, W | Laird 205 | 12:30pm-1:40pm | F | Laird 205 | 1:10pm-2:10pm"
ENGL 160,Creative Writing,6 credits,"You will work in several genres and forms, among them: traditional and experimental poetry, prose fiction, and creative nonfiction. In your writing you will explore the relationship between the self, the imagination, the word, and the world. In this practitioner’s guide to the creative writing process, we will examine writings from past and current authors, and your writings will be critiqued in a workshop setting and revised throughout the term.Sophomore Priority",Fall 2024,"ARP, Arts Practice | WR2 Writing Requirement 2",,ENCW Creative Wtg Workshop | ENGL Creative Writing | CL: 100 level,"ENGL
                                                 160.00 | Fall 2024 | Faculty: | Gregory Hewett | 🏫 | 👤 | Size: | 15 | T, TH | Laird 007 | 10:10am-11:55am | Sophomore Priority."
ENGL 203,Other Worlds of Medieval English Literature,6 credits,"When medieval writers imagined worlds beyond their own, what did they see?  This course will examine depictions of the afterlife, the East, and magical realms of the imagination. We will read romances, saints' lives, and a masterpiece of pseudo-travel literature that influenced both Shakespeare and Columbus, alongside contemporary theories of post-colonialism, gender and race. We will visit the lands of the dead and the undead, and compare gruesome punishments and heavenly rewards. We will encounter dog-headed men, Amazons, cannibals, armies devoured by hippopotami, and roasted geese that fly onto waiting dinner tables. Be prepared. Readings in Middle English and in modern translations.",Fall 2024,"LA, Literary/Artistic Analysis | WR2 Writing Requirement 2",,ENGL Historical Era 1 | ENGL Tradition 1 | EUST Transnational Supp | MARS Core Course | MARS Supporting | CL: 200 level,"ENGL
                                                 203.00 | Fall 2024 | Faculty: | George Shuffelton | 🏫 | 👤 | Size: | 25 | M, W | Laird 205 | 1:50pm-3:00pm | F | Laird 205 | 2:20pm-3:20pm"
ENGL 211,Haunting the Margins of American Literature,6 credits,"Nineteenth-century Americans were hardly strangers to ghosts and the world beyond. In fact, many actively sought communion with the dead by attending table-rapping séances and sitting for spirit photographs. This class will analyze a variety of literary hauntings from the long nineteenth century to explore the cultural anxieties and desires they might represent. Paying particular attention to questions of race, gender, and sexuality, we will consider how figures ghosted from history become present in ways that demand attention and, at times, redress. Authors will include Edgar Allen Poe, Nathaniel Hawthorne, Rose Terry Cooke, Alice Brown, and Pauline Elizabeth Hopkins.",Fall 2024,"IDS, Intercultural Domestic Studies | LA, Literary/Artistic Analysis | WR2 Writing Requirement 2",,AMST Prdctn Consmptn Cult | AMST Race Ethnicty Indign | ENGL Historical Era 2 | ENGL Tradition 2 | CL: 200 level,"ENGL
                                                 211.00 | Fall 2024 | Faculty: | Emily Coccia | 🏫 | 👤 | Size: | 25 | T, TH | Laird 205 | 3:10pm-4:55pm"
ENGL 222,The Art of Jane Austen,6 credits,"All of Jane Austen's fiction will be read; the works she did not complete or choose to publish during her lifetime will be studied in an attempt to understand the art of her mature comic masterpieces,Sense and Sensibility, Pride and Prejudice, Mansfield Park, Emma, and Persuasion.",Fall 2024,"LA, Literary/Artistic Analysis | WR2 Writing Requirement 2",,ENGL Historical Era 2 | ENGL Tradition 1 | EUST Country Specific | CL: 200 level,"ENGL
                                                 222.00 | Fall 2024 | Faculty: | Constance Walker | 🏫 | 👤 | Size: | 25 | M, W | Laird 206 | 12:30pm-1:40pm | F | Laird 206 | 1:10pm-2:10pm"
ENGL 227,Imagining the Borderlands,6 credits,"This course engages the borderlands as space (the geographic area that straddles nations) and idea (liminal spaces, identities, communities). We examine texts from writers like Anzaldúa, Butler, Cervantes, Dick, Eugenides, Haraway, and Muñoz first to understand how borders act to constrain our imagi(nation) and then to explore how and to what degree the borderlands offer hybrid identities, queer affects, and speculative world-building. We will engage the excess of the borderlands through a broad chronological and generic range of U.S. literary and visual texts. Come prepared to question what is “American”, what is race, what is human.",Fall 2024,"IDS, Intercultural Domestic Studies | LA, Literary/Artistic Analysis | WR2 Writing Requirement 2",,AMST Prdctn Consmptn Cult | AMST Race Ethnicty Indign | AMST Space and Place | ENGL Historical Era 3 | ENGL Tradition 2 | GWSS Elective | LTAM Electives | LTAM Pertinent Courses | CL: 200 level,"ENGL
                                                 227.00 | Fall 2024 | Faculty: | Adriana Estill | 🏫 | 👤 | Size: | 25 | M, W | Laird 205 | 11:10am-12:20pm | F | Laird 205 | 12:00pm-1:00pm"
ENGL 228,Banned. Censored. Reviled.,6 credits,"What makes a work of art dangerous? While present-day attacks on books, libraries, and schools feel unprecedented, writers and artists have always had to fight efforts to suppress their work, often at great personal and societal cost. We will study literature, films, graphic novels, images, music, and other materials that have been challenged and attacked as offensive, taboo, or transgressive, and also explore strategies of resistance to censorship.",Fall 2024,"IDS, Intercultural Domestic Studies | LA, Literary/Artistic Analysis",,ACE Theoretical | AMST Democracy Activism | AMST Prdctn Consmptn Cult | ENGL Historical Era 3 | ENGL Tradition 2 | CL: 200 level,"ENGL
                                                 228.00 | Fall 2024 | Faculty: | Pierre Hecker | 🏫 | 👤 | Size: | 25 | T, TH | Laird 205 | 10:10am-11:55am"
ENGL 233,Writing and Social Justice,6 credits,"Social justice is fairness as it manifests in society, but who gets to determine what fairness looks, sounds, feels like? The self-described Black Canadian poet Dionne Brand says that she doesn’t write toward justice because that doesn’t exist, but that she writes against tyranny. If we use that framework, how does that change our own writing and our own notions of justice in our or any time? What is the role of literary writing, especially fiction, the essay, and poetry in the collective and individual quest to understand and build conditions that could yield increased potential for social justice? In this course, students will read, analyze, discuss, and write about various texts that might be considered to be against myriad tyrannies, if not necessarily toward social justice. Authors may include Octavia Butler, Phillip Metres, Toni Morrison, Myung Mi Kim, and M. NourbeSe Philipe.",Fall 2024,"ARP, Arts Practice | IDS, Intercultural Domestic Studies | WR2 Writing Requirement 2",,AFST LitArtistic Analysis | AMST Democracy Activism | AMST Prdctn Consmptn Cult | AMST Race Ethnicty Indign | ENCW Creative Wtg Workshop | ENGL Creative Writing | ENGL Historical Era 3 | ENGL Tradition 2 | CL: 200 level,"ENGL
                                                 233.00 | Fall 2024 | Faculty: | Sun Yung Shin | 🏫 | Size: | 15 | T, TH | Laird 206 | 3:10pm-4:55pm"
ENGL 242,Queer Literature: The Pre-Stonewall Origins,6 credits,"The LGBTQ+ movement turned on the Stonewall Riots of 1969. Prior to that, queer life was largely illegal and underground in the United States and most places globally. Queer content in literature was censored and banned. This course explores the strategies queer writers used to circumvent censorship and get published. Writers whose work we will read, discuss and analyze are: Oscar Wilde, E.M. Forster, Radclyffe Hall, Patricia Highsmith and James Baldwin.",Fall 2024,"LA, Literary/Artistic Analysis | WR2 Writing Requirement 2",,ENGL Historical Era 3 | CL: 200 level | GWSS Elective,"ENGL
                                                 242.00 | Fall 2024 | Faculty: | Gregory Hewett | 🏫 | 👤 | Size: | 25 | T, TH | Laird 206 | 1:15pm-3:00pm"
ENGL 254,Fictional Worlds,3 credits,"What makes the imaginary world created by a novel feel “real”?  What aspects of narrative contribute to our sense of being immersed in a coherent and convincing universe?  From the Victorians who addressed letters to Mr. Sherlock Holmes at 221B Baker Street, to fans of a Middle Earth that now encompasses multiple books and films, readers have always been drawn to narratives that create a place that seems capacious and vivid enough to enter.  In this course, we will look at world-building from the eighteenth century through the present, comparing novels to other contemporary media in order to develop an understanding of the way in which the impulse towards “realism” has shaped narrative in a variety of different forms. Works to be studied include books and stories by Daniel Defoe, A. Conan Doyle,  J.R.R. Tolkien, and Octavia Butler, as well as Villeneuve’s film of Dune.First 5 weeks",Fall 2024,"LA, Literary/Artistic Analysis",,ENGL Pertinent | CL: 200 level,"ENGL
                                                 254.00 | Fall 2024 | Faculty: | Alison Byerly | 🏫 | 👤 | Size: | 25 | T, TH | Laird 205 | 1:15pm-3:00pm"
ENGL 270,Short Story Workshop,6 credits,"An introduction to the writing of the short story. Each student will become familiar with contemporary short stories, complete a number of short writing exercises, and have discussed in class two full-length stories (from 3,000 to 7,000 words in length) and give constructive suggestions, including written critiques, for revising the stories written by other members of the class. Attention will be paid to all the elements of fiction: characterization, point of view, conflict, setting, dialogue, etc.",Fall 2024,"ARP, Arts Practice | WR2 Writing Requirement 2",Student has completed any of the following course(s): One 6 credit English course excluding Independent Studies and Comps with a grade of C- or better.,ENCW Creative Wtg Workshop | ENGL Creative Writing | CL: 200 level,"ENGL
                                                 270.00 | Fall 2024 | Faculty: | Gwen Kirby | 🏫 | 👤 | Size: | 15 | Grading: | S/CR/NC | W | Laird 218 | 1:50pm-4:50pm"
ENGL 292.11,Independent Research,2 – 3 credits,"NULLParticipation in OCS Ireland Program, 5 weeks | Participation in OCS London ProgramRegister for this course by submitting theIndependentReading/Study/ResearchForm, which requires approval from the project faculty supervisor.",Fall 2024,,,CL: Independent Study,"ENGL
                                                 292.11 | Fall 2024 | Faculty: | George Shuffelton | 🏫 | 👤 | Credits: | 3"
ENGL 292.12,American Minstrelsy,2 – 3 credits,"This summer I worked as a research assistant investigating the history of American minstrelsy for Professor George Shuffelton. I hope to extend my research experience with an independent study this fall term. I intend to continue reading books by prominent scholars in the field, and I will look to examine the history of blackface performance through various lenses. I will meet with Professor Shuffelton for one hour each week to discuss my findings. The study will culminate in a visit to the Schomburg Library over winter break where I have made an appointment to view their special collections on the history of minstrelsy. Additionally, it may involve a writing component where I summarize my findings.Participation in OCS Ireland Program, 5 weeks | Participation in OCS London ProgramRegister for this course by submitting theIndependentReading/Study/ResearchForm, which requires approval from the project faculty supervisor.",Fall 2024,,,CL: Independent Study,"ENGL
                                                 292.12 | Fall 2024 | Faculty: | George Shuffelton | 🏫 | 👤 | Credits: | 2"
ENGL 293,Group Independent Study,2 credits,"Group Independent studyInstructor permission required, students waitlist.",Fall 2024,,,CL: Independent Study,"ENGL
                                                 293.01 | Fall 2024 | Faculty: | Michael Kowalewski | 🏫 | 👤 | Grading: | S/CR/NC"
ENGL 295,Critical Methods,6 credits,"Required of students majoring in English, this course explores practical and theoretical issues in literary analysis and contemporary criticism.Not open to first year students.",Fall 2024,"LA, Literary/Artistic Analysis | WR2 Writing Requirement 2",Student has completed any of the following course(s): One English Foundations including (100) course with a grade of C- or better or received a score of 5 on the English Literature and Composition AP exam or received a grade of 6 or better on the English Language A: Literature IB exam AND 6 credits from English courses (100-399) not including Independent Studies and Comps with a grade of C- or better.,ENGL Pertinent | CL: 200 level,"ENGL
                                                 295.00 | Fall 2024 | Faculty: | Peter Balaam | 🏫 | 👤 | Size: | 20 | T, TH | Laird 206 | 10:10am-11:55am"
ENGL 359,Contemporary World Literature,6 credits,"Our focus is on contemporary writers. Specifically, we will privilege genre-bending fiction published within the last two decades in which we encounter a continuum, not a line of demarcation, between us and them, insider and outsider, here and there, then and now, femaleness and maleness, North and South, the local and the global. Authors to be read include Zinzi Clemmons, Teju Cole, Esi Edugyan, Mohsin Hamid, Tommy Orange, Zadie Smith, and Colson Whitehead.",Fall 2024,"IS, International Studies | LA, Literary/Artistic Analysis | WR2 Writing Requirement 2",Student has completed any of the following course(s): One English Foundations including (100) course with a grade of C- or better or received a score of 5 on the English Literature and Composition AP exam or received a grade of 6 or better on the English Language A: Literature IB exam AND 6 credits from English courses (100-399) not including Independent Studies and Comps with a grade of C- or better.,ENGL Historical Era 3 | ENGL Tradition 3 | CL: 300 level,"ENGL
                                                 359.00 | Fall 2024 | Faculty: | Kofi Owusu | 🏫 | 👤 | Size: | 15 | M, W | Laird 007 | 9:50am-11:00am | F | Laird 007 | 9:40am-10:40am"
ENGL 395.01,Postcolonial Novel: Forms and Contexts,6 credits,"Authors from the colonies and ex-colonies of England have complicated our understandings of the locations, forms and indeed the language of the contemporary English novel. This course will examine these questions and the theoretical and interpretive frames in which these writers have often been placed, and probe their place in the global marketplace (and awards stage). We will read a number of major novelists of the postcolonial era from Africa, South Asia, the Caribbean and the diaspora as well as some of the central works of postcolonial literary criticism.Not open to students who took ENGL 350 Postcolonial Novel",Fall 2024,"IS, International Studies | LA, Literary/Artistic Analysis | WR2 Writing Requirement 2",Student must have completed any of the following course(s): ENGL 295 – Critical Methods and one 300 level ENGL course with grade of C- or better.,AFST LitArtistic Analysis | CCST Encounters | CL: 300 level | ENGL Advanced Seminar | ENGL Tradition 3 | EUST Transnational Supp,"ENGL
                                                 395.01 | Fall 2024 | Faculty: | Arnab Chakladar | 🏫 | 👤 | Size: | 15 | M, W | Laird 206 | 1:50pm-3:00pm | F | Laird 206 | 2:20pm-3:20pm"
ENTS 232,Research Methods in Environmental Studies,3 credits,"This course covers various methodologies that are used to prosecute interdisciplinary academic research relating to the environment. Among the topics covered are: identification of a research question, methods of analysis, hypothesis testing, and effective rhetorical methods, both oral and written.",Fall 2024,"FSR, Formal or Statistical Reasoning | QRE, Quantitative Reasoning",,CL: 200 level,"ENTS
                                                 232.00 | Fall 2024 | Faculty: | Mark Kanazawa | 🏫 | 👤 | Size: | 25 | TH | Willis 204 | 8:15am-10:00am"
ENTS 255,Ecology & Anthropology Tanzania Program: Field Methods in Ecology and Anthropology,4 credits,"This course enables students with interests in both Ecology and Anthropology to conduct studies in partnership with Tanzanian host communities. The challenges facing cultural groups and socio-ecological systems in northern Tanzania are inherently multi-disciplinary, and students must be able to bridge disciplines. This Field Methods course provides students with a common set of skills from both the ecological and anthropological disciplines to be applied in their Independent Study projects. Topics covered in the course include: introduction to research ethics; conducting a literature review; design and implementation of data collection protocols and survey questionnaires; summary, analysis and presentation of qualitative and quantitative data.Open only to participants in Ecology & Anthropology Tanzania Program",Fall 2024,No Exploration,Acceptance in the Carleton OCS Ecology and Anthropology in Tanzania program.,CL: 200 level,"ENTS
                                                 255.07 | Fall 2024 | Faculty: | Anna Estes | 🏫 | 👤 | Size: | 25"
ENTS 289,Climate Change and Human Health,6 credits,"This course will survey the relationship between climate change and human health. The course will begin by exploring the science of the Earth’s climate before turning to an exploration of topics that illuminate the intimate relationship between climate change and human health. These include short-lived climate forcers and the climate and health impact of mitigation measures, extreme heat/drought, mosquito-borne diseases, indoor air pollution/biomass combustion/cookstoves, and biodiversity conservation.",Fall 2024,"QRE, Quantitative Reasoning | SI, Social Inquiry","Student has completed any of the following course(s): BIOL 125 – Genes, Evolution and Development & Lab or BIOL 126 – Energy Flow in Biological Systems & Lab or CHEM 123 – Principles of Chemistry I & Lab or CHEM 124 – Principles of Chemistry I with Problem Solving & Lab or CHEM 128 – Principles of Environmental Chemistry & Lab or one 100 Level Geology course or 6 credits of Physics from courses 131-165 with a grade of C- or better or received a score of 5 or better on the Biology AP exam or received a score of 6 or better on the Biology IB exam.",ENTS Environmenal Science | PPOL Envir Pol & Sustainablty | CL: 200 level,"ENTS
                                                 289.00 | Fall 2024 | Faculty: | Deborah Gross | 🏫 | 👤 | Size: | 25 | M, W | Boliou 161 | 9:50am-11:00am | F | Boliou 161 | 9:40am-10:40am"
ENTS 355,Ecology & Anthropology Tanzania Program: Ecology and Conservation of Savanna Ecosystems in Northern Tanzania,,"This course focuses on the foundational principles necessary to understand the ecology and conservation of savanna ecosystems in northern Tanzania, and the important roles that people and protected areas play within them. The course is based on the premise that a thorough understanding of Tanzania’s ecosystems and the challenges facing them cannot be achieved without understanding the human and political contexts in which they exist. The course incorporates primary literature, frequent guest lecturers, stakeholder interactions and student-facilitated discussions. The experiential, site-based approach allows students to gain insight into the practical application of ecological concepts in monitoring and maintaining savanna ecosystems.Participation in Ecology & Anthropology Tanzania Program",Fall 2024,No Exploration,Acceptance in the Carleton OCS Ecology and Anthropology in Tanzania program.,CL: 300 level,"ENTS
                                                 355.07 | Fall 2024 | Faculty: | Anna Estes | 🏫 | 👤 | Size: | 25 | Credits: | 7 – 8"
ENTS 392,Ecology & Anthropology Tanzania Program: Independent Research,,"Students spend three weeks of the program working on a field research project with a small team of other students. The research projects are designed to be carried out in collaboration with local communities, NGOs or regional research organizations. The multi-disciplinary nature of the projects encourages students to identify roles on the team which align with their academic interests and abilities. Projects may be carried out over a number of years, giving each year’s students the opportunity to build on the research carried out in the previous year. Students present their research at the end of the ISP.Open only to participants in Ecology & Anthropology Tanzania Program. Post fall term module",Fall 2024,No Exploration,Acceptance in the Carleton OCS Ecology and Anthropology in Tanzania program.,CL: 300 level,"ENTS
                                                 392.07 | Fall 2024 | Faculty: | Anna Estes | 🏫 | 👤 | Size: | 25 | Credits: | 3 – 4"
ENTS 395,Senior Seminar,3 credits,This seminar will focus on preparing Environmental Studies majors to undertake the senior comprehensive exercise. The seminar will be organized around a topic to-be-determined and will involve intensive discussion and the preparation of a detailed research proposal for the comps experience. The course is required for all Environmental Studies majors choosing the group comps option. Prerequisite: Completion of all other ENTS core courses except comps.Requires completion of all other ENTS core courses except comps.,Fall 2024,"SI, Social Inquiry",,CL: 300 level,"ENTS
                                                 395.00 | Fall 2024 | Faculty: | Mark Kanazawa | 🏫 | 👤 | Size: | 15 | T | Willis 204 | 8:15am-10:00am"
EUST 101.07,Elementary Czech,4 credits,This highly recommended language course will meet twice per week and emphasize basic listening and speaking skills. Students will be challenged to utilize their new language skills in everyday situations.,Fall 2024,No Exploration,,CL: 100 level,"EUST
                                                 101.07 | Fall 2024 | Faculty: | Ken Abrams | 🏫 | 👤 | Size: | 25 | Grading: | S/CR/NC"
EUST 278,Cross-Cultural Psychology Sem in Prague: Politics & Culture in Central Europe-Twentieth Century,6 credits,"This course covers important political, social, and cultural developments in Central Europe during the twentieth century. Studies will explore the establishment of independent nations during the interwar period, Nazi occupation, resistance and collaboration, the Holocaust and the expulsion of the Germans, the nature of the communist system, its final collapse, and the post-communist transformation.",Fall 2024,"HI, Humanistic Inquiry | IS, International Studies",Acceptance in Cross-Cultural Studies in Prague Program and student has completed any of the following course(s): PSYC 110 – Principles of Psychology with a grade of C- or better.,CL: 200 level,"EUST
                                                 278.07 | Fall 2024 | Faculty: | Ken Abrams | 🏫 | 👤 | Size: | 24"
EUST 293,Group Independent Study,2 credits,Group Independent studyInstructor permission required. Students register using independent study form,Fall 2024,,,CL: Independent Study,"EUST
                                                 293.11 | Fall 2024 | Faculty: | William North | 🏫 | 👤 | Grading: | S/CR/NC | M, W | Willis 114 | 8:30am-9:40am | F | Willis 114 | 8:30am-9:30am"
