Course_1,Course_2,Description_1,Description_2,Similarity,Most_Similar_Words
DGAH 398,RUSS 103,"The work of Digital Arts & Humanities takes place at the crossroads of computing, humanities, and creative production. While digital tools and computational methods can enhance humanities research and artistic production, traditional humanistic approaches must also question digital technologies. Both the processes and products of this work stretch the boundaries of familiar academic formats. In this course, students will create an ePortfolio that curates and critically reflects on the digital processes and products of courses and co-curricular experiences at Carleton, guided by readings on the current state of interdisciplinary digital scholarship. A capstone for the DGAH minor, the seminar will include numerous workshop events and culminate in public portfolio presentations. Prerequisite: Prior DGAH coursework, including but not limited to the DGAH core courses.",Concludes introductory method of Russian 101-102.,0.68359613,
ECON 110,ECON 110,"This course gives students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 111, as a preparation for all advanced study in economics. Topics include analysis of the measurement, level, and distribution of national income; the concepts of inflation and depression; the role and structure of the banking system; fiscal and monetary stabilization techniques; implications of and limits to economic growth; and international economic relations.","This course gives students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 111, as a preparation for all advanced study in economics. Topics include analysis of the measurement, level, and distribution of national income; the concepts of inflation and depression; the role and structure of the banking system; fiscal and monetary stabilization techniques; implications of and limits to economic growth; and international economic relations.",0.99999994,"economic, economics, 111, advanced, analysis, banking, basis, citizenship, combined, concepts, course, depression, distribution, effective, fiscal, foundation, general, gives, growth, implications, include, income, inflation, international, level, limits, measurement, monetary, national, preparation, principles, relations, role, stabilization, structure, students, study, techniques, topics"
ECON 110,ECON 111,"This course gives students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 111, as a preparation for all advanced study in economics. Topics include analysis of the measurement, level, and distribution of national income; the concepts of inflation and depression; the role and structure of the banking system; fiscal and monetary stabilization techniques; implications of and limits to economic growth; and international economic relations.","This course gives the students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 110, as a preparation for all advanced study in economics. Topics include consumer choice theory; the formation of prices under competition, monopoly, and other market structures; the determination of wages, profits, and income from capital; the distribution of income; and an analysis of policy directed towards problems of public finance, pollution, natural resources, and public goods.",0.942274,"economics, income, advanced, analysis, basis, citizenship, combined, course, distribution, effective, foundation, general, gives, include, preparation, principles, students, study, topics"
ECON 110,ECON 270,"This course gives students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 111, as a preparation for all advanced study in economics. Topics include analysis of the measurement, level, and distribution of national income; the concepts of inflation and depression; the role and structure of the banking system; fiscal and monetary stabilization techniques; implications of and limits to economic growth; and international economic relations.",This course provides a theoretical and empirical examination of the government’s role in the U.S. economy. Emphasis is placed on policy analysis using the criteria of efficiency and equity. Topics include rationales for government intervention; analysis of alternative public expenditure programs from a partial and/or general equilibrium framework; the incidence of various types of taxes; models of collective choice; cost-benefit analysis; intergovernmental fiscal relations.,0.82422376,"analysis, course, fiscal, general, include, relations, role, topics"
ECON 110,BIOL 240,"This course gives students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 111, as a preparation for all advanced study in economics. Topics include analysis of the measurement, level, and distribution of national income; the concepts of inflation and depression; the role and structure of the banking system; fiscal and monetary stabilization techniques; implications of and limits to economic growth; and international economic relations.","A study of the transmission of genetic information between generations of organisms, and of the mechanism of expression of information within an individual organism. The main emphasis will be on the physical and chemical basis of heredity; mutational, transmissional and functional analysis of the genetic material, and gene expression.Spring Term Sophomore Priority, requires concurrent registration in BIOL 241",0.81265324,"analysis, basis, study"
ECON 110,BIOC 311,"This course gives students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 111, as a preparation for all advanced study in economics. Topics include analysis of the measurement, level, and distribution of national income; the concepts of inflation and depression; the role and structure of the banking system; fiscal and monetary stabilization techniques; implications of and limits to economic growth; and international economic relations.","This course introduces students to fundamental biochemical laboratory techniques important to studying protein structure and function, such as the manipulation of nucleic acids, electrophoresis, protein purification, and functional assays. Students will apply these techniques to scientific problems drawn from faculty research.BIOC 301 is a prereq; it cannot be taken concurrently with BIOC 311",0.7990199,"course, structure, students, techniques"
ECON 110,GEOL 240,"This course gives students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 111, as a preparation for all advanced study in economics. Topics include analysis of the measurement, level, and distribution of national income; the concepts of inflation and depression; the role and structure of the banking system; fiscal and monetary stabilization techniques; implications of and limits to economic growth; and international economic relations.","This applied geophysics course focuses on understanding the near-surface structure of the Earth using a hand-on approach. Students will collect, process, model, and interpret geophysical data using gravitational, magnetic, and seismic methods. Weekly laboratories and one weekend field trip will be required.Extra time for weekend field trip",0.77877384,"course, structure, students"
ECON 110,PHYS 342,"This course gives students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 111, as a preparation for all advanced study in economics. Topics include analysis of the measurement, level, and distribution of national income; the concepts of inflation and depression; the role and structure of the banking system; fiscal and monetary stabilization techniques; implications of and limits to economic growth; and international economic relations.","A study of experimental techniques and apparatus basic to the measurements which underlie and validate contemporary theories in physics. Topics include electrical measurements, data analysis and statistics, optical and laser techniques, particle detectors, and time coincidence techniques. Applications are made to experiments such as magnetic resonance, Mossbauer and nuclear spectroscopy and laser optics. Class time is devoted to studying the measurement techniques and considering phenomenological models of the effects observed in the laboratory. One laboratory per week.",0.7723396,"techniques, analysis, include, measurement, study, topics"
ECON 110,GEOL 255,"This course gives students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 111, as a preparation for all advanced study in economics. Topics include analysis of the measurement, level, and distribution of national income; the concepts of inflation and depression; the role and structure of the banking system; fiscal and monetary stabilization techniques; implications of and limits to economic growth; and international economic relations.","An introduction to the fundamental physical, chemical and tectonic principles that are relevant to the formation of igneous and metamorphic rocks. Labs emphasize description and interpretation of the origin of rocks based on hand specimen and thin section study. Field trips and laboratories are included.Extra time for field trips",0.72597283,"principles, study"
ECON 110,CHEM 352,"This course gives students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 111, as a preparation for all advanced study in economics. Topics include analysis of the measurement, level, and distribution of national income; the concepts of inflation and depression; the role and structure of the banking system; fiscal and monetary stabilization techniques; implications of and limits to economic growth; and international economic relations.","Synthesis, purification and spectroscopic characterization of transition-metal complexes with an emphasis on methods for preparing and handling air-sensitive compounds. One laboratory per week.Previous or concurrent registration in CHEM 351",0.7175153,
ECON 110,DANC 279,"This course gives students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 111, as a preparation for all advanced study in economics. Topics include analysis of the measurement, level, and distribution of national income; the concepts of inflation and depression; the role and structure of the banking system; fiscal and monetary stabilization techniques; implications of and limits to economic growth; and international economic relations.","Tap is an energetic form of dance that focuses on rhythm and percussion. Classes will include across the floor exercises that teach dynamics, shading, phrasing, and musicality along with extended rhythmic phrases and improvisation exercises. Tap dance originated in the southern United States as a fusion of West African dance roots and Europeanist influences. In this course students will learn tap skills as well as important aspects of tap dance history. Some previous experience with Tap dance is recommended.",0.70778495,"course, include, students"
ECON 111,ECON 111,"This course gives the students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 110, as a preparation for all advanced study in economics. Topics include consumer choice theory; the formation of prices under competition, monopoly, and other market structures; the determination of wages, profits, and income from capital; the distribution of income; and an analysis of policy directed towards problems of public finance, pollution, natural resources, and public goods.","This course gives the students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 110, as a preparation for all advanced study in economics. Topics include consumer choice theory; the formation of prices under competition, monopoly, and other market structures; the determination of wages, profits, and income from capital; the distribution of income; and an analysis of policy directed towards problems of public finance, pollution, natural resources, and public goods.",1.0,"economics, income, public, 110, advanced, analysis, basis, capital, choice, citizenship, combined, competition, consumer, course, determination, directed, distribution, effective, finance, formation, foundation, general, gives, goods, include, market, monopoly, natural, policy, pollution, preparation, prices, principles, problems, profits, resources, structures, students, study, theory, topics, wages"
ECON 111,ECON 110,"This course gives the students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 110, as a preparation for all advanced study in economics. Topics include consumer choice theory; the formation of prices under competition, monopoly, and other market structures; the determination of wages, profits, and income from capital; the distribution of income; and an analysis of policy directed towards problems of public finance, pollution, natural resources, and public goods.","This course gives students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 111, as a preparation for all advanced study in economics. Topics include analysis of the measurement, level, and distribution of national income; the concepts of inflation and depression; the role and structure of the banking system; fiscal and monetary stabilization techniques; implications of and limits to economic growth; and international economic relations.",0.942274,"economics, income, advanced, analysis, basis, citizenship, combined, course, distribution, effective, foundation, general, gives, include, preparation, principles, students, study, topics"
ECON 111,ECON 270,"This course gives the students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 110, as a preparation for all advanced study in economics. Topics include consumer choice theory; the formation of prices under competition, monopoly, and other market structures; the determination of wages, profits, and income from capital; the distribution of income; and an analysis of policy directed towards problems of public finance, pollution, natural resources, and public goods.",This course provides a theoretical and empirical examination of the government’s role in the U.S. economy. Emphasis is placed on policy analysis using the criteria of efficiency and equity. Topics include rationales for government intervention; analysis of alternative public expenditure programs from a partial and/or general equilibrium framework; the incidence of various types of taxes; models of collective choice; cost-benefit analysis; intergovernmental fiscal relations.,0.8768483,"public, analysis, choice, course, general, include, policy, topics"
ECON 111,BIOL 240,"This course gives the students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 110, as a preparation for all advanced study in economics. Topics include consumer choice theory; the formation of prices under competition, monopoly, and other market structures; the determination of wages, profits, and income from capital; the distribution of income; and an analysis of policy directed towards problems of public finance, pollution, natural resources, and public goods.","A study of the transmission of genetic information between generations of organisms, and of the mechanism of expression of information within an individual organism. The main emphasis will be on the physical and chemical basis of heredity; mutational, transmissional and functional analysis of the genetic material, and gene expression.Spring Term Sophomore Priority, requires concurrent registration in BIOL 241",0.83986694,"analysis, basis, study"
ECON 111,ECON 330,"This course gives the students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 110, as a preparation for all advanced study in economics. Topics include consumer choice theory; the formation of prices under competition, monopoly, and other market structures; the determination of wages, profits, and income from capital; the distribution of income; and an analysis of policy directed towards problems of public finance, pollution, natural resources, and public goods.",An analysis of the forces determining relative prices within the framework of production and distribution. This class is normally taken by juniors. Sophomores considering enrolling should speak to the instructor.,0.733275,"analysis, distribution, prices"
ECON 111,ECON 331,"This course gives the students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 110, as a preparation for all advanced study in economics. Topics include consumer choice theory; the formation of prices under competition, monopoly, and other market structures; the determination of wages, profits, and income from capital; the distribution of income; and an analysis of policy directed towards problems of public finance, pollution, natural resources, and public goods.","Analysis of the forces determining the general level of output, employment, and prices with special emphasis on the role of money and on interest rate determination. This class is normally taken by juniors. Sophomores considering enrolling should speak to the instructor.",0.7202821,"analysis, determination, general, prices"
ECON 111,CHEM 352,"This course gives the students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 110, as a preparation for all advanced study in economics. Topics include consumer choice theory; the formation of prices under competition, monopoly, and other market structures; the determination of wages, profits, and income from capital; the distribution of income; and an analysis of policy directed towards problems of public finance, pollution, natural resources, and public goods.","Synthesis, purification and spectroscopic characterization of transition-metal complexes with an emphasis on methods for preparing and handling air-sensitive compounds. One laboratory per week.Previous or concurrent registration in CHEM 351",0.7201655,
ECON 111,DANC 279,"This course gives the students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 110, as a preparation for all advanced study in economics. Topics include consumer choice theory; the formation of prices under competition, monopoly, and other market structures; the determination of wages, profits, and income from capital; the distribution of income; and an analysis of policy directed towards problems of public finance, pollution, natural resources, and public goods.","Tap is an energetic form of dance that focuses on rhythm and percussion. Classes will include across the floor exercises that teach dynamics, shading, phrasing, and musicality along with extended rhythmic phrases and improvisation exercises. Tap dance originated in the southern United States as a fusion of West African dance roots and Europeanist influences. In this course students will learn tap skills as well as important aspects of tap dance history. Some previous experience with Tap dance is recommended.",0.70297635,"course, include, students"
ECON 111,PHYS 145,"This course gives the students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 110, as a preparation for all advanced study in economics. Topics include consumer choice theory; the formation of prices under competition, monopoly, and other market structures; the determination of wages, profits, and income from capital; the distribution of income; and an analysis of policy directed towards problems of public finance, pollution, natural resources, and public goods.","This course begins with the study of the motion of objects on the human scale using Newton’s laws. The course provides the foundation for the study of conservation of energy and momentum, waves, and fluids. Biologic, medical, chemical, nuclear, and geologic applications may be considered. Comfort with algebra and the integration and differentiation of elementary functions is assumed. Weekly laboratory work.",0.6936096,"course, foundation, study"
ECON 111,MATH 331,"This course gives the students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 110, as a preparation for all advanced study in economics. Topics include consumer choice theory; the formation of prices under competition, monopoly, and other market structures; the determination of wages, profits, and income from capital; the distribution of income; and an analysis of policy directed towards problems of public finance, pollution, natural resources, and public goods.","Further topics in analysis such as measure theory, Lebesgue integration or Banach and Hilbert spaces.",0.69291574,"analysis, theory, topics"
ECON 265,ECON 265,"Game theory is the study of purposeful behavior in strategic situations. It serves as a framework for analysis that can be applied to everyday decisions, such as working with a study group and cleaning your room, as well as to a variety of economic issues, including contract negotiations and firms’ output decisions. In this class, modern game theoretic tools will be primarily applied to economic situations, but we will also draw on examples from other realms.","Game theory is the study of purposeful behavior in strategic situations. It serves as a framework for analysis that can be applied to everyday decisions, such as working with a study group and cleaning your room, as well as to a variety of economic issues, including contract negotiations and firms’ output decisions. In this class, modern game theoretic tools will be primarily applied to economic situations, but we will also draw on examples from other realms.",1.0000001,"applied, decisions, economic, game, situations, study, analysis, behavior, class, cleaning, contract, draw, everyday, examples, firms, framework, group, including, issues, modern, negotiations, output, primarily, purposeful, realms, room, serves, strategic, theoretic, theory, tools, variety, working"
ECON 265,MATH 271,"Game theory is the study of purposeful behavior in strategic situations. It serves as a framework for analysis that can be applied to everyday decisions, such as working with a study group and cleaning your room, as well as to a variety of economic issues, including contract negotiations and firms’ output decisions. In this class, modern game theoretic tools will be primarily applied to economic situations, but we will also draw on examples from other realms.","Optimization is all about selecting the""best""thing. Finding the most likely strategy to win a game, the route that gets you there the fastest, or the curve that most closely fits given data are all examples of optimization problems. In this course we study linear optimization (also known as linear programming), the simplex method, and duality from both a theoretical and a computational perspective. Applications will be selected from statistics, economics, computer science, and more. Additional topics in nonlinear and convex optimization will be covered as time permits.",0.8276092,"examples, game, study"
ECON 265,MATH 232,"Game theory is the study of purposeful behavior in strategic situations. It serves as a framework for analysis that can be applied to everyday decisions, such as working with a study group and cleaning your room, as well as to a variety of economic issues, including contract negotiations and firms’ output decisions. In this class, modern game theoretic tools will be primarily applied to economic situations, but we will also draw on examples from other realms.","Linear algebra centers on the study of highly structured functions called linear transformations. Given the abundance of nonlinear functions in mathematics, it may come as a surprise that restricting to linear ones opens the door to a rich and powerful theory that finds applications throughout mathematics, statistics, computer science, and the natural and social sciences. Linear transformations are everywhere, once we know what to look for. They appear in calculus as the functions that are used to define lines and planes in Euclidean space. In fact, differentiation is also a linear transformation that takes one function to another. The course focuses on developing geometric intuition as well as computational matrix methods. Topics include kernel and image of a linear transformation, vector spaces, determinants, eigenvectors and eigenvalues.This course is not open to students who have received credit for MATH 134.",0.8151954,"study, theory"
ECON 265,MATH 134,"Game theory is the study of purposeful behavior in strategic situations. It serves as a framework for analysis that can be applied to everyday decisions, such as working with a study group and cleaning your room, as well as to a variety of economic issues, including contract negotiations and firms’ output decisions. In this class, modern game theoretic tools will be primarily applied to economic situations, but we will also draw on examples from other realms.","Linear algebra centers on the geometry, algebra, and applications of linear equations.  It is pivotal to many areas of mathematics, natural sciences, computer science, and engineering. To study linear equations, we will develop concepts including matrix algebra, linear independence, determinants, eigenvectors, and orthogonality.  Students will use these tools to model real world problems and solve these problems using computational software.This course is not open to students who have received credit for MATH 232.",0.8044211,"including, study, tools"
ECON 265,CS 348,"Game theory is the study of purposeful behavior in strategic situations. It serves as a framework for analysis that can be applied to everyday decisions, such as working with a study group and cleaning your room, as well as to a variety of economic issues, including contract negotiations and firms’ output decisions. In this class, modern game theoretic tools will be primarily applied to economic situations, but we will also draw on examples from other realms.","As multi-core machines become more prevalent, different programming paradigms have emerged for harnessing extra processors for better performance. This course explores parallel computation for both shared memory and distributed parallel programming paradigms. In particular, we will explore how these paradigms affect the code we write, the libraries we use, and the advantages and disadvantages of each. Topics will include synchronization primitives across these models for parallel execution, debugging concurrent programs, fork/join parallelism, example parallel algorithms, computational complexity and performance considerations, computer architecture as it relates to parallel computation, and related theory topics.",0.79919916,theory
ECON 265,MATH 342,"Game theory is the study of purposeful behavior in strategic situations. It serves as a framework for analysis that can be applied to everyday decisions, such as working with a study group and cleaning your room, as well as to a variety of economic issues, including contract negotiations and firms’ output decisions. In this class, modern game theoretic tools will be primarily applied to economic situations, but we will also draw on examples from other realms.","Introduction to algebraic structures, including groups, rings, and fields. Homomorphisms and quotient structures, polynomials, unique factorization. Other topics may include applications such as Burnside’s counting theorem, symmetry groups, polynomial equations, or geometric constructions.",0.7725211,including
ECON 265,BIOC 311,"Game theory is the study of purposeful behavior in strategic situations. It serves as a framework for analysis that can be applied to everyday decisions, such as working with a study group and cleaning your room, as well as to a variety of economic issues, including contract negotiations and firms’ output decisions. In this class, modern game theoretic tools will be primarily applied to economic situations, but we will also draw on examples from other realms.","This course introduces students to fundamental biochemical laboratory techniques important to studying protein structure and function, such as the manipulation of nucleic acids, electrophoresis, protein purification, and functional assays. Students will apply these techniques to scientific problems drawn from faculty research.BIOC 301 is a prereq; it cannot be taken concurrently with BIOC 311",0.7624924,
ECON 265,MATH 241,"Game theory is the study of purposeful behavior in strategic situations. It serves as a framework for analysis that can be applied to everyday decisions, such as working with a study group and cleaning your room, as well as to a variety of economic issues, including contract negotiations and firms’ output decisions. In this class, modern game theoretic tools will be primarily applied to economic situations, but we will also draw on examples from other realms.","Ordinary differential equations are a fundamental language used by mathematicians, scientists, and engineers to describe processes involving continuous change. In this course we develop ordinary differential equations as models of real world phenomena and explore the mathematical ideas that arise within these models. Topics include separation of variables; phase portraits; equilibria and their stability; non-dimensionalization; bifurcation analysis; and modeling of physical, biological, chemical, and social processes.",0.7522168,analysis
ECON 265,PHYS 341,"Game theory is the study of purposeful behavior in strategic situations. It serves as a framework for analysis that can be applied to everyday decisions, such as working with a study group and cleaning your room, as well as to a variety of economic issues, including contract negotiations and firms’ output decisions. In this class, modern game theoretic tools will be primarily applied to economic situations, but we will also draw on examples from other realms.","The analysis of wave phenomena, including normal mode expansions, the wave equation and boundary value problems, and interference, diffraction, dispersion, and polarization. Applications are made to mechanical, sound, water and electromagnetic waves with particular emphasis on both the unifying principles across all wave phenomena, as well as the nuances of particular types of waves.",0.75188357,"analysis, including"
ECON 265,STAT 220,"Game theory is the study of purposeful behavior in strategic situations. It serves as a framework for analysis that can be applied to everyday decisions, such as working with a study group and cleaning your room, as well as to a variety of economic issues, including contract negotiations and firms’ output decisions. In this class, modern game theoretic tools will be primarily applied to economic situations, but we will also draw on examples from other realms.","This course will cover the computational side of data analysis, including data acquisition, management, and visualization tools. Topics may include: data scraping, data wrangling, data visualization using packages such as ggplots, interactive graphics using tools such as Shiny, an introduction to classification methods, and understanding and visualizing spatial data. We will use the statistics software R in this course.",0.75065535,"tools, analysis, including"
ECON 269,ECON 269,"This course studies the relationship between climate change, government policy, and global markets. It explores the historical relationship between economic growth and greenhouse gasses, the cost-benefit analysis of policies aimed at reducing greenhouse gas emissions, and the potential for adaptation to climate change. Through readings, discussions, and case studies, students will gain a deep understanding of the economic implications of climate change and the policies that can be used to mitigate its effects. By the end of the course, students will have developed a critical understanding of the complex relationship between economics and climate change and will be equipped to engage in meaningful discussions and analysis of this pressing global issue.","This course studies the relationship between climate change, government policy, and global markets. It explores the historical relationship between economic growth and greenhouse gasses, the cost-benefit analysis of policies aimed at reducing greenhouse gas emissions, and the potential for adaptation to climate change. Through readings, discussions, and case studies, students will gain a deep understanding of the economic implications of climate change and the policies that can be used to mitigate its effects. By the end of the course, students will have developed a critical understanding of the complex relationship between economics and climate change and will be equipped to engage in meaningful discussions and analysis of this pressing global issue.",1.0,"change, climate, relationship, analysis, course, discussions, economic, global, greenhouse, policies, students, studies, understanding, adaptation, aimed, benefit, case, complex, cost, critical, deep, developed, economics, effects, emissions, end, engage, equipped, explores, gain, gas, gasses, government, growth, historical, implications, issue, markets, meaningful, mitigate, policy, potential, pressing, readings, reducing, used"
ECON 269,PSYC 354,"This course studies the relationship between climate change, government policy, and global markets. It explores the historical relationship between economic growth and greenhouse gasses, the cost-benefit analysis of policies aimed at reducing greenhouse gas emissions, and the potential for adaptation to climate change. Through readings, discussions, and case studies, students will gain a deep understanding of the economic implications of climate change and the policies that can be used to mitigate its effects. By the end of the course, students will have developed a critical understanding of the complex relationship between economics and climate change and will be equipped to engage in meaningful discussions and analysis of this pressing global issue.","This course provides an introduction to the field of counseling psychology, exploring its fundamental principles and practices. Students will gain a comprehensive understanding of various counseling theories and treatment modalities, including their historical development and practical application. Students will also explore research methodologies utilized in counseling psychology and critically analyze empirical studies to inform evidence-based practice. Additionally, the course addresses professional issues, ethical considerations, and multicultural factors that influence counseling psychology, fostering cultural competence and awareness of diverse populations.",0.6776931,"course, students, studies, understanding, gain, historical"
ECON 269,POSC 231,"This course studies the relationship between climate change, government policy, and global markets. It explores the historical relationship between economic growth and greenhouse gasses, the cost-benefit analysis of policies aimed at reducing greenhouse gas emissions, and the potential for adaptation to climate change. Through readings, discussions, and case studies, students will gain a deep understanding of the economic implications of climate change and the policies that can be used to mitigate its effects. By the end of the course, students will have developed a critical understanding of the complex relationship between economics and climate change and will be equipped to engage in meaningful discussions and analysis of this pressing global issue.","An introduction to the actors and processes of American foreign policymaking and to the substance of American foreign policy. The course aims to provide students with an understanding of how knowledge of the past, the global policy environment, the processes of foreign policymaking, and the specifics of a foreign policy issue come together to help determine modern American foreign policy. The course will review the structure of the international system of states, state power and interests, the historical context of American foreign policy, actors in American foreign affairs, models of foreign policy decision making, and the instruments of foreign policy. Recommended preparation: POSC 122, AP American Government or AP U.S. History.",0.6537094,"course, policy, global, government, historical, issue, students, understanding"
ECON 269,POSC 120,"This course studies the relationship between climate change, government policy, and global markets. It explores the historical relationship between economic growth and greenhouse gasses, the cost-benefit analysis of policies aimed at reducing greenhouse gas emissions, and the potential for adaptation to climate change. Through readings, discussions, and case studies, students will gain a deep understanding of the economic implications of climate change and the policies that can be used to mitigate its effects. By the end of the course, students will have developed a critical understanding of the complex relationship between economics and climate change and will be equipped to engage in meaningful discussions and analysis of this pressing global issue.","An introduction to the array of different democratic and authoritarian political institutions in both developing and developed countries. We will also explore key issues in contemporary politics in countries around the world, such as nationalism and independence movements, revolution, regime change, state-making, and social movements.",0.63894975,"change, developed"
ECON 269,HIST 205,"This course studies the relationship between climate change, government policy, and global markets. It explores the historical relationship between economic growth and greenhouse gasses, the cost-benefit analysis of policies aimed at reducing greenhouse gas emissions, and the potential for adaptation to climate change. Through readings, discussions, and case studies, students will gain a deep understanding of the economic implications of climate change and the policies that can be used to mitigate its effects. By the end of the course, students will have developed a critical understanding of the complex relationship between economics and climate change and will be equipped to engage in meaningful discussions and analysis of this pressing global issue.","Environmental concerns, conflicts, and change mark the course of American history, from the distant colonial past to our own day. This course will consider the nature of these eco-cultural developments, focusing on the complicated ways that human thought and perception, culture and society, and natural processes and biota have all combined to forge Americans’ changing relationship with the natural world. Topics will include Native American subsistence strategies, Euroamerican settlement, industrialization, urbanization, consumption, and the environmental movement. As we explore these issues, one of our overarching goals will be to develop an historical context for thinking deeply about contemporary environmental dilemmas.",0.61919755,"course, change, relationship, historical"
ECON 269,AFST 289,"This course studies the relationship between climate change, government policy, and global markets. It explores the historical relationship between economic growth and greenhouse gasses, the cost-benefit analysis of policies aimed at reducing greenhouse gas emissions, and the potential for adaptation to climate change. Through readings, discussions, and case studies, students will gain a deep understanding of the economic implications of climate change and the policies that can be used to mitigate its effects. By the end of the course, students will have developed a critical understanding of the complex relationship between economics and climate change and will be equipped to engage in meaningful discussions and analysis of this pressing global issue.","This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.",0.6141728,"course, global, understanding"
ECON 269,PSYC 257,"This course studies the relationship between climate change, government policy, and global markets. It explores the historical relationship between economic growth and greenhouse gasses, the cost-benefit analysis of policies aimed at reducing greenhouse gas emissions, and the potential for adaptation to climate change. Through readings, discussions, and case studies, students will gain a deep understanding of the economic implications of climate change and the policies that can be used to mitigate its effects. By the end of the course, students will have developed a critical understanding of the complex relationship between economics and climate change and will be equipped to engage in meaningful discussions and analysis of this pressing global issue.",Students will participate in the planning and replication of empirical studies of the social psychology of social behavior. Requires concurrent registration in Psychology 256. A grade of C- or better must be earned in both Psychology 256 and 257 to satisfy the LS requirement.PSYC 256 required.,0.60586756,"students, studies"
ECON 269,ENGL 295,"This course studies the relationship between climate change, government policy, and global markets. It explores the historical relationship between economic growth and greenhouse gasses, the cost-benefit analysis of policies aimed at reducing greenhouse gas emissions, and the potential for adaptation to climate change. Through readings, discussions, and case studies, students will gain a deep understanding of the economic implications of climate change and the policies that can be used to mitigate its effects. By the end of the course, students will have developed a critical understanding of the complex relationship between economics and climate change and will be equipped to engage in meaningful discussions and analysis of this pressing global issue.","Required of students majoring in English, this course explores practical and theoretical issues in literary analysis and contemporary criticism.Not open to first year students.",0.5981173,"analysis, course, students, explores"
ECON 269,POSC 322,"This course studies the relationship between climate change, government policy, and global markets. It explores the historical relationship between economic growth and greenhouse gasses, the cost-benefit analysis of policies aimed at reducing greenhouse gas emissions, and the potential for adaptation to climate change. Through readings, discussions, and case studies, students will gain a deep understanding of the economic implications of climate change and the policies that can be used to mitigate its effects. By the end of the course, students will have developed a critical understanding of the complex relationship between economics and climate change and will be equipped to engage in meaningful discussions and analysis of this pressing global issue.","Polarization and populism have shaped Latin American politics and development for much of the region's history. These forces have re-emerged in the post-Cold War period in acute and powerful ways in threatening democracy and systems of accountability. This course will examine these forces and adjacent phenomena such as democratic backsliding, the aggrandizement of presidential powers, socio-economic conflicts, contentious politics, and the continuation of state crises in Latin America. Students will work on their own research projects.",0.59643495,"course, economic, students"
