Course Number,Course Title,Credits,Description,Offered Term,Liberal Arts Requirements,Tags,Prerequisites,Faculty,Meeting Day,Location,Time,Unnamed: 12
CS 202,Mathematics of Computer Science,6 credits,"This course introduces some of the formal tools of computer science, using a variety of applications as a vehicle. You’ll learn how to encode data so that when you scratch the back of a DVD, it still plays just fine; how to distribute “shares” of your floor’s PIN so that any five of you can withdraw money from the floor bank account (but no four of you can); how to play chess; and more. Topics that we’ll explore along the way include: logic and proofs, number theory, elementary complexity theory and recurrence relations, basic probability, counting techniques, and graphs.",Spring 2025,"FSR, Formal or Statistical Reasoning","CS Required for Major, LING Related Field, CL: 200 level",Student has completed any of the following course(s):CS 111– Introduction to Computer Science with a grade of C- or better or received a score of 4 or better on the AP Computer Science exam ANDMATH 101– Calculus with Problem Solving orMATH 111– Introduction to Calculus or greater with a grade of C- or better or greateror received a score of 4 or better on the Calculus AB AP exam or received a score of 4 or better on the Calculus BC AP exam or received a score of 5 or better on the Mathematics IB exam or equivalent.,Eric Alexander,"M, W",Anderson Hall 329,12:30pm-1:40pm,
CS 208,Introduction to Computer Systems,6 credits,"Are you curious what’s really going on when a computer runs your code? In this course we will demystify the machine and the tools that we use to program it. Our broad survey of how computer systems execute programs, store information, and communicate will focus on the hardware/software interface, including data representation, instruction set architecture, the C programming language, memory management, and the operating system process model.",Spring 2025,"FSR, Formal or Statistical Reasoning","CS Required for Major, CL: 200 level",Student has completed any of the following course(s):CS 200– Data Structures with Problem Solving orCS 201– Data Structures with a grade of C- or better or equivalent.,Tanya Amert,"M, W",Leighton 305,1:50pm-3:00pm,
CS 251,Programming Languages: Design and Implementation,6 credits,"What makes a programming language like “Python” or like “Java”? This course will look past superficial properties (like indentation) and into the soul of programming languages. We will explore a variety of topics in programming language construction and design: syntax and semantics, mechanisms for parameter passing, typing, scoping, and control structures. Students will expand their programming experience to include other programming paradigms, including functional languages like Scheme and ML.",Spring 2025,"FSR, Formal or Statistical Reasoning","CS Required for Major, CL: 200 level",Student has completed any of the following course(s):CS 200– Data Structures with Problem Solving orCS 201– Data Structures with a grade of C- or better or equivalent.,David Musicant,"M, W",Language & Dining Center 104,9:50am-11:00am,
CS 252,Algorithms,6 credits,"A course on techniques used in the design and analysis of efficient algorithms. We will cover several major algorithmic design paradigms (greedy algorithms, dynamic programming, divide and conquer, and network flow). Along the way, we will explore the application of these techniques to a variety of domains (natural language processing, economics, computational biology, and data mining, for example). As time permits, we will include supplementary topics like randomized algorithms, advanced data structures, and amortized analysis.",Spring 2025,"FSR, Formal or Statistical Reasoning","CS Required for Major, MATH Discrete Structures, MATH Electives, SDSC CS Elective, CL: 200 level",Student has completed any of the following course(s):CS 200– Data Structures with Problem Solving orCS 201– Data Structures ANDCS 202– Mathematics of Computer Science orMATH 236– Mathematical Structures with a grade of C- or better or equivalent.MATH 236will be accepted in lieu of Computer Science 202.,Eric Alexander,"M, W",Hulings 316,9:50am-11:00am,
CS 254,Computability and Complexity,6 credits,"An introduction to the theory of computation. What problems can and cannot be solved efficiently by computers? What problems cannot be solved by computers, period? Topics include formal models of computation, including finite-state automata, pushdown automata, and Turing machines; formal languages, including regular expressions and context-free grammars; computability and uncomputability; and computational complexity, particularly NP-completeness.",Spring 2025,"FSR, Formal or Statistical Reasoning","CGSC Elective, CS Required for Major, LING Pertinent, LING Related Field, MATH Discrete Structures, MATH Electives, NEUR Elective, CL: 200 level",Student has completed any of the following course(s):CS 200– Data Structures with Problem Solving orCS 201– Data Structures ANDCS 202– Mathematics of Computer Science orMATH 236– Mathematical Structures with a grade of C- or better or equivalent.MATH 236will be accepted in lieu of Computer Science 202.,Layla Oesper,"M, W",Hulings 316,12:30pm-1:40pm,
CS 257,Software Design,6 credits,"It’s easy to write a mediocre computer program, and lots of people do it. Good programs are quite a bit harder to write, and are correspondingly less common. In this course, we will study techniques, tools, and habits that will improve your chances of writing good software. While working on several medium-sized programming projects, we will investigate code construction techniques, debugging and profiling tools, testing methodologies, UML, principles of object-oriented design, design patterns, and user interface design.",Spring 2025,"FSR, Formal or Statistical Reasoning","CS Required for Major, SDSC CS Elective, CL: 200 level",Student has completed any of the following course(s):CS 200– Data Structures with Problem Solving orCS 201– Data Structures with a grade of C- or better or equivalent.,Jeff Ondich,"M, W",Anderson Hall 329,8:30am-9:40am,
CS 304,Social Computing,6 credits,"The last decade has seen a vast increase in the number of applications that connect people with one another. This course presents an interdisciplinary introduction to social computing, a field of study that explores how computational techniques and artifacts are used to support and understand social interactions. We will examine a number of socio-technical systems (such as wikis, social media platforms, and citizen science projects), discuss the design principles used to build them, and analyze how they help people mobilize and collaborate with one another. Assignments will involve investigating datasets from online platforms and exploring current research in the field.",Spring 2025,"FSR, Formal or Statistical Reasoning, QRE, Quantitative Reasoning",CL: 300 level,Student has completed any of the following course(s):CS 200– Data Structures with Problem Solving orCS 201– Data Structures with a grade of C- or better or equivalent.,Sneha Narayan,"M, W",Anderson Hall 323,12:30pm-1:40pm,
CS 311,Computer Graphics,6 credits,"Scientific simulations, movies, and video games often incorporate computer-generated images of fictitious worlds. How are these worlds represented inside a computer? How are they “photographed” to produce the images that we see? What performance constraints and design trade-offs come into play? In this course we learn the basic theory and methodology of three-dimensional computer graphics, including both triangle rasterization and ray tracing. Familiarity with vectors and matrices is recommended but not required.",Spring 2025,"FSR, Formal or Statistical Reasoning, QRE, Quantitative Reasoning",CL: 300 level,Student has completed any of the following course(s):CS 208– Intro to Computer Systems with grade of C- or better.,Josh Davis,"M, W",Leighton 305,9:50am-11:00am,
CS 320,Machine Learning,6 credits,"What does it mean for a machine to learn? Much of modern machine learning focuses on identifying patterns in large datasets and using these patterns to make predictions about the future. Machine learning has impacted a diverse array of applications and fields, from scientific discovery to healthcare to education. In this artificial intelligence-related course, we’ll both explore a variety of machine learning algorithms in different application areas, taking both theoretical and practical perspectives, and discuss impacts and ethical implications of machine learning more broadly. Topics may vary, but typically focus on regression and classification algorithms, including neural networks.",Spring 2025,"FSR, Formal or Statistical Reasoning","CGSC Elective, STAT Elective, SDSC CS Elective, CL: 300 level",Student has completed any of the following course(s):CS 200– Data Structures with Problem Solving orCS 201– Data Structures ANDCS 202– Mathematics of Computer Science orMATH 236– Mathematical Structures with a grade of C- or better or equivalent.MATH 236will be accepted in lieu of Computer Science 202.,Tom Finzell,"M, W",Language & Dining Center 104,11:10am-12:20pm,
CS 347,Advanced Software Design,6 credits,"This course helps students to strengthen their ability to design modular, extensible and maintainable software. The focus of the course is on the design of modern cloud applications. Students will learn how to decompose complex applications into a set of back-end services, develop and debug these services, and deploy them in the cloud. This class is structured around a large project that will be extended over the course of the term.",Spring 2025,"FSR, Formal or Statistical Reasoning","CS Major Electives, CL: 300 level",Student has completed any of the following course(s): CS – 257 – Software Design with a grade of C- or better or equivalent.,Jeff Ondich,"M, W",Anderson Hall 323,11:10am-12:20pm,
CS 348,Parallel and Distributed Computing,6 credits,"As multi-core machines become more prevalent, different programming paradigms have emerged for harnessing extra processors for better performance. This course explores parallel computation for both shared memory and distributed parallel programming paradigms. In particular, we will explore how these paradigms affect the code we write, the libraries we use, and the advantages and disadvantages of each. Topics will include synchronization primitives across these models for parallel execution, debugging concurrent programs, fork/join parallelism, example parallel algorithms, computational complexity and performance considerations, computer architecture as it relates to parallel computation, and related theory topics.",Spring 2025,"FSR, Formal or Statistical Reasoning","SDSC CS Elective, CL: 300 level",Student has completed any of the following course(s):CS 200– Data Structures with Problem Solving orCS 201– Data Structures with a grade of C- or better or equivalent.,David Musicant,"M, W",Anderson Hall 329,1:50pm-3:00pm,
CS 361,Artificial Life and Digital Evolution,6 credits,"The field of artificial life seeks to understand the dynamics of life by separating them from the substrate of DNA. In this course, we will explore how we can implement the dynamics of life in software to test and generate biological hypotheses, with a particular focus on evolution. Topics will include the basic principles of biological evolution, transferring experimental evolution techniques to computational systems, cellular automata, computational modeling, and digital evolution. All students will be expected to complete and present a term research project recreating and extending recent work in the field of artificial life.",Spring 2025,"FSR, Formal or Statistical Reasoning","CGSC Elective, CL: 300 level",Student has completed any of the following course(s):CS 200– Data Structures with Problem Solving orCS 201– Data Structures with a grade of C- or better or equivalent.,Anya Vostinar,"M, W",Olin 304,8:30am-9:40am,
DANC 107,Ballet I,1 credits,"A beginning course in ballet technique, including basic positions, beginning patterns and exercises. Students develop an awareness of the many ways their body can move, an appreciation of dance as an artistic expression and a recognition of the dancer as an athlete.",Spring 2025,"ARP, Arts Practice, PE, Physical Education",DANC Movmnt Practic Perform,,Jennifer Bader,"M, W",Weitz Center 168,9:50am-11:00am,
DANC 148,Modern Dance I: Technique and Theory,1 credits,"A physical exploration at the introductory level of the elements of dance: time, motion, space, shape and energy. Students are challenged physically as they increase their bodily awareness, balance, control, strength and flexibility and get a glimpse of the art of dance.",Spring 2025,"ARP, Arts Practice, PE, Physical Education",DANC Movmnt Practic Perform,,Daphne McCoy,"T, TH",Weitz Center 165,9:20am-10:30am,
DANC 190,Fields of Performance,6 credits,"This introductory course in choreography explores games, structures, systems and sports as sources and locations of movement composition and performance. Readings, viewings and discussion of postmodernist structures and choreographers as well as attendance and analysis of dance performances and sports events will be jumping off point for creative process and will pave the way for small individual compositions and one larger project. In an atmosphere of play, spontaneity and research participants will discover new ways of defining dance, pushing limits and bending the rules. Guest choreographers and coaches will be invited as part of the class. Open to all movers. No previous experience necessary.",Spring 2025,"ARP, Arts Practice","DANC Choreography, CL: 100 level",,Judith Howard,"T, TH",Weitz Center 165,1:15pm-3:00pm,
DANC 200,Modern Dance II: Technique and Theory,1 credits,A continuation of Level I with more emphasis on the development of technique and expressive qualities.,Spring 2025,"ARP, Arts Practice, PE, Physical Education",DANC Movmnt Practic Perform,,Daphne McCoy,"T, TH",Weitz Center 165,10:40am-11:50am,
DANC 206,Spring Dance,1 credits,Rehearsal and full concert performance of student dance works created during the year and completed in the spring term. Open to all levels.,Spring 2025,"ARP, Arts Practice",DANC Movmnt Practic Perform,"Student has completed any of the following course(s):DANC 205– Winter Dance orDANC 215– Winter Dance, Student Choreography orDANC 350– Semaphore Repertory Dance Company with a grade of C- or better.",Judith Howard,M,Weitz Center 165,4:30pm-5:30pm,
DANC 208,Ballet II,1 credits,For the student with previous ballet experience. This course emphasizes articulation of technique and development of ballet vocabulary.,Spring 2025,"ARP, Arts Practice, PE, Physical Education",DANC Movmnt Practic Perform,,Jennifer Bader,"M, W",Weitz Center 168,11:10am-12:20pm,
DANC 279,"Tap Dance, Intermediate/Advanced",1 credits,"Tap is an energetic form of dance that focuses on rhythm and percussion. Classes will include across the floor exercises that teach dynamics, shading, phrasing, and musicality along with extended rhythmic phrases and improvisation exercises. Tap dance originated in the southern United States as a fusion of West African dance roots and Europeanist influences. In this course students will learn tap skills as well as important aspects of tap dance history. Some previous experience with Tap dance is recommended.",Spring 2025,"ARP, Arts Practice",CL: 200 level,,Daphne McCoy,,,,
DANC 309,Ballet III,1 credits,This is an advanced class for students who have some capabilities and proficiency in ballet technique. Content is sophisticated and demanding in its use of ballet vocabulary and musical phrasing.,Spring 2025,"ARP, Arts Practice, PE, Physical Education",DANC Movmnt Practic Perform,,Jennifer Bader,"M, W",Weitz Center 168,12:30pm-1:40pm,
DANC 310,Contemporary Dance Forms III,1 credits,"This advanced course will continue to focus on a variety of embodied movement approaches to refine the awareness of the moving body and prepare for the rigors of performance and physical research. The aim will be on finding a personal connection to movement through subtlety, speed and effort.",Spring 2025,"ARP, Arts Practice, PE, Physical Education",DANC Movmnt Practic Perform,,Elayna Waxse,"M, W",Weitz Center 165,1:50pm-3:00pm,
DANC 350,Semaphore Repertory Dance Company,1 credits,"Provides advanced dance students with an intensive opportunity to develop as performers in professional level dances. Skills to be honed are: the dancer as contributor to the process of art-making; defining individual technical and expressive gifts; working in a variety of new technical and philosophical dance frameworks. In addition to regular training during the academic terms, participation in a ""preseason"" rehearsal period before fall term is required. A few pieces of student choreography will be accepted for repertory. The group produces an annual concert, performs in the Twin Cities and makes dance exchanges with other college groups. Recommended Preparation:Admission by audition.Audition required.",Spring 2025,"ARP, Arts Practice","DANC Movmnt Practic Perform, CL: 300 level",,Judith Howard,M,Weitz Center 165,3:30pm-4:30pm,
DGAH 398,Digital Arts & Humanities Portfolio: A Capstone Seminar,2 credits,"The work of Digital Arts & Humanities takes place at the crossroads of computing, humanities, and creative production. While digital tools and computational methods can enhance humanities research and artistic production, traditional humanistic approaches must also question digital technologies. Both the processes and products of this work stretch the boundaries of familiar academic formats. In this course, students will create an ePortfolio that curates and critically reflects on the digital processes and products of courses and co-curricular experiences at Carleton, guided by readings on the current state of interdisciplinary digital scholarship. A capstone for the DGAH minor, the seminar will include numerous workshop events and culminate in public portfolio presentations. Prerequisite: Prior DGAH coursework, including but not limited to the DGAH core courses.",Spring 2025,No Exploration,"DGAH Pertinent, CL: 300 level",,Austin Mason,,,,
ECON 110,Principles of Macroeconomics,6 credits,"This course gives students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 111, as a preparation for all advanced study in economics. Topics include analysis of the measurement, level, and distribution of national income; the concepts of inflation and depression; the role and structure of the banking system; fiscal and monetary stabilization techniques; implications of and limits to economic growth; and international economic relations.",Spring 2025,"QRE, Quantitative Reasoning, SI, Social Inquiry","PPOL Core, CL: 100 level",Not open to students who have completed any of the following exams: AP Macroeconomics exam with a score of 5 or better or IB Economics exam with a score of 6 or better.,Lhakpa Sherpa,"T, TH",Willis 203,10:10am-11:55am,
ECON 111,Principles of Microeconomics,6 credits,"This course gives the students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 110, as a preparation for all advanced study in economics. Topics include consumer choice theory; the formation of prices under competition, monopoly, and other market structures; the determination of wages, profits, and income from capital; the distribution of income; and an analysis of policy directed towards problems of public finance, pollution, natural resources, and public goods.",Spring 2025,"QRE, Quantitative Reasoning, SI, Social Inquiry","PPOL Core, CL: 100 level",Note open to students who have completed any of the following exams: AP Microeconomics exam with a score of 5 or better or IB Economics exam with a score of 6 or better.,Jonathan Lafky,"M, W",Willis 203,9:50am-11:00am,
ECON 265,Game Theory and Economic Applications,6 credits,"Game theory is the study of purposeful behavior in strategic situations. It serves as a framework for analysis that can be applied to everyday decisions, such as working with a study group and cleaning your room, as well as to a variety of economic issues, including contract negotiations and firms’ output decisions. In this class, modern game theoretic tools will be primarily applied to economic situations, but we will also draw on examples from other realms.",Spring 2025,"QRE, Quantitative Reasoning, SI, Social Inquiry","CGSC Elective, ECON Elective, CL: 200 level",Student has completed any of the following course(s):ECON 111– Principles of Microeconomics with a grade of C- or better or has received a score of 5 on the AP Microeconomics test or a score of 6 or better on the IB Economics test.,Jonathan Lafky,"M, W",Willis 204,12:30pm-1:40pm,
ECON 269,Economics of Climate Change,6 credits,"This course studies the relationship between climate change, government policy, and global markets. It explores the historical relationship between economic growth and greenhouse gasses, the cost-benefit analysis of policies aimed at reducing greenhouse gas emissions, and the potential for adaptation to climate change. Through readings, discussions, and case studies, students will gain a deep understanding of the economic implications of climate change and the policies that can be used to mitigate its effects. By the end of the course, students will have developed a critical understanding of the complex relationship between economics and climate change and will be equipped to engage in meaningful discussions and analysis of this pressing global issue.",Spring 2025,"QRE, Quantitative Reasoning, SI, Social Inquiry","ECON Elective, ENTS Society, Culture and Policy, PPOL Envir Pol & Sustainablty, CL: 200 level",Student has completed any of the following course(s):ECON 110– Principles of Macroeconomics with a grade of C- or better or received a score of 5 on the Macroeconomics AP exam ANDECON 111– Principles of Microeconomics with a grade of C- or better or received a score of 5 on the Microeconomics AP exam OR has received a score of 6 or better on the Economics IB exam.,Aaron Swoboda,"M, W",Willis 203,8:30am-9:40am,
ECON 270,Economics of the Public Sector,6 credits,This course provides a theoretical and empirical examination of the government’s role in the U.S. economy. Emphasis is placed on policy analysis using the criteria of efficiency and equity. Topics include rationales for government intervention; analysis of alternative public expenditure programs from a partial and/or general equilibrium framework; the incidence of various types of taxes; models of collective choice; cost-benefit analysis; intergovernmental fiscal relations.,Spring 2025,"QRE, Quantitative Reasoning, SI, Social Inquiry, WR2 Writing Requirement 2","ACE Theoretical, AMST Democracy Activism, ECON Elective, EDUC 3 Publ Pol/Educ Refrm, POSI Elective/Non POSC, PPOL Core, CL: 200 level",Student has completed any of the following course(s):ECON 110– Principles of Macroeconomics with a grade of C- or better or received a score of 5 on the Macroeconomics AP exam ANDECON 111– Principles of Microeconomics with a grade of C- or better or received a score of 5 on the Microeconomics AP exam OR has received a score of 6 or better on the Economics IB exam.,Jenny Bourne,"T, TH",Willis 203,1:15pm-3:00pm,
ECON 274,Labor Economics,6 credits,"Why do some people choose to work and others do not? Why are some people paid higher wages than others? What are the economic benefits of education for the individual and for society? How do government policies, such as subsidized child care, the Earned Income Tax Credit and the income tax influence whether people work and the number of hours they choose to work? These are some of the questions examined in labor economics. This course will focus on the labor supply and human capital decisions of individuals and households.",Spring 2025,"QRE, Quantitative Reasoning, SI, Social Inquiry","ECON Elective, POSI Elective/Non POSC, PPOL Econ Pol Makg & Devel, CL: 200 level",Student has completed any of the following course(s):ECON 110– Principles of Macroeconomics with a grade of C- or better or received a score of 5 on the Macroeconomics AP exam ANDECON 111– Principles of Microeconomics with a grade of C- or better or received a score of 5 on the Microeconomics AP exam OR has received a score of 6 or better on the Economics IB exam.,Faress Bhuiyan,"M, W",Willis 114,11:10am-12:20pm,
ECON 277,History and Theory of Financial Crises,6 credits,"This course provides a historical perspective on financial crises and highlights their main empirical patterns. This course also introduces economic theories of financial crises, in which leverage, moral hazard, mistaken beliefs, and coordination problems play a central role. We will also discuss some policy instruments used to balance risk exposure, such as deposit insurance, collective action clauses, exchange controls, and foreign reserves.",Spring 2025,"IS, International Studies, SI, Social Inquiry","ECON Elective, HIST Latin America, HIST Pertinent Courses, LTAM Electives, POSI Elective/Non POSC, CL: 200 level",Student has completed any of the following course(s):ECON 110– Principles of Macroeconomics with a grade of C- or better or received a score of 5 on the Macroeconomics AP exam ANDECON 111– Principles of Microeconomics with a grade of C- or better or received a score of 5 on the Microeconomics AP exam OR has received a score of 6 or better on the Economics IB exam.,Victor Almeida,"T, TH",Willis 211,10:10am-11:55am,
ECON 280,International Trade,6 credits,"A study of international trade theories and their policy implications. Classical and neo-classical trade models, the gains from trade, the terms of trade and the distribution of income, world trade patterns, international factor movements, tariffs, and the impact of commercial policy on developing and developed countries are analyzed.",Spring 2025,"QRE, Quantitative Reasoning, SI, Social Inquiry","ECON Elective, POSI Elective/Non POSC, PPOL Econ Pol Makg & Devel, CL: 200 level",Student has completed any of the following course(s):ECON 111– Principles of Microeconomics with a grade of C- or better or has received a score of 5 on the AP Microeconomics test or a score of 6 or better on the IB Economics test.,Prathi Seneviratne,"M, W",Willis 204,9:50am-11:00am,
ECON 330,Intermediate Price Theory,6 credits,An analysis of the forces determining relative prices within the framework of production and distribution. This class is normally taken by juniors. Sophomores considering enrolling should speak to the instructor.,Spring 2025,"QRE, Quantitative Reasoning, SI, Social Inquiry",CL: 300 level,Student must have completed any of the following course(s):ECON 110– Principles of Macroeconomics with a grade of C- or better or received a score of 5 or better on the Macroeconomics AP exam ANDECON 111– Principles of Microeconomics with a grade of C- or better or received a score of 5 or better on the Microeconomics AP exam OR received a score of 6 or better on the Economics IB exam ANDMATH 101– Calculus with Problem Solving orMATH 111– Introduction to Calculus with a grade of C- or better or received a score of 4 or better on the Calculus AB AP exam or received a score of 4 or better on the Calculus BC AP exam or received a score of 5 or better on the Calculus IB exam.,Jenny Bourne,"T, TH",Willis 204,10:10am-11:55am,
ECON 331,Intermediate Macro Theory,6 credits,"Analysis of the forces determining the general level of output, employment, and prices with special emphasis on the role of money and on interest rate determination. This class is normally taken by juniors. Sophomores considering enrolling should speak to the instructor.",Spring 2025,"QRE, Quantitative Reasoning, SI, Social Inquiry",CL: 300 level,Student must have completed any of the following course(s):ECON 110– Principles of Macroeconomics or received a score of 5 or better on the Macroeconomics AP exam ANDECON 111– Principles of Microeconomics or received a score of 5 or better on the Microeconomics AP exam OR received a score of 6 or better on the Economics IB exam. ANDMATH 101– Calculus with Problem Solving orMATH 111– Introduction to Calculus or greater or received a a score of 4 or better on the Calculus AB AP exam or received a score of 4 or better on the Calculus BC AP exam or received a score of 6 or better on the Mathematics IB exam AND eitherSTAT 120– Introduction to Statistics orSTAT 250– Introduction to Statistical Inference with a grade of C- or better or received a score of 4 or better on the Statistics AP exam or equivalents.,Victor Almeida,"T, TH",Willis 204,1:15pm-3:00pm,
ECON 398,Advanced Research in Economics,6 credits,"This course is designed to support majors in developing advanced skills in economic research and communication. Through a combination of class discussion, small group work, and/or one-on-one interactions with the professor, majors learn the process of constructing strong, theoretically-grounded arguments through primary research, secondary research, or both. Students will also learn and practice strategies for engaging critically with contemporary scholarship and effective techniques of peer review and the oral presentation of research.",Spring 2025,No Exploration,ECON Elective,Student has completed any of the following course(s):ECON 395– Advanced Topics in Economics with a grade of C- or better.,Aaron Swoboda,,,,
EDUC 110,Introduction to Educational Studies,6 credits,"This course will focus on education as a multidisciplinary field of study. We will explore the meanings of education within individual lives and institutional contexts, learn to critically examine the assumptions that writers, psychologists, sociologists and philosophers bring to the study of education, and read texts from a variety of disciplines. What has “education” meant in the past? What does “education” mean in contemporary American society? What might “education” mean to people with differing circumstances and perspectives? And what should “education” mean in the future? Open only to first-and second-year students.",Spring 2025,"IDS, Intercultural Domestic Studies, SI, Social Inquiry, WR2 Writing Requirement 2","EDUC Core, CL: 100 level",Student has Sophomore Priority.,Jeff Snyder,"M, W",Willis 114,9:50am-11:00am,
EDUC 242,The Future is Now: Education and Technology in the 21st Century,6 credits,"This course will examine the increasingly prominent role that technology is playing in education, inside and outside of schools. How is technology transforming teaching and learning? What are the potential costs and benefits of relying on technology to provide educational opportunities? Is technology re-wiring our brains? And who needs brains when we have Google and ChatGPT? This course will examine the following topics, among others: digital literacy, virtual reality, cyborgs and artificial intelligence.",Spring 2025,"SI, Social Inquiry",CL: 200 level,,Jeff Snyder,"M, W",Willis 114,12:30pm-1:40pm,
EDUC 338,Multicultural Education,6 credits,"This course focuses on the respect for human diversity, especially as these relate to various racial, cultural and economic groups, and to women. It includes lectures and discussions intended to aid students in relating to a wide variety of persons, cultures, and life styles.Extra time",Spring 2025,"IDS, Intercultural Domestic Studies, SI, Social Inquiry","ACE Applied, ACE Theoretical, AFST Social Inquiry, AMST Race Ethnicty Indign, AMST Space and Place, EDUC Core, CL: 300 level",Student has completed any of the following course(s): One 100 or 200 level Educational Studies (EDUC) course with grade of C- or better.,Anita Chikkatur,"M, W",Willis 211,9:50am-11:00am,
EDUC 385,Schooling and Communities: A Practicum for Teacher Candidates,6 credits,This course permits licensure candidates to become more familiar with their student teaching sites through frequent observation and interaction. The course provides an opportunity to work directly in schools and community organizations related to schools and to reflect on that experience in a classroom setting. Recommended Preparation:Acceptance into Teacher Licensure Program and registration for fall student teaching.Open only to students accepted into Teacher Licensure Program. Extra Time required,Spring 2025,No Exploration,CL: 300 level,,Deborah Appleman,,,,
EDUC 395,Senior Seminar,6 credits,"This is a capstone seminar for educational studies minors. It focuses on a contemporary issue in American education with a different topic each year. Recent seminars have focused on the school to prison pipeline, youth activism, intellectual freedom in schools, and gender and sexuality in education. Senior seminars often incorporate off campus work with public school students and teachers.Extra Time required.",Spring 2025,No Exploration,"ACE Applied, EDUC Senior Seminar, CL: 300 level",Student is an Educational Studies minor.,Deborah Appleman,"T, TH",Willis 114,1:15pm-3:00pm,
ENGL 109,The Craft of Academic Writing,6 credits,"This course is designed to demystify the practice of academic writing and to introduce students to the skills they’ll need to write effectively in a variety of academic disciplines and contexts. Students will learn how to respond to other authors’ claims, frame clear arguments of their own, structure essays to develop a clear logical flow, integrate outside sources into their writing, and improve their writing through revision. All sections will include a variety of readings, multiple writing assignments, and substantial feedback from the course instructor.",Spring 2025,"No Exploration, WR2 Writing Requirement 2",CL: 100 level,,George Shuffelton,"T, TH",Laird 007,1:15pm-3:00pm,
ENGL 115,The Art of Storytelling,6 credits,"Jorge Luis Borges is quoted as saying that “unlike the novel, a short story may be, for all purposes, essential.” This course focuses attention primarily on the short story as an enduring form. We will read short stories drawn from different literary traditions and from various parts of the world. Stories to be read include those by Aksenov, Atwood, Beckett, Borges, Camus, Cheever, Cisneros, Farah, Fuentes, Gordimer, Ishiguro, Kundera, Mahfouz, Marquez, Moravia, Nabokov, Narayan, Pritchett, Rushdie, Trevor, Welty, and Xue.",Spring 2025,"LA, Literary/Artistic Analysis, WR2 Writing Requirement 2","ENGL Foundation, CL: 100 level",,Kofi Owusu,"M, W",Laird 205,9:50am-11:00am,
ENGL 160,Creative Writing,6 credits,"You will work in several genres and forms, among them: traditional and experimental poetry, prose fiction, and creative nonfiction. In your writing you will explore the relationship between the self, the imagination, the word, and the world. In this practitioner’s guide to the creative writing process, we will examine writings from past and current authors, and your writings will be critiqued in a workshop setting and revised throughout the term.Sophomore Priority",Spring 2025,"ARP, Arts Practice, WR2 Writing Requirement 2","ENCW Creative Wtg Workshop, ENGL Creative Writing, CL: 100 level",,Gwen Kirby,"T, TH",Laird 205,10:10am-11:55am,
ENGL 202,The Bible as Literature,6 credits,"We will approach the Bible not as an archaeological relic, nor as the Word of God, but “as a work of great literary force and authority [that has] shaped the minds and lives of intelligent men and women for two millennia and more.” As one place to investigate such shaping, we will sample how the Bible (especially in the “Authorized” or King James version) has drawn British and American poets and prose writers to borrow and deploy its language and respond creatively to its narratives, images, and visions.",Spring 2025,"LA, Literary/Artistic Analysis, WR2 Writing Requirement 2","ENGL Foreign Literature, ENGL Historical Era 1, ENGL Tradition 1, RELG Pertinent Course, RELG XDept Pertinent, CL: 200 level",,Peter Balaam,"T, TH",Laird 007,10:10am-11:55am,
ENGL 209,Project Course,6 credits,"This interdisciplinary course, taught in conjunction with a full-scale Carleton Players production, will explore one of Shakespeare’s greatest and most complex works,Twelfth Night. We will investigate the play’s historical, social, and theatrical contexts as we try to understand not only the world that produced the play, but the world that came out of it. How should what we learn of the past inform a modern production? How can performance offer interpretive arguments about the play’s meanings? Mixing embodied and experiential learning, individual and group projects may involve dramaturgy, stagecraft, literary analysis, music, and research in Special Collections.",Spring 2025,"ARP, Arts Practice, IS, International Studies","ENGL Historical Era 1, ENGL Tradition 1, EUST Country Specific, MARS Supporting, THEA Lit Critical History, CL: 200 level",,Andrew Carlson,"T, TH",Weitz Center 136,1:15pm-3:00pm,
ENGL 230,Studies in African American Literature: From the 1950s to the Present,6 credits,"We will explore developments in African American literature since the 1950s with a focus on literary expression in the Civil Rights Era; on the Black Arts Movement; on the new wave of feminist/womanist writing; and on the experimental and futuristic fictions of the twenty-first century. Authors to be read include Ralph Ellison, James Baldwin, Lorraine Hansberry, Malcolm X, Audre Lorde, Amiri Baraka, Ishmael Reed, Alice Walker, August Wilson, Charles Johnson, Ntozake Shange, Gloria Naylor, Suzan-Lori Parks, Kevin Young, and Tracy Smith.",Spring 2025,"IDS, Intercultural Domestic Studies, LA, Literary/Artistic Analysis","AFST LitArtistic Analysis, AMST Democracy Activism, AMST Prdctn Consmptn Cult, AMST Race Ethnicty Indign, ENGL Historical Era 3, ENGL Tradition 2, CL: 200 level",,Kofi Owusu,"M, W",Laird 205,12:30pm-1:40pm,
